img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.academia.edu/,12538,37029.0,,,,,
academia-logo-redesign-2015-45ae31566d1421084023fae986d81b06469982455d4be698a5226a904e7836a9.svg,1633,2983.0,,,,,
student-desktop.png,315854,316786.0,25312.0,24118.0,20284.0,16218.0,12800
student-mobile.png,187484,187063.0,14162.0,13388.0,11062.0,8638.0,6368
icon-blue-user.svg,824,744.0,,,,,
icon-gold-paper.svg,782,557.0,,,,,
icon-green-star.svg,732,420.0,,,,,
testimonial-background.svg,939,769.0,,,,,
colleague-pair.png,256690,256493.0,21176.0,20184.0,17002.0,13636.0,10524
accelerate-research.svg,6505,15661.0,,,,,
grow-audience.svg,1949,4412.0,,,,,
icon-blue-checkmark.svg,689,370.0,,,,,
p2?c1=2&c2=26766707&cv=2.0&cj=1,264,43.0,72.0,72.0,72.0,72.0,72
research-example.png,308561,312296.0,106734.0,103596.0,91600.0,75546.0,59124
impact-example.png,309763,312778.0,77536.0,75230.0,66236.0,55124.0,41826
t-alisdair.png,45305,44765.0,4586.0,4428.0,3738.0,3144.0,2454
t-divider.svg,617,181.0,,,,,
t-trevor.png,39536,39007.0,4154.0,3976.0,3400.0,2850.0,2236
collect?v=1&_v=j96&a=602571962&t=timing&_s=2&dl=https%3A%2F%2Fwww.academia.edu%2F&ul=en-us&de=UTF-8&dt=Academia.edu%20-%20Share%20research&sd=24-bit&sr=360x640&vp=360x640&je=0&utc=User-centric&utv=Tim,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=602571962&t=timing&_s=3&dl=https%3A%2F%2Fwww.academia.edu%2F&ul=en-us&de=UTF-8&dt=Academia.edu%20-%20Share%20research&sd=24-bit&sr=360x640&vp=360x640&je=0&utc=User-centric&utv=Tim,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=602571962&t=timing&_s=4&dl=https%3A%2F%2Fwww.academia.edu%2F&ul=en-us&de=UTF-8&dt=Academia.edu%20-%20Share%20research&sd=24-bit&sr=360x640&vp=360x640&je=0&utc=User-centric&utv=Tim,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=602571962&t=timing&_s=5&dl=https%3A%2F%2Fwww.academia.edu%2F&ul=en-us&de=UTF-8&dt=Academia.edu%20-%20Share%20research&sd=24-bit&sr=360x640&vp=360x640&je=0&utc=User-centric&utv=Tim,55,35.0,44.0,44.0,44.0,44.0,44
uni-logo-oxford.svg,20261,44664.0,,,,,
uni-logo-mit.svg,6684,16066.0,,,,,
uni-logo-berkeley.svg,78950,184147.0,,,,,
uni-logo-nyu.svg,3160,5698.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-2111171-1&cid=1184404503.1650642480&jid=1691837411&_u=YEBAAAAAAAAAAC~&z=49115902,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-2111171-1&cid=1184404503.1650642480&jid=1691837411&_u=YEBAAAAAAAAAAC~&z=49115902,501,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,2822088,,,,,,
totalByteWeight,5937650,,,,,,
