img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.adblockplus.org/,192,0.0,,,,,
adblockplus-logo-color.svg?2470949994,13175,12165.0,,,,,
menu-toggle-black.svg?2470949994,1268,261.0,,,,,
hero-ui-illustration.svg,247816,246804.0,,,,,
hero-ui-illustration-mobile.svg,247107,246095.0,,,,,
ios-safari-logo.svg?2470949994,1730,723.0,,,,,
apple-app-store-badge.svg?2470949994,11744,10804.0,,,,,
abb-browser-icon.svg?2470949994,31772,30762.0,,,,,
google-play-badge.png?2470949994,15944,15008.0,6150.0,5900.0,5200.0,4440.0,3352
samsung-internet-logo.png?2470949994,26699,25693.0,6848.0,6604.0,5862.0,4886.0,3918
mediapost-2x.png,6595,5590.0,4522.0,4522.0,4522.0,4524.0,4522
nyt-2x.png,8055,7050.0,5762.0,5762.0,5762.0,5766.0,5762
wsj-2x.png,3606,2602.0,1946.0,1946.0,1946.0,1946.0,1946
techcrunch-2x.png,4357,3353.0,2284.0,2282.0,2282.0,2286.0,2282
business-insider-2x.png,5755,4750.0,3458.0,3458.0,3458.0,3460.0,3458
rocket-illustration.svg,68167,67156.0,,,,,
lock-illustration.svg,45325,44315.0,,,,,
checkmark-illustration.svg,41208,40198.0,,,,,
abb-cross-promo-message.svg?2470949994,27429,26419.0,,,,,
pointing-arrow.svg?2470949994,2054,1046.0,,,,,
android-video-illustration.svg?2470949994,122496,121484.0,,,,,
abp-laptop.svg?2470949994,32907,31897.0,,,,,
footer-twitter-glyphicon.png?2470949994,2139,1135.0,638.0,638.0,638.0,638.0,638
footer-youtube-glyphicon.png?2470949994,2054,1050.0,592.0,592.0,592.0,592.0,592
footer-facebook-glyphicon.png?2470949994,1845,842.0,506.0,506.0,506.0,506.0,506
footer-instagram-glyphicon.png?2470949994,2068,1064.0,662.0,662.0,662.0,662.0,662
footer-vk-glyphicon.png?2470949994,2905,1901.0,638.0,638.0,638.0,638.0,638
pageTransferSize,1183086,,,,,,
totalByteWeight,1412018,,,,,,
