img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.adp.com/,53331,188164.0,,,,,
logo-adp-fy19.svg?rev=3fdcec0c1c7349e0a222b9864a196c45&hash=9A54A565FD08ED6AF0528D31B46265D5,685,1062.0,,,,,
img-placeholder.ashx,175,54.0,72.0,72.0,72.0,72.0,72
golfambassadors_promobladeimagev2_400w_en.png?rev=d884ab0ad7d64bc1b545980e72be7311&hash=AEFA07A0235DD2E7C6F0720116425BAD,42400,42254.0,19240.0,18180.0,15190.0,11742.0,8326
promo-womenatwork-thumb.png?rev=c48b23d210d04e06859a4c80e57c8040&hash=8BC28687C65A28373B9B8335C2960E9B,28240,28124.0,6262.0,6102.0,5330.0,4338.0,3326
latest_news_awards_logo_gartner_2021.png?rev=a2e32ef9375c45d4a82c042f8bbb8d41&hash=5B133C838444B381C973E94D18DA9DCD,12202,12087.0,11272.0,11296.0,11306.0,11276.0,11294
logo-fortune-admired-companies-award.jpg?rev=f0d5643f99c44ae7ae1b490bff91d50c&h=333&w=195&la=en&hash=CBAB0D959AC1C221FFE48379120E90A3,20463,20292.0,8926.0,8638.0,7324.0,5794.0,4088
19xadpnextgenhcpawardshumanresourceexecutivetophr2019.jpg?rev=bdc22809ed1847b180ef9489d539aae4&h=120&w=120&la=en&hash=2B2B127CAF832D124502C75F49F110A5,30716,30383.0,4866.0,4654.0,3990.0,3146.0,2224
nelsonhall-neat-leader-2021-payroll-services-thumb.jpg?rev=c613627e023e4f95960f405c497a94d9&h=294&w=586&la=en&hash=9B064A283338ADC672D073FBE8BF47D3,32772,32610.0,11144.0,10500.0,9074.0,7052.0,4938
awards_logo_gartner_peerinsights.jpg?rev=a994fb4e20dd4d6192fd6640483c634e&h=80&w=100&la=en&hash=EFA8AEB2C10E83350F37F1467CCB2B69,14600,14488.0,2048.0,1942.0,1616.0,1280.0,838
icn-txtlink-arrow-ui.svg,594,1044.0,,,,,
icn-carat-down-ui.svg,814,1930.0,,,,,
bkgd-testimonial-amazon.jpg,157150,156960.0,74982.0,70890.0,56096.0,41466.0,27114
icn-txtlink-video-white.svg,446,570.0,,,,,
icn-txtlink-arrow-white.svg,612,1044.0,,,,,
bkgd-mobile-select.png,1540,1423.0,318.0,314.0,288.0,278.0,254
icn-sprite.png,9028,8930.0,2904.0,2854.0,2622.0,2388.0,2100
icn-sm-fb.svg,802,1565.0,,,,,
icn-sm-tw.svg,1214,2382.0,,,,,
icn-sm-yt.svg,1177,2519.0,,,,,
icn-sm-ln.svg,874,1761.0,,,,,
icn-close-ui.svg,424,578.0,,,,,
ajax-loader.gif,4262,4178.0,2640.0,2532.0,2230.0,1912.0,1604
icn-carousel-arrow-left.svg,868,1516.0,,,,,
icn-carousel-arrow-right.svg,669,1329.0,,,,,
img-small-biz.svg?rev=9b0fa09f121e4871b68aef564cdfac64&hash=257F4AAD639BE15339F1B708815DE283,1512,3878.0,72.0,72.0,72.0,72.0,72
img-mid-biz.svg?rev=53cdfbc7a7a546189d0c0f7e57068a71&hash=419161271068876EE2CA48C3C2AC567F,1382,4320.0,72.0,72.0,72.0,72.0,72
img-large-biz.svg?rev=e4d4fbc1200641e882a7c8792a633270&hash=A1D4E151365F61268566F9A245085412,1549,4915.0,72.0,72.0,72.0,72.0,72
icn-close.svg,458,578.0,,,,,
img-solution-wizard.png?rev=45b62475cf3745c4bdc15f39241e83d1&hash=54938250D8D827B27293527293FB6B9F,102024,101857.0,92770.0,89356.0,79946.0,68208.0,55616
managing_paying_icn_superior_payroll.svg?rev=1004c12aab124e01824d891042a8ed83&la=en&hash=B390F62018E6A5337742C4558B768F47,1075,2797.0,,,,,
icn-nav-call.svg?rev=eb0e2044c7d048f8ac093f23e5918dc6&hash=272BD1E5E465D2548A03807DFEBF6D84,1452,2659.0,,,,,
icn-nav-chat.svg?rev=6a50af91ae3340c487399095ac7cb894&hash=8C2FFB6282D599FF2E374BC6A21161BF,676,977.0,,,,,
icn-nav-search.svg?rev=17b598e2979f4097a6d3072c632b6770&hash=017CD59621137B46CED1301033B2B7F2,1001,1830.0,,,,,
icn-nav-login.svg?rev=c77dcb0bcdcb43208e6b770d20b14ab4&hash=4F07185A068327824B03903DD1B6B000,601,841.0,,,,,
icn-close-white.svg,422,578.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-38583288-1&cid=326072633.1650643987&jid=202842367&_u=aHDAiEABBAAAAE~&z=254618106,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-38583288-1&cid=326072633.1650643987&jid=202842367&_u=aHDAiEABBAAAAE~&z=254618106,501,42.0,72.0,72.0,72.0,72.0,72
0?ti=5105257&Ver=2&mid=f0a1e52c-6943-4e79-9497-20b4850ef120&sid=18e2ba90c25711eca6dd51fb322d062f&vid=18e2a640c25711ec9fe673a4135b1cf0&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Payroll%20HR,153,0.0,,,,,
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-Z7FCJ8MYEN&cid=326072633.1650643987&gtm=2oe4k0&aip=1&z=1516403566,107,42.0,72.0,72.0,72.0,72.0,72
