img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.android.com/,26497,192145.0,,,,,
_qiPU32hnpAVAJwcWufzGJmR_DdOjSvgfA64r6WgQ3wKDY4yd9PCCgUYvZjChzSj6aw29PLrGj-Vbftqr_koGPS6Vy2lhKenvGhn_O2WydPx3XjMHUs=w444-rw-e365-v1,15533,15446.0,16186.0,15772.0,14018.0,11422.0,8108
_N3UQSghviiQiLSrAzeb8O71oMGIOnY3gfb_zq8FqzxNAV_z6znT4P23Wz0oNTBaFxlbErLj4ZwxFPL5VpuI9bBnclF3dDor4LsucLAk0xyq2_ToqF7B=w444-rw-e365-v1,16964,16864.0,17256.0,16936.0,15674.0,12794.0,9006
J-sCkmcLdUKDIkahUwwfMMb4Qt7QERxVvvqu971qfipodTHNRrh29rrnirSIp6VFUOVjBX7rclyod8pFqz7yLXBe8PynylMNp2X0FOdmTqhskTYyBXo=w444-rw-e365-v1,25549,25476.0,26458.0,25514.0,22864.0,18830.0,12646
mCvbPV-2xikSUmJXyrh440GPG1mXoaXKFJcnEeeOH3PAmO8m4RHUcNOXLVeVonGbGpHA2dx_qmgFUrf2OJj4S01flHkWJRnG-k8XTxsrJ-13FWAR--U=w800-rw-e365-v1,82085,81948.0,84782.0,82942.0,78646.0,71740.0,58544
Y6I-jVKNn1Qb-hePGtldg3G3tsUKweQHouewlRSugXVDRGqHjrCwhzxrlxOA_dzb68Bka2Zi0zT6AzB4c7hQtv5EPGHksN09sYIj0xuZlr_2NEPBmQ=w700-rw-e365-v1,10532,10136.0,10198.0,10012.0,9224.0,6672.0,4682
mJ9C2emjpikuaUF0IzdkRpijBZ1WMGool0Zw9yRywczD87mKXe_I4UF0ikfuFXfAUriO47WDxtaMe8ZncfN0b3aNTBc5zmsdrhFGnBYXVF1R244E3wXn=w700-rw-e365-v1,12818,12726.0,13354.0,12810.0,12044.0,9990.0,5812
1cAqIZ5RY9rO5IDbNam_YqIIPFITJVJiOZ8k1rfb3B0g-7XA0OpBaaRTg9Ano8J6KTVhfHek-aEfQ--AL_rksVPPz-9TGQQoVJXP=w1800-rw-e365-v1,0,0.0,37552.0,36714.0,34334.0,30186.0,22234
kOGOWiwGayJubZxSANfCroLeEOSADIFnyOXVWumf02xzRy-61zaVffkRSX0LTglcA56vzOTOBn4RypTJFiuKCrRmaV_-Q6t3OpV4AU8=w700-rw-e365-v1,0,0.0,25134.0,24576.0,22626.0,18776.0,10514
lHAD4U22Z2iCSZ0XlXf88b_AAgGBMcFGqS2ARY3QQ1CnX0N8nQ1HJy2tDfTpsx87FhiUeATU2uX8PiTyOYBdVszmdbwFY4ggd0tKtw=w700-rw-e365-v1,0,0.0,11022.0,10568.0,9004.0,6298.0,4528
