img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.apnews.com/,194,0.0,,,,,
800.jpeg,92185,91885.0,33654.0,31370.0,24068.0,16592.0,9336
200.jpeg,8066,7458.0,6264.0,5964.0,4858.0,3686.0,2366
200.jpeg,10075,9819.0,2430.0,2276.0,1804.0,1322.0,868
200.jpeg,4520,4265.0,2970.0,2840.0,2254.0,1734.0,1090
200.jpeg,5603,5348.0,3352.0,3128.0,2590.0,1982.0,1264
200.jpeg,8206,7953.0,5026.0,4660.0,3836.0,2972.0,1946
200.jpeg,7196,6937.0,8042.0,7682.0,6374.0,4924.0,3164
200.jpeg,5955,5687.0,3688.0,3462.0,2714.0,2044.0,1296
200.jpeg,5999,5730.0,3696.0,3476.0,2766.0,2118.0,1370
200.jpeg,5234,4966.0,2970.0,2840.0,2254.0,1734.0,1090
800.jpeg,55656,55372.0,33654.0,31370.0,24068.0,16592.0,9336
radio-background.png,1309,1291.0,472.0,470.0,434.0,394.0,322
400.jpeg,19577,19298.0,7126.0,6634.0,5206.0,3784.0,2308
400.jpeg,19011,18731.0,12144.0,11466.0,9006.0,6940.0,4576
b2?c1=2&c2=3005041&ns__t=1650686700962&ns_c=UTF-8&cv=3.5&c8=Associated%20Press%20News%3A%20Breaking%20News%20%7C%20Latest%20News%20Today&c7=https%3A%2F%2Fapnews.com%2F&c9=,190,0.0,,,,,
b2?c1=2&c2=3005041&ns__t=1650686700963&ns_c=UTF-8&cv=3.5&c8=Associated%20Press%20News%3A%20Breaking%20News%20%7C%20Latest%20News%20Today&c7=https%3A%2F%2Fapnews.com%2F&c9=,188,0.0,,,,,
400.jpeg,29879,29848.0,12144.0,11466.0,9006.0,6940.0,4576
400.jpeg,15840,15811.0,12144.0,11466.0,9006.0,6940.0,4576
notify-impression?page.url=https%3A%2F%2Fapnews.com%2F&view.id=120452547197681600&page.template=home&page.dashboard=home,65,0.0,,,,,
400.jpeg,12432,12403.0,12144.0,11466.0,9006.0,6940.0,4576
400.jpeg,14604,14575.0,12144.0,11466.0,9006.0,6940.0,4576
400.jpeg,13873,13844.0,12144.0,11466.0,9006.0,6940.0,4576
400.jpeg,14019,13990.0,12144.0,11466.0,9006.0,6940.0,4576
usntA40OffL.svg,2509,2396.0,,,,,
khaos.jpg?,0,0.0,44.0,44.0,44.0,44.0,44
pixel?google_nid=openx&google_cm=&google_sc=&google_tc=,0,0.0,88.0,88.0,88.0,84.0,80
pixel?google_nid=openx&google_hm=MDM5OGU3MzYtODRjOS0yNDg3LWU2NDAtYTA0YzVkYjYwMmJk&google_tc=,0,0.0,88.0,88.0,88.0,84.0,80
openx?oxid=2ff734fc-4dbe-7a23-f3a0-faf59754ccdd&gdpr=0,0,0.0,,,,,
400.jpeg,24492,24459.0,12144.0,11466.0,9006.0,6940.0,4576
collect?v=1&_v=j96&a=1355817972&t=event&_s=2&dl=https%3A%2F%2Fapnews.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=Home%20page&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=OneTrust%20Cookie%20Consent&ea=Banner%20Auto,55,35.0,44.0,44.0,44.0,44.0,44
l?ebcid=ALh7CaRjtAiHsid3OOIGuU3B_IYtOIQa-4dQApniHZNFyfFq4vnTc0yGyNSWLZiuEuIN8vifjUqNMRAB4E9JQ8-EFuKuuFSC9g,0,0.0,,,,,
8948328562856302335,36437,36066.0,4222.0,3980.0,3276.0,2584.0,1778
en_badge_web_generic.png,11310,11288.0,6086.0,5800.0,5130.0,4266.0,3250
pageTransferSize,2142924,,,,,,
totalByteWeight,6378397,,,,,,
