img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.ballotpedia.org/,84,0.0,,,,,
bp-logo-sm.svg,2963,2578.0,,,,,
bp-logo.svg,4970,4640.0,,,,,
Ballotpedia%27s_Daily_Brew_-_page_banner.png,155105,154526.0,23484.0,22634.0,19654.0,16012.0,12964
512px-Home_of_the_US_Congress-150x150.jpg,6776,6448.0,4112.0,3916.0,3278.0,2522.0,1650
1920px-Flag_of_Arkansas.svg_-150x150.png,19583,19255.0,3962.0,3824.0,3250.0,2570.0,1822
mov-congress-150x150.png,42496,42168.0,3530.0,3284.0,2664.0,1962.0,1226
Flag_of_Nevada-150x150.png,7412,7085.0,1382.0,1316.0,1120.0,854.0,592
Video-of-week-placeholder.jpg,12706,12350.0,5238.0,5042.0,4142.0,3270.0,2240
Play-btn-frontpage.svg,1088,1427.0,,,,,
Voter_receiving_ballot_in_mail.jpeg,534027,532628.0,42274.0,39878.0,30690.0,20780.0,12660
TX_Austin_skyline.jpg,899338,897946.0,372888.0,344170.0,270966.0,189794.0,113676
Man-hands-reading-boy.jpg,90900,90435.0,23690.0,22186.0,17880.0,14350.0,10618
WhiteHouseSouthFacade.JPG,588201,586552.0,202820.0,190966.0,148548.0,107610.0,66178
384_210_9.gif,591,43.0,72.0,72.0,72.0,72.0,72
skeleton.gif,481,43.0,72.0,72.0,72.0,72.0,72
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Ballotpedia&time=1650641938558&time_zone_offset=-300&screen_params=360x640x24&java_enabled=0&cookie_enabled=1&ref_url=https%3A%2F%2Fballotpedia,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o2jx2&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=49b017e5-f9e9-4e56,355,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o2jx2&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=49b017e5-f9e9-4e56,337,43.0,72.0,72.0,72.0,72.0,72
?id=360312574466105&ev=PageView&dl=https%3A%2F%2Fballotpedia.org%2FMain_Page&rl=https%3A%2F%2Fballotpedia.org%2F&if=false&ts=1650641938974&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650641938,410,44.0,,,,,
pixel;r=224239662;rf=0;a=p-Lx8vcgWv5twR2;url=https%3A%2F%2Fballotpedia.org%2FMain_Page;ref=https%3A%2F%2Fballotpedia.org%2F;uht=2;fpan=1;fpa=P0-1645640653-1650641939019;pbc=;ns=0;ce=1;qjs=1;qv=a98acd3,371,35.0,44.0,44.0,44.0,44.0,44
logo_48.png,2252,2228.0,1330.0,1306.0,1214.0,1110.0,980
?id=360312574466105&ev=Microdata&dl=https%3A%2F%2Fballotpedia.org%2FMain_Page&rl=https%3A%2F%2Fballotpedia.org%2F&if=false&ts=1650641939485&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Ballotpedi,91,44.0,,,,,
6a2ca1ba-5168-4d0f-99ae-faef0f779c6a_1645523601657.png,1053,1029.0,810.0,802.0,758.0,684.0,624
track?pid=56ea678d181f46c76f8b45fb&AV_PUBLISHERID=56ea678d181f46c76f8b45fb&e=AV_M16&cb=1650641940770&cid=615eadab92168b16195bfdcd&VERSION=4.141.2&AV_PAGE_LOAD_UID=ecd7e24b-877e-43c5-abf7-1fc2654e9703&,71,0.0,,,,,
landscape5aa721d7-5cfc-417d-a6ab-3e69512ebc61_1649938405318.jpg,51778,51154.0,36464.0,34658.0,27678.0,21030.0,14672
track?r=ballotpedia.org&sn=&cd4=ecd7e24b-877e-43c5-abf7-1fc2654e9703&cd5=default&ic=0&tgt=0&app=&wi=300&he=169&test=&d36=6.2.13&apppkg=&fv=3&proto=https&pid=56ea678d181f46c76f8b45fb&cid=615eadab92168b,71,0.0,,,,,
track?d=Moto%20G%20(4)&cou=PK&cos=Android&r=ballotpedia.org&rs=ballotpedia.org&sid=27165&t=1650641943&cip=72.255.57.110&sn=&tgt=0&osv=7.0&bv=98.0&brn=Chrome%20Mobile&wi=300&he=169&app=&AV_PUBLISHERID=,70,0.0,,,,,
track?d=Moto%20G%20(4)&cou=PK&cos=Android&r=ballotpedia.org&rs=ballotpedia.org&sid=27165&t=1650641943&cip=72.255.57.110&sn=&tgt=0&osv=7.0&bv=98.0&brn=Chrome%20Mobile&wi=300&he=169&app=&AV_PUBLISHERID=,70,0.0,,,,,
khaos.jpg?,921,284.0,44.0,44.0,44.0,44.0,44
track?pid=56ea678d181f46c76f8b45fb&AV_PUBLISHERID=56ea678d181f46c76f8b45fb&e=playerLoaded&cb=1650641948771&cid=615eadab92168b16195bfdcd&VERSION=4.141.2&AV_PAGE_LOAD_UID=ecd7e24b-877e-43c5-abf7-1fc2654,70,0.0,,,,,
p-Z8PuJEk6U7Hyq.gif?idmatch=0,211,35.0,44.0,44.0,44.0,44.0,44
cookiesyncendpoint?auid=1650641943255-936885886505-007139-011-005739&biddername=42&key=YmLMHSs3zkZnX6AL1oORmAAA%26681,38,0.0,,,,,
Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9ODA2JnRsPTUxODQwMA==&piggybackCookie=uid:$UID&gdpr=0&gdpr_consent=,610,43.0,72.0,72.0,72.0,72.0,72
