img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.bitly.com/,143,0.0,,,,,
bitly_logo.svg,1894,2622.0,,,,,
H-M_Generic-3.svg,86064,228422.0,,,,,
H_Generic-LP-2.svg,156366,407969.0,,,,,
stars-quote-widget.png,4838,4282.0,770.0,738.0,608.0,496.0,298
Quote.svg,1192,1147.0,,,,,
Site_Basic_Popup.png,10235,9677.0,5752.0,5610.0,5110.0,4498.0,3894
bitly.com,66905,66905.0,,,,,
chevron.png,7795,7245.0,222.0,216.0,184.0,164.0,136
Homepage-Branded-Links-Illustration-1.png,22807,22215.0,6648.0,6376.0,5494.0,4234.0,3096
feather-icon-x.svg,884,339.0,,,,,
feather-icon-menu.svg,898,386.0,,,,,
Homepage-Branded-Links-Illustration-2.png,4011,3439.0,4712.0,4638.0,4084.0,3374.0,2600
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-567GCTL9BB&cid=632074622.1650686920&gtm=2oe4k0&aip=1&z=1261548266,501,42.0,72.0,72.0,72.0,72.0,72
?random=1650686919879&cv=9&fst=1650686400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
?random=1650686919879&cv=9&fst=1650686400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
Site_Check-you.png,203241,202466.0,9674.0,9228.0,8154.0,6956.0,5778
recognizable-brands-espn.svg,1218,922.0,,,,,
recognizable-brands-disney.svg,4879,8250.0,,,,,
recognizable-brands-buzzfeed.svg,1472,1651.0,,,,,
recognizable-brands-nytimes.svg,4366,7534.0,,,,,
recognizable-brands-gartner.svg,1562,1862.0,,,,,
recognizable-brands-bose.svg,1416,1417.0,,,,,
pageTransferSize,1522172,,,,,,
totalByteWeight,3339684,,,,,,
