img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.bloomberg.com/,494,0.0,,,,,
250x140.jpg,8902,8588.0,5284.0,4940.0,4042.0,3096.0,2090
radio-thumbnail-745046050e.png,8776,8431.0,4870.0,4648.0,4048.0,3186.0,2350
250x140.png,3679,3482.0,1972.0,1868.0,1556.0,1222.0,900
160x-1.jpg,4899,4612.0,2426.0,2278.0,1874.0,1410.0,872
160x-1.jpg,4784,4583.0,4308.0,4140.0,3318.0,2490.0,1546
160x-1.jpg,3686,3482.0,5148.0,4844.0,4020.0,3130.0,1936
160x-1.jpg,4858,4569.0,2902.0,2732.0,2208.0,1704.0,1070
160x-1.jpg,5083,4809.0,2964.0,2828.0,2280.0,1756.0,1166
160x-1.jpg,6746,6587.0,5858.0,5644.0,4734.0,3672.0,2396
160x-1.jpg,4915,4683.0,1938.0,1830.0,1504.0,1142.0,754
160x-1.jpg,4563,4359.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,5451,5161.0,3562.0,3376.0,2702.0,2012.0,1280
160x-1.jpg,2621,2419.0,2780.0,2626.0,2106.0,1574.0,1014
160x-1.jpg,6193,5920.0,1552.0,1478.0,1172.0,920.0,626
160x-1.jpg,4198,3909.0,2590.0,2468.0,1964.0,1440.0,908
160x-1.jpg,7372,7175.0,3664.0,3462.0,2866.0,2106.0,1354
160x-1.jpg,4397,4194.0,3954.0,3772.0,3162.0,2388.0,1488
160x-1.jpg,5420,5257.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,5426,5183.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,4806,4564.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,5715,5502.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,5563,5401.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,3134,2930.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,6561,6281.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,5427,5266.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,5402,5119.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.png,5572,5402.0,3726.0,3498.0,2852.0,2136.0,1232
160x-1.jpg,5811,5529.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,4276,3994.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,3566,3363.0,2622.0,2464.0,2000.0,1494.0,950
160x-1.jpg,4228,4066.0,2622.0,2464.0,2000.0,1494.0,950
25x19.jpg,799,559.0,216.0,212.0,184.0,148.0,118
25x19.jpg,838,559.0,218.0,208.0,180.0,148.0,118
25x19.jpg,770,568.0,268.0,260.0,226.0,190.0,144
25x19.jpg,823,543.0,284.0,276.0,244.0,204.0,148
25x19.jpg,712,551.0,262.0,256.0,218.0,176.0,142
25x19.jpg,791,508.0,290.0,278.0,242.0,194.0,152
25x19.jpg,800,598.0,330.0,314.0,270.0,212.0,164
