img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.bolasport.com/,23725,125932.0,,,,,
logobolasport.png,5977,5525.0,3018.0,3008.0,2936.0,2830.0,2710
460x240-clean.png,1108,711.0,260.0,260.0,260.0,260.0,258
200x190-clean.png,630,233.0,132.0,132.0,132.0,132.0,132
capturejpg-20210603100841.jpg,16036,15674.0,2208.0,2086.0,1682.0,1282.0,856
cr7jpg-20220422051301.jpg,5807,5454.0,2080.0,1980.0,1640.0,1298.0,872
whatsapp-image-2022-04-20-at-16-20220420045411.jpeg,5864,5513.0,11232.0,10636.0,8668.0,6738.0,4282
687715815.jpg,15650,15287.0,2086.0,2006.0,1620.0,1252.0,818
gerrard-skysportnewsjpg-20211226080312.jpg,4541,4188.0,5462.0,5160.0,4052.0,3184.0,2092
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Situs%20Berita%20Bola%20dan%20Olahraga%20Terlengkap%20-%20BolaSport.com&time=1650660606403&time_zone_offset=-300&screen_params=360x640x24&java_,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
b2?c1=2&c2=8077308&c3=&comscorekw=MAINBOLASPORT&ns__t=1650660606410&ns_c=UTF-8&cv=3.5&c8=Situs%20Berita%20Bola%20dan%20Olahraga%20Terlengkap%20-%20BolaSport.com&c7=https%3A%2F%2Fwww.bolasport.com%2F&c,189,0.0,,,,,
erik-ten-hag-manutd2jpg-20220422111439.jpg,3599,3248.0,3312.0,3134.0,2352.0,1690.0,1108
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-XM4JS5Z64B&cid=1073061240.1650660607&gtm=2oe4k0&aip=1&z=2112978065,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-PP8Q13CZ21&cid=1073061240.1650660607&gtm=2oe4k0&aip=1&z=1024872127,501,42.0,72.0,72.0,72.0,72.0,72
fq6pr2lakaermsbjpg-20220422102602.jpg,7239,6879.0,11948.0,11306.0,8762.0,6390.0,3894
20211009_144426jpg-20211009073449.jpg,4980,4618.0,6484.0,6166.0,4856.0,3690.0,2408
ping.gif?h=1592297892&e=e&n=6672601004375645&abc=0&aid=R6zixFK%2BEei17gpVuA4vVw&amp=0&ask=SZDgIYnU&at=1&c=1&ccp=0&cp=0&d=0&eb=0&ed=6&emi=y2u2vp1wwkfj&i=1&id=6MrgGDp6&lid=12n7f9dfbahs&lsa=set&mt=1&pbd=,40,0.0,,,,,
collect?v=1&_v=j96&a=512694805&t=pageview&_s=1&dl=https%3A%2F%2Fwww.bolasport.com%2F&ul=en-us&de=UTF-8&dt=Situs%20Berita%20Bola%20dan%20Olahraga%20Terlengkap%20-%20BolaSport.com&sd=24-bit&sr=360x640&v,55,35.0,44.0,44.0,44.0,44.0,44
erik-tenhagjpg-20220422042643.jpg,4907,4545.0,5744.0,5472.0,4294.0,3278.0,2062
juve1jpg-20220421030634.jpg,7151,6800.0,12978.0,12218.0,10224.0,7890.0,5296
momodjpg-20220312090452.jpg,7829,7478.0,15556.0,14748.0,12050.0,9204.0,6048
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-93462315-4&cid=1073061240.1650660607&jid=1406217329&_u=YCDAiEABBAQCAE~&z=447634484,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-93462315-4&cid=1073061240.1650660607&jid=1406217329&_u=YCDAiEABBAQCAE~&z=447634484,63,42.0,72.0,72.0,72.0,72.0,72
hr9oplv6-480.jpg,0,0.0,11658.0,10972.0,8864.0,6838.0,4506
blank.gif,491,49.0,72.0,72.0,72.0,72.0,72
2aa448c612a3079f85d9701d044723a5.gif,262482,261722.0,177380.0,169878.0,144568.0,114442.0,83808
3c99b618c6b21db92e307cb5d7dc2588.gif,49027,48215.0,69436.0,66366.0,54874.0,43444.0,30776
ceb9cdcbc67a787da45d19c85dc64f2d.gif,50377,49871.0,27374.0,26276.0,22020.0,17436.0,12866
9e6adf14348fa2007470608c39dd7acc.gif,19564,19096.0,26050.0,25240.0,22268.0,19236.0,16418
1b1ab0764a14ea7bf8873b4b3f74c28b.gif,288314,287547.0,156544.0,150866.0,125398.0,97012.0,68118
usersync?partner=appnexus&uid=$UID,844,43.0,,,,,
sd?id=537072991&val=CAESENaokpkQ6L5natdU9g9BZWM&google_cver=1,114,43.0,44.0,44.0,44.0,44.0,44
cs?dspid=appnexus&uid=$UID,844,43.0,,,,,
acs?ver=1&dspid=rtbhouse&v=y8dVQGccMh9dJPpW0SybAwZIEiI7_O4U7f0Sh3A22GqFuIK6xymdZrjuqjYCgxa9a2ASeEEOx4c0D2_KdvkE3g&format=gif,364,43.0,72.0,72.0,72.0,72.0,72
xuid?mid=3658&xuid=9eae4ce0-ccf4-4bc8-a4bc-07eed80a6b8d&dongle=0cfd,354,37.0,72.0,72.0,72.0,72.0,72
gcs?v=WAs0ex4iHFQFHErSnn_adMaQOrwkEk9B9NqlsHUIsXLNweZysuM66zh-GqvfLZ4R4i7LWPbSiToi5VvCEmp4TeqTWX96GQvan6Tsc9WO6s0=,249,43.0,72.0,72.0,72.0,72.0,72
ImgSync?sec=1&gdpr=0&gdpr_consent=,219,0.0,,,,,
cs?dspid=appier&uid=wn_OOL-FAFG2f9oA_xRjYg,338,43.0,,,,,
khaos.jpg?,921,284.0,44.0,44.0,44.0,44.0,44
709414.gif,448,42.0,72.0,72.0,72.0,72.0,72
pixel?google_nid=rp&google_hm=TDJBV1BLTDAtNy1FSDFO,502,170.0,88.0,88.0,88.0,84.0,80
v1?nwid=10000010181&eid=L2AWPKL0-7-EH1N&sigv=1&esig=2~cd55b10234ae2498da940c9d06413cc206a5000f,194,0.0,,,,,
tap.php?v=8981&nid=2307&put=9eae4ce0-ccf4-4bc8-a4bc-07eed80a6b8d&gdpr=0&gdpr_consent=&expires=30,678,42.0,72.0,72.0,72.0,72.0,72
setuid?partner=rubiconDb&dbredirect=true&ruxId=L2AWPKL0-7-EH1N,572,0.0,,,,,
Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9ODA2JnRsPTUxODQwMA==&piggybackCookie=uid:$UID&gdpr=0&gdpr_consent=,611,43.0,72.0,72.0,72.0,72.0,72
p-5aWVS_roA1dVM.gif?idmatch=0&gdpr=0&gdpr_consent=,372,35.0,44.0,44.0,44.0,44.0,44
EAF1AD3E-5A6E-47FA-BCE9-287772EAC174?gdpr=0&gdpr_consent=,989,43.0,72.0,72.0,72.0,72.0,72
ecm3?ex=rubiconprojectHMT&id=G-BiLskCTAyV8Nt8ua4Qmg,556,43.0,72.0,72.0,72.0,72.0,72
ecm3?ex=rubiconprojectHMT&id=X1hL6iUETOq8HqeIy8qFMw,556,43.0,72.0,72.0,72.0,72.0,72
tap.php?v=31950&nid=2974&put=8468322760821157952,678,42.0,72.0,72.0,72.0,72.0,72
Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTI4NDkmdGw9MTI5NjAw&piggybackCookie=9eae4ce0-ccf4-4bc8-a4bc-07eed80a6b8d,291,42.0,72.0,72.0,72.0,72.0,72
user_sync.html?p=156578&predirect=,15844,15844.0,,,,,
Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTIxNzcmdGw9MTI5NjAw&gdpr=0&gdpr_consent=&piggybackCookie=CAESEK_A967SsiOUM-dC5L7tYlE&google_cver=1,591,42.0,72.0,72.0,72.0,72.0,72
