img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.brightspace.com/,82,0.0,,,,,
D2L-preferred-White.svg,1122,1260.0,,,,,
img-mobile-brightspace.jpg,117604,117068.0,46762.0,43982.0,33516.0,24282.0,16012
FSN-22-homepage-its-personal.jpg,49747,49292.0,21640.0,20480.0,16320.0,12742.0,8640
logo-long_beach.jpg,5300,4788.0,1886.0,1786.0,1492.0,1124.0,774
img-cust-ANA-colour.jpg,4830,4341.0,2160.0,2050.0,1774.0,1420.0,1026
logo-gwinnettcps-colour.jpg,4795,4270.0,1840.0,1798.0,1538.0,1226.0,862
img-logo-Colliers.jpg,5032,4470.0,1908.0,1844.0,1564.0,1218.0,884
hero-homepage-curve.jpg,97291,96762.0,30716.0,29032.0,22708.0,16754.0,10450
v.gif?cd=0&a=592544&d=d2l.com&u=D4D106AAFD27D28C5F6DD69BD54B2045E&h=80e2def5b5eb52f93f382044e35540f7&t=false&r=0.44728547596539214,33,0.0,44.0,44.0,44.0,44.0,44
z7AaAopyoluinM2GRUWBWs6NGB5-_ACL.jpg,59400,58813.0,48500.0,46224.0,37024.0,28824.0,19816
s.gif?account_id=592544&u=D4D106AAFD27D28C5F6DD69BD54B2045E&s=1650724272&p=1&tags={%22si%22:{%22117%22:%222%22}}&update=1&cq=0&vn=7.0.204&vns=undefined&vno=undefined&_cu=https%3A%2F%2Fwww.d2l.com%2F&e,33,0.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=614658322&t=pageview&_s=1&dl=https%3A%2F%2Fwww.d2l.com%2F&ul=en-us&de=UTF-8&dt=D2L%20%7C%20Online%20Learning%20Platform%20%7C%20Creators%20of%20the%20Brightspace%20LMS%20Software&,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-52032323-1&cid=481726877.1650724274&jid=593513841&_u=YGBAiEABBAAAAE~&z=612378086,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-52032323-1&cid=481726877.1650724274&jid=593513841&_u=YGBAiEABBAAAAE~&z=612378086,501,42.0,72.0,72.0,72.0,72.0,72
bg-DiscoverD2L-abstract.jpg,88313,87764.0,22642.0,21232.0,17478.0,14644.0,11938
img-tablet-wave.jpg,92372,91870.0,39236.0,37514.0,29798.0,22750.0,15184
img-tablet-imagine.jpg,103666,103161.0,38894.0,36794.0,29496.0,22308.0,14990
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=ca2e23ac-c32a-477f-a74c-4c26416e4bb0&_expected_cookie=6594215241c047080b06e7e277ff9e91,143,43.0,,,,,
z7AaAopyoluinM2GRUWBWs6NGB5-_ACL.jpg,59400,58813.0,48500.0,46224.0,37024.0,28824.0,19816
s.gif?account_id=592544&u=D4D106AAFD27D28C5F6DD69BD54B2045E&s=1650724272&p=1&ed=%7B%22tz%22%3A%22Asia%2FKarachi%22%2C%22tO%22%3A%22-5%22%2C%22lt%22%3A%221650724282230%22%2C%22r%22%3A%22%22%2C%22ul%22%,33,0.0,44.0,44.0,44.0,44.0,44
c.gif?account_id=592544&experiment_id=22&goal_id=7&ru=&u=D4D106AAFD27D28C5F6DD69BD54B2045E&s=1650724272&ifs=1&t=1&cu=https%3A%2F%2Fwww.d2l.com%2F&gt=1_23113&f={%22113%22:%22742:1650724272%22%2223%2,33,0.0,44.0,44.0,44.0,44.0,44
s.gif?account_id=592544&u=D4D106AAFD27D28C5F6DD69BD54B2045E&s=1650724272&p=1&tags={%22si%22:{%22108%22:%221%22%22102%22:%221%22%2292%22:%221%22%2287%22:%221%22%2270%22:%221%22%2266%22:%221%22%22,33,0.0,44.0,44.0,44.0,44.0,44
pageTransferSize,2492519,,,,,,
totalByteWeight,7865765,,,,,,
