img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.buzzfeed.com/,196132,987919.0,,,,,
a-florida-bride-and-her-caterer-allegedly-served--2-454-1650578200-2_dblwide.jpg?fill=700:250;centertop,26074,25580.0,12598.0,11978.0,9214.0,6966.0,4424
40-products-we-found-on-tiktok-that-might-just-ch-2-1451-1650629057-1_big.jpg?fill=266:176;centertop,16989,16496.0,9684.0,9202.0,7480.0,5566.0,3612
tmp-name-2-831-1650398115-10_big.jpg?fill=266:176;centertop,19477,18947.0,12268.0,11794.0,9882.0,7700.0,5166
your-taste-in-movies-snacks-and-men-will-reveal-y-2-1237-1650411417-12_big.jpg?fill=266:176;centertop,15737,15412.0,9842.0,9394.0,7782.0,6004.0,4062
25-menu-items-that-american-chain-restaurant-work-2-947-1650601677-0_big.jpg?fill=266:176;centertop,15963,15604.0,9270.0,8790.0,7044.0,5186.0,3124
heres-everything-you-need-to-know-about-ezra-mill-2-617-1650649344-5_big.jpg?fill=266:176;centertop,8638,8296.0,4208.0,4008.0,3206.0,2374.0,1472
tmp-name-2-3117-1650481098-25_big.jpg?fill=266:176;centertop,16723,16221.0,10102.0,9478.0,7762.0,5824.0,3838
373828.jpg?fill=266:176;centertop?fill=266:176;centertop,11620,11295.0,5884.0,5538.0,4342.0,3148.0,1950
374511.jpg?fill=266:176;centertop?fill=266:176;centertop,16738,16386.0,10228.0,9756.0,7976.0,6098.0,3996
s2iA-NSxA.png,3190,2879.0,794.0,780.0,702.0,626.0,556
3ScQASnxN.png,650284,649602.0,98500.0,94094.0,77230.0,54144.0,34858
tmp-name-2-4731-1650303137-0_big.jpg?fill=266:176;centertop,11136,10637.0,5336.0,5016.0,4020.0,3130.0,1974
12-famous-people-who-grew-up-rich-and-12-who-are--2-834-1650343392-12_big.jpg?fill=266:176;centertop,19416,19063.0,12980.0,12442.0,10440.0,7990.0,5232
tell-us-how-many-of-these-rom-coms-youve-seen-and-2-1509-1650421622-19_big.jpg?fill=266:176;centertop,9009,8561.0,3922.0,3652.0,2828.0,2090.0,1372
tmp-name-2-5007-1649953099-0_big.jpg?fill=266:176;centertop,14545,14187.0,8134.0,7704.0,6170.0,4670.0,2934
15-real-life-sex-and-intimacy-questions-youre-too-2-617-1650567827-9_big.jpg?fill=266:176;centertop,21747,21378.0,14400.0,13784.0,11584.0,8762.0,5936
44-small-businesses-to-check-out-for-mothers-day--2-2935-1650476477-0_big.jpg?fill=266:176;centertop,15356,14984.0,8560.0,8074.0,6436.0,4798.0,3090
63-of-the-best-mothers-day-gifts-to-give-in-2022-2-1920-1650641713-7_big.jpg?fill=266:176;centertop,14807,14353.0,8502.0,8028.0,6630.0,4978.0,3252
60-mothers-day-gifts-you-basically-cant-go-wrong--2-498-1650644471-13_big.jpg?fill=266:176;centertop,15416,15070.0,9084.0,8538.0,6844.0,5124.0,3152
tmp-name-2-2500-1650472102-4_big.jpg?fill=266:176;centertop,9577,9233.0,4462.0,4124.0,3158.0,2196.0,1288
if-you-dont-recognize-3040-of-these-song-lyrics-y-2-414-1650401337-0_big.jpg?fill=266:176;centertop,15467,15005.0,9070.0,8590.0,7100.0,5358.0,3546
tmp-name-2-6769-1647959126-1_big.jpg?fill=266:176;centertop,17748,17382.0,11318.0,10786.0,8698.0,6616.0,4204
it-seems-bogus-but-your-go-to-mcdonalds-order-wil-2-560-1650582396-0_big.jpg?fill=266:176;centertop,11996,11652.0,5726.0,5424.0,4302.0,3258.0,2176
BFV69042_HowToMakeBobaFromScratch_JP_Final_YT.jpg?fill=208:208;centertop?fill=266:176;centertop,9056,8600.0,4164.0,3880.0,3096.0,2242.0,1454
331816.jpg?fill=208:208;centertop?fill=266:176;centertop,14694,14319.0,8578.0,8084.0,6376.0,4474.0,2674
343078.jpg?fill=208:208;centertop?fill=266:176;centertop,18219,17857.0,12574.0,11924.0,9680.0,7318.0,4278
374420.jpg?fill=266:176;centertop?fill=266:176;centertop,14063,13619.0,7512.0,7092.0,5608.0,4284.0,2788
374249.jpg?fill=266:176;centertop?fill=266:176;centertop,16698,16307.0,11514.0,10956.0,8860.0,6486.0,3826
372643.jpg?fill=266:176;centertop?fill=266:176;centertop,16618,16259.0,10228.0,9708.0,7760.0,5768.0,3496
368329.jpg?fill=266:176;centertop?fill=266:176;centertop,15487,15048.0,9390.0,8942.0,7276.0,5356.0,3328
374253.jpg?fill=266:176;centertop?fill=266:176;centertop,13089,12716.0,7492.0,7122.0,5560.0,4170.0,2582
373878.jpg?fill=266:176;centertop?fill=266:176;centertop,15908,15555.0,9718.0,9286.0,7516.0,5666.0,3582
374067.jpg?fill=266:176;centertop?fill=266:176;centertop,16512,16131.0,10742.0,10232.0,8366.0,6258.0,3946
tmp-name-2-1728-1650637036-14_big.jpg?fill=266:176;centertop,15712,15264.0,9064.0,8378.0,6718.0,5152.0,3280
original-631-1650648521-25.jpg?crop=1243:829;70&resize=300:*?fill=266:176;centertop,13641,13252.0,35238.0,33082.0,26534.0,20388.0,14378
khloe-kardashian-admitted-shes-afraid-to-post-pho-2-1703-1650637058-9_big.jpg?fill=266:176;centertop,14132,13791.0,7966.0,7438.0,6008.0,4388.0,2846
tmp-name-2-1727-1650639575-23_big.jpg?fill=266:176;centertop,13883,13439.0,7376.0,6808.0,5520.0,4068.0,2526
original-1324-1650622379-15.jpg?crop=1243:829;00&resize=300:*?fill=266:176;centertop,18290,17910.0,63490.0,59736.0,47964.0,36020.0,24246
b2?c1=7&c2=34213477&c3=1&ns__t=1650658583342&ns_c=UTF-8&cv=3.5&c8=BuzzFeed&c7=https%3A%2F%2Fwww.buzzfeed.com%2F&c9=,191,0.0,,,,,
people-whove-gone-no-contact-with-loved-ones-shar-2-668-1650650522-17_big.jpg?fill=266:176;centertop,19446,18901.0,12160.0,11624.0,9752.0,7668.0,5272
13514346938271569833,7216,6864.0,6314.0,6130.0,5246.0,3476.0,2256
en.png,3088,2982.0,1746.0,1692.0,1468.0,1248.0,926
icon.png,806,344.0,174.0,170.0,146.0,120.0,82
adview?ai=CbMlIGQ1jYra0A7TCmwfEzKCYA6LR2t5pnvn5xtAP2dkeEAEgm6iHN2DL3LQFoAGsvdeXA8gBAuACAKgDAcgDCKoE8AFP0IYBiC1mGXRKZvg0NFF10QCr7rCgCmS6JL7VPEjbnYXxT5WpHJHkQImv6GsG9YfX1qr4niC7C4VUwtIwJlk0Vye7cBHIfJR4L,0,0.0,,,,,
pixel;r=1455457392;rf=1;a=p-BSdKknGmKHXfu;url=https%3A%2F%2Fwww.buzzfeed.com%2F;uht=2;fpan=1;fpa=P0-694277923-1650658585487;pbc=;ns=0;ce=1;qjs=1;qv=a98acd33-20220316110313;cm=;gdpr=0;us_privacy=1---;r,372,35.0,44.0,44.0,44.0,44.0,44
1.7.21_resinlamps_ig.00_02_55_02.Still091.jpg.62.webp,12103,11646.0,5158.0,4988.0,4378.0,3176.0,2036
BFV88324_UmmAllOfTheseAreCake_9x16.00_00_42_19.Still001.jpg.62.webp,11793,11570.0,4804.0,4680.0,4196.0,2986.0,1886
frame_4062.jpg.62.webp,39707,39466.0,17324.0,16860.0,15436.0,12346.0,6758
9x161.jpg.62.webp,14089,13866.0,6072.0,5892.0,5264.0,4050.0,2700
si?st=NO_DATA,0,0.0,,,,,
sync?dsp_id=16&user_id=CAESEKENpTCi1A1taMStTqqc0eA&google_cver=1&ssp=themediagrid&bsw_param=496537dc-0afb-4c0a-92d8-1b6142a9e23c,235,43.0,72.0,72.0,72.0,72.0,72
