img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.caixabank.es/,266,0.0,,,,,
fff.png,143,68.0,72.0,72.0,72.0,72.0,72
ico3.png,3407,3258.0,1634.0,1598.0,1516.0,1406.0,1298
menu.png,330,249.0,112.0,114.0,112.0,112.0,112
cross.png,538,470.0,160.0,160.0,160.0,160.0,160
fff.png,0,68.0,72.0,72.0,72.0,72.0,72
ic_midiaadia_dk.png,542,461.0,258.0,258.0,258.0,258.0,258
ic_disfrutardelavida_dk.png,504,459.0,216.0,216.0,214.0,214.0,214
ic_dormirtranquilo_dk.png,440,382.0,210.0,210.0,208.0,208.0,208
ic_pensarenelfuturo_dk.png,580,535.0,282.0,282.0,282.0,282.0,282
Logo_impulsar_crecimiento.png,634,553.0,252.0,252.0,254.0,252.0,250
Logo_gestionar_recursos.png,470,397.0,214.0,214.0,212.0,212.0,210
MyHome_th_Logo.png,3272,3191.0,1568.0,1558.0,1486.0,1390.0,1320
ico_reloj_azul_oscuro.png,516,435.0,282.0,282.0,278.0,276.0,276
arrow-dropdown-down.png,231,145.0,100.0,100.0,100.0,100.0,100
gps.png,602,533.0,198.0,198.0,198.0,198.0,198
logo-m.png,1958,1872.0,1402.0,1336.0,1142.0,916.0,654
ic_user_blue.png,904,783.0,472.0,468.0,428.0,390.0,358
icon_lock_white.png,264,196.0,150.0,150.0,150.0,150.0,150
down-arrow-blue.png,620,553.0,248.0,242.0,232.0,224.0,202
bg-map.jpg,6996,6951.0,2164.0,2028.0,1640.0,1210.0,700
maps.png,805,737.0,488.0,476.0,450.0,420.0,374
logo.png,3972,3891.0,2070.0,1974.0,1692.0,1360.0,966
icon-world.png,456,380.0,232.0,232.0,232.0,232.0,232
icon_hc.png,788,721.0,240.0,234.0,204.0,170.0,126
arrow-dropdown-down.png,214,145.0,100.0,100.0,100.0,100.0,100
hm-slider-pause.png,412,330.0,320.0,318.0,302.0,274.0,262
hm-slider-dot.png,309,242.0,276.0,270.0,252.0,236.0,216
hm-slider-dot-inactive.png,341,261.0,274.0,266.0,250.0,236.0,216
thucraniahome_1920x480_mobilestandard-small.jpg,39725,39628.0,26146.0,24742.0,19870.0,15380.0,9778
hm-slider-arrow-left.png,357,276.0,270.0,268.0,248.0,228.0,192
hm-slider-arrow-right.png,360,268.0,250.0,242.0,232.0,206.0,182
icon-lock-small.png,1136,1054.0,218.0,212.0,200.0,190.0,172
micro.svg,964,2236.0,,,,,
th_slider-tranquilon_1920x480_50kb_cas_mobilestandard-small.jpg,23168,23031.0,8842.0,8322.0,6736.0,4972.0,3216
2201_S_S22Series_Preventa_2P_th_1920x360_mobilestandard-small.jpg,22112,21938.0,5430.0,5146.0,4336.0,3306.0,2402
Wivai_Iconfe_Plazo_2_56x56.png,3031,2880.0,1376.0,1346.0,1208.0,1048.0,854
panelessolaresicohome.png,1836,1755.0,72.0,72.0,72.0,72.0,72
mantenimientoicohome.png,2288,2216.0,1248.0,1214.0,1108.0,958.0,788
macromenu_familias_325x145.jpg,25637,25521.0,4822.0,4588.0,3596.0,2690.0,1780
macromenu_banca_premier_325x145.jpg,41999,41899.0,11524.0,10924.0,8672.0,6284.0,3742
macromenu_banca_privada_325x145.jpg,40671,40525.0,3362.0,3102.0,2126.0,1458.0,742
macromenu_empresas_325x145.jpg,9041,8964.0,2874.0,2726.0,2156.0,1650.0,1078
macromenu_negocios_325x145.jpg,8278,8187.0,2462.0,2294.0,1840.0,1384.0,974
macromenu_hola_bank_325x145.jpg,24819,24718.0,4948.0,4602.0,3568.0,2578.0,1544
macromenu_agro_bank_325x145.jpg,17688,17596.0,8176.0,7670.0,5726.0,3954.0,2126
b_macromenu_cbnknow_322x427.jpg,21694,21603.0,12330.0,11554.0,9104.0,6782.0,4330
macrofotonueva.jpg,21717,21603.0,12330.0,11554.0,9104.0,6782.0,4330
2203_MH_PanelesSolares_DestacadoDoble_Home_580x210.jpg,23512,23375.0,13514.0,12850.0,10154.0,7634.0,4648
destacadoSimplehogarblackHome_290x210_15.jpg,12595,12527.0,5668.0,5224.0,4006.0,2956.0,1904
prestamos-home_290x210.jpg,14656,14574.0,12082.0,11364.0,9432.0,7174.0,4568
imagen_21305Destacadosimplehomemycard.jpg,14679,14610.0,11442.0,10854.0,8824.0,6634.0,4122
seguridaddigital_290x210_15.jpg,14902,14833.0,4428.0,4144.0,3316.0,2634.0,1772
destacadohomeimaginkids.jpg,15023,14978.0,9322.0,8792.0,6990.0,5354.0,3358
imaginhome.jpg,14963,14835.0,5056.0,4770.0,3860.0,2970.0,1978
imagen_cajeros_376x210.jpg,18269,18191.0,7636.0,7254.0,5836.0,4416.0,2802
FundacioBancaria_L2017.jpg,17743,17665.0,8864.0,8380.0,6540.0,4718.0,2986
Proximas_Charlas2_376x210.jpg,12619,12527.0,4296.0,4054.0,3272.0,2492.0,1632
dialogo.png,650,569.0,2070.0,1974.0,1692.0,1360.0,966
linkedin.png,306,248.0,206.0,206.0,206.0,206.0,206
instragram.png,373,328.0,282.0,280.0,276.0,276.0,276
facebook.png,0,0.0,210.0,212.0,210.0,210.0,210
twitter.png,444,386.0,270.0,268.0,264.0,264.0,264
youtube.png,441,383.0,268.0,266.0,262.0,262.0,262
blog.png,0,0.0,206.0,204.0,200.0,200.0,200
mas.png,0,0.0,188.0,186.0,186.0,184.0,182
icono_dinero_transparente.png,731,663.0,424.0,424.0,424.0,422.0,422
logoblancopremios.png,0,0.0,394.0,392.0,388.0,388.0,388
galaxy_hand.png,10460,10364.0,2376.0,2294.0,2044.0,1758.0,1448
ilunion_logo.jpg,16207,16138.0,1184.0,1160.0,966.0,774.0,530
iso_anab_47x24.png,1845,1777.0,612.0,588.0,500.0,420.0,310
efqm.png,1739,1647.0,296.0,278.0,240.0,194.0,152
AFE_2020_47.jpg,1108,1000.0,232.0,226.0,190.0,156.0,116
GLOBAL_AWARDS_ICON_WINNER.png,0,0.0,604.0,582.0,506.0,414.0,308
logo_iso.jpg,0,0.0,466.0,448.0,386.0,322.0,248
aqemetrix_32x24.png,0,0.0,304.0,296.0,278.0,268.0,264
pageTransferSize,1129287,,,,,,
totalByteWeight,2988245,,,,,,
