img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.chinamenwang.com/,404089,403254.0,,,,,
mc-ewm-m.gif,0,0.0,5354.0,5176.0,4584.0,3896.0,2970
144339ps623ac19b270374.4195818838828.jpg.tb.s425_325_2.jpg,0,0.0,29914.0,27908.0,22014.0,15794.0,9086
112125A933B5A3-9733-27DA-53FB-1AE468B6B16B-1.png,0,0.0,11546.0,10962.0,8624.0,6350.0,3744
125418ps625e407aeaa320.2437855041853.jpg,0,0.0,29020.0,27598.0,22848.0,17728.0,12722
10082249A9F3C1-C8BE-980D-D3D6-CC2EFCF73AC3-1.jpg,0,0.0,17484.0,16552.0,13210.0,9676.0,6304
091623A0116FA9-A76A-B96D-687C-98676708CB9A-1.jpg,0,0.0,15724.0,14952.0,11538.0,8562.0,5396
105136F93491C8-CEFA-BF4B-C83C-22716EC65EF8-1.jpg,0,0.0,15002.0,14056.0,11292.0,8508.0,5674
103509ps61ce6c5dc26102.5247669541860.jpg,0,0.0,1304.0,1260.0,1068.0,836.0,592
095244ps61ce626ca0cb91.0745863241860.jpg,0,0.0,4102.0,3928.0,3410.0,2818.0,2064
103936ps618b30e8493b52.1012963741860.jpg,0,0.0,5798.0,5472.0,4650.0,3432.0,2256
lazy.gif,0,0.0,74.0,74.0,74.0,74.0,74
17440212392DD4-D41F-55ED-4087-D3DB6DBA6E74-1.jpg,0,0.0,2284.0,2198.0,1846.0,1404.0,976
174542ps61dd51c6573166.4012064427252.jpg,0,0.0,4066.0,3884.0,3298.0,2594.0,1758
101033ps5f87af99938070.3456982718146.jpg,0,0.0,3054.0,2930.0,2460.0,1918.0,1342
104429ps612d978dee9df6.758718264163.jpg,0,0.0,2652.0,2530.0,2234.0,1876.0,1350
142011ps5eddd89b7eb2e5.4064097050849.jpg,0,0.0,2694.0,2588.0,2178.0,1726.0,1238
174136ps5efdabd0cdf3b2.0499299751001.jpg,0,0.0,2022.0,1910.0,1608.0,1206.0,822
