img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.constantcontact.com/,53917,298277.0,,,,,
ctct_ripple_logo_stack_blue_orange.svg,4967,13672.0,,,,,
merchtile_shabby_chic_logo.png,19812,19425.0,9704.0,9582.0,9188.0,8762.0,8052
merchtile_email_plus_9_99.png,15313,14934.0,6204.0,6176.0,5952.0,5656.0,5378
merchtile_automation.png,41164,40760.0,12704.0,12352.0,10802.0,9106.0,7250
merch_tile_content_ideas.png,98658,98191.0,18554.0,17722.0,14880.0,11538.0,7690
homepage-hero-test-mobile.png,129473,128967.0,10214.0,9532.0,7536.0,5638.0,3494
ctct_ripple_logo_stack_blue_orange.svg,0,13672.0,,,,,
merchtile_shabby_chic_logo.png,0,19425.0,9704.0,9582.0,9188.0,8762.0,8052
merchtile_email_plus_9_99.png,0,14934.0,6204.0,6176.0,5952.0,5656.0,5378
merchtile_automation.png,0,40760.0,12704.0,12352.0,10802.0,9106.0,7250
merch_tile_content_ideas.png,0,98191.0,18554.0,17722.0,14880.0,11538.0,7690
starting_out.png,265590,264934.0,15888.0,14974.0,11920.0,8912.0,5740
some_experience.png,212916,212322.0,12150.0,11544.0,9220.0,7308.0,4996
Card1.png,2792,2424.0,928.0,880.0,806.0,664.0,568
constantcontact.com.png,14590,14464.0,5282.0,5208.0,4894.0,4528.0,4054
collect?v=1&_v=j96&a=249055651&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.constantcontact.com%2Fget-started%2Fmobile&ul=en-us&de=UTF-8&dt=Get%20Started%20Today%20%7C%20Constant%20Contact&sd=24-bit&sr=360x,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=249055651&t=event&ni=1&_s=2&dl=https%3A%2F%2Fwww.constantcontact.com%2Fget-started%2Fmobile&ul=en-us&de=UTF-8&dt=Get%20Started%20Today%20%7C%20Constant%20Contact&sd=24-bit&sr=360x,55,35.0,44.0,44.0,44.0,44.0,44
