img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.dictionary.com/,223910,223357.0,,,,,
sharp-play_arrow-24px-e97a397a8afca152944f70f85ffd391c.svg,383,164.0,,,,,
audio-icon-0b29c1db2f0b1c9452c7b961aa081a91.svg,771,1106.0,,,,,
new_words_marketing-8a9520c62ed5c2431ec3ffcb07276f3b.png,49337,49037.0,19558.0,18462.0,15610.0,12736.0,9678
20210407_nouns_vs_commonProper_1000x700-160x160.png,7367,7006.0,1396.0,1332.0,1064.0,762.0,490
20200414_crossword_1000x700-160x160.jpg,3555,3178.0,2440.0,2184.0,1750.0,1474.0,1094
WP_16x9_FINAL-160x160.png,7047,6746.0,2278.0,2182.0,1872.0,1564.0,1152
20220415_travelTerms_1000x700-280x158.jpg,10345,9980.0,7608.0,6822.0,5152.0,4156.0,2442
20210513_atw_cheugy_1000x700-160x160.png,5031,4760.0,780.0,738.0,662.0,518.0,398
20211020_scorpio_triangularFlag_1000x700-160x160.png,8531,8172.0,472.0,448.0,394.0,320.0,260
sharp-pause-24px-6cf61982e44208f12676eff3da03f0b9.svg,482,178.0,,,,,
20210602_lgbtq_1000x700-160x160.png,7553,7164.0,4546.0,4344.0,3748.0,3050.0,2142
gen_204?id=gpt_paw&pvsid=3282578532789508&vrg=2022041801&nw_id=23219321&nslots=1&eid=31067070%2C31067094%2C31067190%2C31065401%2C21067496&pub_url=https%3A%2F%2Fwww.dictionary.com%2F&sig=0&req=0&req_cn,20,0.0,,,,,
ping_match.gif?ei=OPENX&rurl=https%3A%2F%2Feu-u.openx.net%2Fw%2F1.0%2Fsd%3Fid%3D537072979%26val%3D_wfivefivec_,0,0.0,,,,,
sync?ssp=openx,0,0.0,,,,,
sd?id=537072399&val=$UID,0,0.0,,,,,
ox,0,0.0,,,,,
img?mt_exid=5&redir=https%3A%2F%2Feu-u.openx.net%2Fw%2F1.0%2Fsd%3Fid%3D536872786%26val%3D%5BMM_UUID%5D,0,0.0,,,,,
p-25CIknq_eSg16.gif?idmatch=0&gdpr=0,0,0.0,,,,,
match?party=22,0,0.0,,,,,
openx?oxid=08a13782-5f3a-70f5-e46f-788236358584&gdpr=0,0,0.0,,,,,
pixel?google_nid=openx&google_hm=MjRjZWU0NDgtOTY0ZC0yZTUxLWYxOGYtMjIzYmZjZDc0YmU0,0,0.0,,,,,
pixel?google_nid=openx&google_cm&google_sc,0,0.0,,,,,
en_bl.png,3004,2980.0,,,,,
icon.png,807,344.0,,,,,
l?ebcid=ALh7CaTMCTNhIIQ6QTWBGlIUA3o0TfadlqjzpctsvFDX7GqnPHZ6PAl6Oo9dAc2BxdGa1O_hCWSdIsk1xiSnjh7Iu36_4Duzcw,0,0.0,,,,,
adview?ai=C1yLWV0NjYuGJNcyMkdUPs6qamAyM3Ibgad3f4NbmDZ6859OEDxABII7QuB9gy9y0BaABxIDknwLIAQHgAgCoAwHIAwqqBOUBT9A7X9nch4Nix8adRJbwytuQcDhEduwGt9QGydeWtxpNW3F7oxhOKEzD_vAqF7xyejyhmgwpNQyXjbRcd0G55pKjC79Z4,0,0.0,,,,,
bUzX71jGJBztjfbCdLMsxWc5Q3-RU34chvono2qT8l0axNGFFvVmdJi1XYl2hJBKt7bL0YK4=w105-h105-rw-v1,1969,1576.0,,,,,
google_play_icon_grey_o54.svg,4168,11090.0,,,,,
pageTransferSize,1497645,,,,,,
totalByteWeight,4803885,,,,,,
