img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.donya-e-eqtesad.com/,197,0.0,,,,,
logo.png,36739,36476.0,,,,,
p01+copy.jpg,65572,65249.0,122636.0,115806.0,97598.0,75846.0,52048
%D8%A7%D9%84%DB%8C%D9%88%D8%AA+%D8%A7%D8%B3%D9%85%DB%8C%D8%AA+copy.jpg,4070,3812.0,1896.0,1760.0,1452.0,1132.0,760
%D9%88%DB%8C%DA%98%D9%86+%D8%AA%D8%A7%D9%86+copy.jpg,5029,4771.0,2620.0,2514.0,2016.0,1516.0,910
%DA%A9%D8%B1%DB%8C%D8%B3+%DA%AF%D8%A7%DB%8C%D9%84%D8%B2+copy.jpg,3789,3530.0,1558.0,1474.0,1192.0,926.0,620
%D8%AC%D9%88%D8%B3%D8%AA+%D9%87%DB%8C%D9%84%D8%AA%D8%B1%D9%85%D9%86+copy.jpg,3578,3319.0,1536.0,1426.0,1182.0,910.0,602
logo.aspx?id=19341&Code=TLsTlO1x7kD5Qg28m6RD,4800,4490.0,5080.0,4960.0,4574.0,4132.0,3790
%D9%BE%D8%A7%D8%AF%D8%B1%D9%88.gif,23757,23485.0,24584.0,23496.0,19936.0,15856.0,11180
header-pattern.png,1198,938.0,74.0,72.0,68.0,66.0,60
arrow_bullet.png,370,111.0,144.0,140.0,132.0,124.0,112
header-pattern-1.png,393,134.0,66.0,70.0,62.0,64.0,58
arrow_bullet-three.png,434,175.0,156.0,154.0,144.0,136.0,122
%D8%A7%DB%8C%D9%86%D8%B3%D8%AA%D8%A7%DA%AF%D8%B1%D8%A7%D9%85+%D8%AF%D9%86%DB%8C%D8%A7%DB%8C+%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF.jpg,33050,32768.0,5656.0,5458.0,4454.0,3580.0,2426
%D8%B1%D8%A7%D9%87%DA%A9%D8%A7%D8%B1%D8%A7%D9%86+%D8%A7%D8%A8%D8%B1%DB%8C.gif,35144,34854.0,36488.0,35076.0,29578.0,23384.0,16276
%D8%A8%D9%87+%D9%BE%D8%B1%D8%AF%D8%A7%D8%AE%D8%AA+%D9%85%D9%84%D8%AA.gif,65855,65536.0,132188.0,125014.0,99956.0,74348.0,47982
%D8%A7%D9%88+%D8%A7%D9%85+%D9%BE%DB%8C+%D9%81%DB%8C%D9%86%DA%A9%D8%B3.gif,65854,65536.0,86146.0,80968.0,65958.0,50626.0,35154
%D9%81%D9%88%D9%84%D8%A7%D8%AF+%D9%87%D8%B1%D9%85%D8%B2%DA%AF%D8%A7%D9%86.gif,50299,49991.0,59260.0,56124.0,45844.0,34398.0,22504
%D8%B1%D8%A7%DB%8C+%D8%A8%DB%8C%D9%86.gif,15007,14744.0,18044.0,17394.0,14924.0,11968.0,8904
%DA%A9%D8%A7%D8%B1%DA%AF%D8%B2%D8%A7%D8%B1%DB%8C+%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87+%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C+%D9%85%D9%84%DB%8C.gif,65853,65536.0,57466.0,54640.0,44866.0,34418.0,23470
%D9%82%DB%8C%D9%85%D8%AA+%D8%A2%D9%87%D9%86.gif,28404,28122.0,51694.0,49604.0,42468.0,34096.0,24706
%D9%87%D8%A7%DA%A9%D9%88%D9%BE%DB%8C%D8%A7%D9%86.gif,0,0.0,6782.0,6544.0,5666.0,4582.0,3526
%D8%A2%D9%85%D9%88%D8%B2%D8%B4+%DB%8C%D8%A7%D8%B1.gif,0,0.0,21106.0,20244.0,17134.0,13374.0,9428
%D8%AA%D9%85%D8%A7%D8%B3+%D8%A8%D8%B1%D8%A7%DB%8C+%D8%AA%D8%A8%D9%84%DB%8C%D8%BA%D8%A7%D8%AA.gif,0,0.0,62814.0,59840.0,50072.0,40480.0,28274
%D9%85%D8%AF%DB%8C%D8%B1%D8%A7%D9%86+%D8%AE%D9%88%D8%AF%D8%B1%D9%88.gif,0,0.0,6810.0,6472.0,5584.0,4558.0,3386
footerBg.png,371,112.0,94.0,94.0,94.0,94.0,94
footer_list_arrow.png,456,197.0,154.0,150.0,146.0,140.0,134
aasaam-new.png,3428,3167.0,1252.0,1228.0,1150.0,1084.0,992
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=%D8%B1%D9%88%D8%B2%D9%86%D8%A7%D9%85%D9%87%20%D8%AF%D9%86%DB%8C%D8%A7%DB%8C%20%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%20%7C%20%D9%BE%D8%B1%D9%85%D,551,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
300x200.jpeg,23287,22614.0,,,,,
yektanet-logo-full.png,5383,4650.0,5702.0,5528.0,5144.0,4504.0,3854
pageTransferSize,1338698,,,,,,
totalByteWeight,2661280,,,,,,
