img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.ea.com/,26526,262979.0,,,,,
ea-wordmark-network-nav-coral.svg,2443,6253.0,,,,,
f122-ea-com-hero-med-cover-bg-7x2-xl.png.adapt.crop2x1.1023w.png,162020,161437.0,21352.0,19786.0,15330.0,10388.0,6520
f1-22-hero-medium-logo.svg,7442,19133.0,,,,,
ea-section-bg-tabs-light-fix.png.adapt.1024w.png,31726,31424.0,3884.0,3884.0,3872.0,3872.0,3842
hero-medium-console-7x2-xl.jpg.adapt.crop2x1.1023w.jpg,181110,180281.0,102522.0,97622.0,76268.0,55978.0,37770
ea-play-logo-coral-hero-logo-small.svg,1120,2227.0,,,,,
ea-section-bg-esrb-parents-blue-xl.jpg.adapt.1024w.jpg,12326,11868.0,3520.0,3518.0,3518.0,3514.0,3514
october-ea-ring.png,18813,18548.0,24246.0,23636.0,22126.0,20574.0,18970
seal?rid=f1a11c5d-0232-4077-8498-2e69a38c1335,16095,14370.0,,,,,
ea-section-bg-tabs-light-fix.png.adapt.768w.png,31724,31424.0,3884.0,3884.0,3872.0,3872.0,3842
ea-section-bg-esrb-parents-blue-xl.jpg.adapt.768w.jpg,5503,5064.0,1454.0,1452.0,1454.0,1450.0,1450
f122-ea-com-hero-med-cover-bg-7x2-xl.png.adapt.crop16x9.767w.png,173854,173245.0,19640.0,18294.0,14296.0,10366.0,7228
hero-medium-console-7x2-xl.jpg.adapt.crop3x5.767w.jpg,140927,140186.0,63612.0,60024.0,46024.0,35446.0,25080
the-sims-4-mono-logo.png,42849,42520.0,15208.0,15174.0,15100.0,15058.0,15022
apex-legends-mono-logo.svg,300672,943719.0,,,,,
fifa22-mono-logo.svg,7347,21343.0,,,,,
battlefield-2042-mono-logo-svg.svg,1444,2565.0,,,,,
battlefield-2042-key-art.jpg.adapt.crop1x1.767p.jpg,130198,129477.0,85108.0,80762.0,64048.0,45072.0,26782
the-sims-4-keyart.jpg.adapt.crop1x1.767p.jpg,72631,72037.0,42876.0,40424.0,32228.0,24498.0,15662
it-takes-two-logo-mono.png,26154,25861.0,7670.0,7736.0,7720.0,7686.0,7712
madden-nfl-22-mono-logo.svg,4623,12861.0,,,,,
apex-legends-keyart.jpg.adapt.crop1x1.767p.jpg,132517,131793.0,87954.0,82680.0,66330.0,49662.0,30628
madden-nfl-22-keyart.jpg.adapt.crop1x1.767p.jpg,65472,64897.0,33144.0,31362.0,25028.0,18370.0,12074
it-takes-two-keyart.jpg.adapt.crop1x1.767p.jpg,66316,65741.0,27744.0,25696.0,19074.0,13482.0,8772
fifa22-key-art.jpg.adapt.crop1x1.767p.jpg,59621,59046.0,28120.0,26350.0,20120.0,14288.0,8984
generate_204?sAS6Fw,9,0.0,,,,,
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-Q3MDF068TF&cid=813227056.1650669783&gtm=2oe4k0&aip=1&z=633700907,501,42.0,72.0,72.0,72.0,72.0,72
eaglobalnav-iconsignin.svg,841,1345.0,,,,,
eaglobalnav-iconregister.svg,1231,2284.0,,,,,
eaglobalnav-iconorigin.svg,1236,1751.0,,,,,
eaglobalnav-iconlink.svg,1662,2672.0,,,,,
eaglobalnav-iconorigincode.svg,2350,5515.0,,,,,
eaglobalnav-iconalert.svg,910,1344.0,,,,,
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nvd6a&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=1cd06cf4-3d43-424b,197,43.0,72.0,72.0,72.0,72.0,72
