img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.expedia.com/,206518,1360795.0,72.0,72.0,72.0,72.0,72
expedia_refresh_logo_102.png,1496,1303.0,72.0,72.0,72.0,72.0,72
logo.svg?locale=en_US&siteid=1&2,2530,4888.0,,,,,
us.svg,1056,4793.0,,,,,
POSa-HP-Hero-Mobile-327x436.jpg,82330,81954.0,72.0,72.0,72.0,72.0,72
icon__mode_edit.svg,620,260.0,,,,,
icon__monetization_on.svg,896,535.0,,,,,
icon__chat.svg,854,492.0,,,,,
6gB6X5s.jpg?impolicy=fcrop&w=400&h=267&p=1&q=high,43918,43622.0,264052.0,243904.0,185068.0,116970.0,58750
UGSJkXY.jpg?impolicy=fcrop&w=400&h=267&p=1&q=high,49036,48684.0,128954.0,121772.0,96414.0,71020.0,47550
MTT-HP-Editorial-3up-384x256-6.jpg,95835,95433.0,72.0,72.0,72.0,72.0,72
US-CA-MX-DE-FR-UK-HP-Editorial-2up-457x257.jpg,81287,80912.0,72.0,72.0,72.0,72.0,72
MTT-HP-Editorial-2up-457x257-4.jpg,94118,93686.0,72.0,72.0,72.0,72.0,72
2x2.gif?action=logErrors&logTime=2022-04-23T04%3A13%3A21.670Z&pageName=Homepage&message=&siteId=1&eapid=0&tpid=1&appId=blossom-flex-ui&langid=1033&locale=en_US&guid=84ad7601-3c88-4931-ac16-b9c6474d377,189,42.0,72.0,72.0,72.0,72.0,72
2x2.gif?action=logErrors&logTime=2022-04-23T04%3A13%3A21.750Z&pageName=Homepage&pageHydrated=3122.2000000029802&siteId=1&eapid=0&tpid=1&appId=blossom-flex-ui&langid=1033&locale=en_US&guid=84ad7601-3c8,189,42.0,72.0,72.0,72.0,72.0,72
1x1.gif?gcoAgent=false&live=true&pageName=unknown&guid=84ad7601-3c88-4931-ac16-b9c6474d3771&logTime=2022-04-23T04:13:21.816Z&sessionDuration=0&action=logTrxEvent&navTiming_elapsedTime=NaN&unloadTime=N,133,0.0,72.0,72.0,72.0,72.0,72
1x1.gif?action=logTrxEvent&logTime=2022-04-23T04%3A13%3A22.528Z&pageName=Homepage&message=page%20loaded&pageUsable=3899.5&ttfb=1491&dns=0&tcp=90&siteId=1&eapid=0&tpid=1&appId=blossom-flex-ui&langid=10,133,0.0,72.0,72.0,72.0,72.0,72
1x1.gif?action=logTrxEvent&logTime=2022-04-23T04%3A13%3A22.855Z&pageName=Homepage&hydration=3996.300000011921&siteId=1&eapid=0&tpid=1&appId=blossom-flex-ui&langid=1033&locale=en_US&guid=84ad7601-3c88-,133,0.0,72.0,72.0,72.0,72.0,72
2x2.gif?action=logErrors&logTime=2022-04-23T04%3A13%3A22.906Z&pageName=Homepage&time=1156.8999999910593&siteId=1&eapid=0&tpid=1&appId=blossom-flex-ui&langid=1033&locale=en_US&guid=84ad7601-3c88-4931-a,189,42.0,72.0,72.0,72.0,72.0,72
?label=FH&guid=ON&script=0&ord=9554812452668052&price=partner_id%3D89%3Bbase_price_value_string%3DNaN%3B,0,0.0,72.0,72.0,72.0,72.0,72
&_rnd=0.007868450469759702,303,68.0,,,,,
0?ti=56343525&Ver=2&mid=f3f97bfa-894c-4274-b5f2-8e4eebebba38&sid=b78f1d60c2bb11ecab1d5beb89f98b2e&vid=b78f3300c2bb11ecb4fb5d0d04e60c71&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Expedia%20Tr,153,0.0,72.0,72.0,72.0,72.0,72
?id=468990633205284&ev=PageView&dl=https%3A%2F%2Fwww.expedia.com%2F&rl=&if=false&ts=1650687204454&sw=360&sh=640&v=2.9.57&r=stable&a=tlm&ec=0&o=30&fbp=fb.1.1650687204451.543203830&it=1650687204166&coo=,409,44.0,72.0,72.0,72.0,72.0,72
?id=468990633205284&ev=Homepage&dl=https%3A%2F%2Fwww.expedia.com%2F&rl=&if=false&ts=1650687204458&sw=360&sh=640&v=2.9.57&r=stable&a=tlm&ec=1&o=30&fbp=fb.1.1650687204451.543203830&it=1650687204166&coo=,213,44.0,72.0,72.0,72.0,72.0,72
?random=1650687203836&cv=9&fst=1650686400000&num=1&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&sendb=1&data=page%3DHomepage%3Bdomain_lob%3DUnkno,548,42.0,72.0,72.0,72.0,72.0,72
?random=1650687203836&cv=9&fst=1650686400000&num=1&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&sendb=1&data=page%3DHomepage%3Bdomain_lob%3DUnkno,548,42.0,72.0,72.0,72.0,72.0,72
impression?sa_userid=84ad7601-3c88-4931-ac16-b9c6474d3771&sa_referrer=&sa_fullurl=&c=,0,0.0,72.0,72.0,72.0,72.0,72
?id=468990633205284&ev=Microdata&dl=https%3A%2F%2Fwww.expedia.com%2F&rl=&if=false&ts=1650687204962&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Expedia%20Travel%3A%20Vacation%20Homes%2C%20Hotels%,91,44.0,72.0,72.0,72.0,72.0,72
?random=1650687204664&cv=9&fst=1650686400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,72.0,72.0,72.0,72.0,72
?random=1650687204664&cv=9&fst=1650686400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,72.0,72.0,72.0,72.0,72
src=9224405;type=globm1;cat=globa0;ord=9547206717178;gtm=2od4k0;auiddc=*;~oref=https%3A%2F%2Fwww.expedia.com%2F,494,42.0,72.0,72.0,72.0,72.0,72
p?rand=1650644680476&pnid=140&pcid=e58134fa-45a3-49d5-8e14-c6c2e22c33be,15,0.0,72.0,72.0,72.0,72.0,72
EG_Wordmark_blue_RGB.svg,3714,9684.0,,,,,
?random=619360352&cv=9&fst=1650687204666&num=1&label=fm4aCPmcpsICEJ7s__YC&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nm,64,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-35711341-2&cid=900526298.1650687205&jid=157725737&_u=4CDAAUAAAAAAAC~&z=1060373157,63,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-35711341-2&cid=900526298.1650687205&jid=157725737&_u=4CDAAUAAAAAAAC~&z=1060373157,63,42.0,72.0,72.0,72.0,72.0,72
3386-MesoBackUp-Mobile-375x468-Packages.jpg,40593,40278.0,72.0,72.0,72.0,72.0,72
14765966470583385627?,100770,100728.0,44604.0,41834.0,32920.0,23556.0,14996
7769657972512770479?,122450,122406.0,51932.0,49194.0,37964.0,27368.0,16838
8962360423679294823?,186026,185972.0,8398.0,7850.0,6288.0,4694.0,3160
sodar?id=sodar2&v=225&li=gpt_2022041801&jk=286017846545165&rc=,0,0.0,72.0,72.0,72.0,72.0,72
generate_204?xWwivA,9,0.0,,,,,
sodar?id=sodar2&v=225&t=2&li=gpt_2022041801&jk=286017846545165&bg=!CwilCEzNAAYXWUUuN1k7ACkAdvg8WiQDP02g4aGHStK3c5hAmzbMjyqBEHF70ln0BViXZk1zTL8IKwIAAACxUgAAAANoAQcKAI1zOOe8FZK-FYnaCJSXPOa6HgFs-nmZmPxFE,0,0.0,72.0,72.0,72.0,72.0,72
2x2.gif?action=logErrors&logTime=2022-04-23T04%3A13%3A32.054Z&pageName=Homepage&message=&siteId=1&eapid=0&tpid=1&appId=blossom-flex-ui&langid=1033&locale=en_US&guid=84ad7601-3c88-4931-ac16-b9c6474d377,189,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,3790707,,72.0,72.0,72.0,72.0,72
totalByteWeight,11443061,,,,,,
