img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.fc2.com/,184,0.0,,,,,
blank.gif,279,43.0,72.0,72.0,72.0,72.0,72
bg.png,5724,5477.0,90.0,80.0,78.0,72.0,72
paturn.png,428,191.0,118.0,118.0,118.0,118.0,118
icon_bg.png?1,89871,89569.0,3130.0,2932.0,2556.0,2192.0,1850
sprite.png?6,19065,18817.0,12738.0,12372.0,11216.0,9898.0,8202
tri_gray.png,687,450.0,260.0,250.0,240.0,234.0,216
app_icon_sp.png,46561,46296.0,8416.0,8160.0,7086.0,5904.0,4604
service_icon_sp.png,47628,47353.0,34998.0,32946.0,27450.0,21746.0,15324
sprite.png?7,19065,18817.0,12738.0,12372.0,11216.0,9898.0,8202
pageTransferSize,299978,,,,,,
totalByteWeight,419487,,,,,,
