img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.gap.com/,6947,0.0,,,,,
041822_SPRINGSALE_USEC_GMB_60MD_MOB.svg?v=1,4298,11285.0,,,,,
logo_gap--light.svg,963,1131.0,,,,,
Gap_logo_MOB_newV2.svg,1054,1407.0,,,,,
SP22178_img1_MOB.jpg,59791,59358.0,32840.0,30756.0,23572.0,17004.0,10466
SP22178_img2_MOB.jpg,17828,17474.0,16376.0,15502.0,12932.0,9822.0,6766
SP22178_img3_MOB.jpg,36566,36178.0,23874.0,22502.0,17906.0,12640.0,8250
SP22178_img4_MOB.jpg,51424,51050.0,27646.0,25876.0,21338.0,15834.0,10672
SP22178_img5_MOB.jpg,20159,19826.0,12976.0,12012.0,9716.0,7110.0,5020
PausebuttonHP_washedblack.svg?v=2,717,810.0,,,,,
SP221784_subimgA_MOB.jpg,14653,14330.0,7254.0,6776.0,5324.0,3898.0,2646
SP221784_subcopyA_DESK.svg?v=1,4868,21340.0,,,,,
SP221763_img1_MOB.jpg,42031,41634.0,17902.0,16722.0,13124.0,9578.0,6340
SP221763_img2_MOB.jpg,35073,34724.0,14954.0,14150.0,10520.0,7588.0,4934
SP221763_img3_MOB.jpg,13252,12948.0,8470.0,7906.0,6426.0,4804.0,3452
SP221763_img4_MOB.jpg,24519,24136.0,11482.0,10798.0,8590.0,6518.0,4506
SP221763_copy_MOB.svg?v=1,1438,2998.0,,,,,
gp_carousel-carat_spring2021_left--softblack.svg?v=1,533,306.0,,,,,
SP222007_img1_MOB.jpg,24895,24564.0,16472.0,15584.0,12278.0,9112.0,6198
SP222007_copy_MOB.svg?v=1,2240,6377.0,,,,,
SP222007_img2_MOB.jpg,15132,14790.0,11540.0,10930.0,8924.0,6718.0,4750
SP222007_img3_MOB.jpg,11195,10922.0,7824.0,7408.0,6114.0,4830.0,3634
SP222007_img4_MOB.jpg,18262,17930.0,11570.0,10946.0,8906.0,6742.0,4892
gp_carousel-carat_spring2021_right--softblack.svg?v=1,523,307.0,,,,,
SP221842_subcopy_MOB_v1.svg?v=3,3984,16109.0,,,,,
NEW_ARRIVALS_MOB.jpg,9745,8964.0,6128.0,5800.0,4672.0,3394.0,2248
WOMEN_MOB.jpg,12506,11708.0,9674.0,9246.0,7556.0,5746.0,3646
MATERNITY_MOB.jpg,9757,8972.0,5702.0,5304.0,4224.0,3188.0,2216
MEN_MOB.jpg,4347,3580.0,3764.0,3564.0,2984.0,2336.0,1702
TEEN_GIRLS_MOB.jpg,7254,6440.0,5108.0,4766.0,3684.0,2716.0,1816
TEEN_GUYS_MOB.jpg,7399,6608.0,5188.0,4940.0,3992.0,3040.0,2146
GIRLS_MOB.jpg,9707,8950.0,5108.0,4766.0,3684.0,2716.0,1816
BOYS_MOB.jpg,16728,15916.0,8900.0,8366.0,6510.0,4602.0,2956
TODDLER_GIRL_MOB.jpg,12340,11524.0,7208.0,6776.0,5508.0,4074.0,2750
TODDLER_BOY_MOB.jpg,3715,2948.0,2878.0,2706.0,2244.0,1744.0,1288
BABY_GIRL_MOB.jpg,9109,8338.0,4404.0,4178.0,3388.0,2582.0,1852
