img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.geeksforgeeks.org/,23424,124040.0,,,,,
write_ndi_20210312.svg,823,1415.0,,,,,
practice_ndi_20210312.svg,1571,3695.0,,,,,
premium_ndi_20210312.svg,2118,1767.0,,,,,
jobs_ndi_20210312.svg,930,1187.0,,,,,
Artboard-6-min.png,91853,91382.0,12052.0,11418.0,9776.0,7844.0,5778
MinimumPlatforms120220421132716-small.png,43669,43297.0,6548.0,6250.0,5276.0,4174.0,2888
DecisionTreeIntroductionEntropyMeasure20220421124521-small.png,35477,35112.0,,,,,
ERDiagraminDBMS20220420112157-small.png,32766,32411.0,,,,,
TrappingRainWater220220420152237-small.png,28817,28463.0,4654.0,4474.0,3754.0,2958.0,2062
Subarraywithgivensum5120220419183110-small.png,27327,26973.0,4678.0,4522.0,3782.0,2988.0,2072
DifferencebetweenJREJDKJVM20220420101236-small.png,39980,39617.0,,,,,
RearrangeArrayAlternatively20220418175755-small.png,34823,34458.0,4800.0,4550.0,3780.0,2844.0,1934
InfosyspseudocodeswithExamples220220421095054-small.png,31965,31610.0,,,,,
KadanesAlgorithm20220414121442-small.png,33036,32681.0,4524.0,4306.0,3556.0,2726.0,1816
TwitterSentimentalAnalysis20220414112136-small.png,38622,38260.0,,,,,
2022-04-11-14-07-23-FS_icon.png,2635,2264.0,628.0,580.0,466.0,368.0,258
2021-12-29-11-18-16-DSA_Ad_icon%20(1).png,2705,2335.0,802.0,750.0,606.0,498.0,364
2021-12-29-16-30-50-CIP_Icon.png,3453,3082.0,1296.0,1208.0,984.0,780.0,540
is3_20210803.svg.svg,170234,169676.0,,,,,
quick-links_20210813.svg,2937,13571.0,,,,,
social_sprites_icons.svg,2727,7405.0,,,,,
v.gif?cd=0&a=566131&d=geeksforgeeks.org&u=D1DF5AB7DCDE27A70119E65CD39D30AC9&h=d6078a8bdc662cb535dd2cb5b584879f&t=false&r=0.33838648510579117,33,0.0,44.0,44.0,44.0,44.0,44
?random=1650636537030&cv=9&fst=1650636000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,108,42.0,,,,,
?random=1650636537030&cv=9&fst=1650636000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,108,42.0,,,,,
?random=1650636537044&cv=9&fst=1650636000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
?random=1650636537044&cv=9&fst=1650636000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
c.gif?ctsa=mr&CtsSyncId=34D6C5D1F25F4423AD89B1120B9E2B7E&MUID=1A1C209A7C3F6BD3002831147D366A32,464,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1199260,,,,,,
totalByteWeight,2238131,,,,,,
