img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.gmx.net/,49764,333852.0,72.0,72.0,72.0,72.0,72
36801820%2cpd=1%2cf=responsive169-w950.webp,32595,32366.0,72.0,72.0,72.0,72.0,72
36801146%2cpd=1%2cf=responsive169-w300.webp,5262,5098.0,72.0,72.0,72.0,72.0,72
atp-turnier-muenchen.webp,6007,5844.0,5400.0,5194.0,4248.0,2788.0,1830
36786472%2cpd=1%2cf=responsive169-w300.webp,4847,4684.0,72.0,72.0,72.0,72.0,72
logo-internet-made-in-germany.png,16399,16185.0,4518.0,4438.0,4178.0,3884.0,3650
logo-email-made-in-germany.png,24051,23820.0,5280.0,5118.0,4520.0,3710.0,2934
logo-cloud-made-in-germany.png,9454,9260.0,5378.0,5252.0,4558.0,3790.0,2946
raser-autobahn.webp,8350,8176.0,72.0,72.0,72.0,72.0,72
bares-rares-horst-lichter-antiquitaeten-zdf-troede.webp,37600,37346.0,72.0,72.0,72.0,72.0,72
optische-taeuschung-naturfoto-zebras-guckt-kamera.webp,10306,10132.0,72.0,72.0,72.0,72.0,72
adriana-lima.webp,10684,10510.0,9544.0,9182.0,7596.0,5096.0,2588
olivenoel.webp,12325,12142.0,11106.0,10770.0,9006.0,6202.0,3748
logo-gmx-black.svg,1215,2396.0,72.0,72.0,72.0,72.0,72
logo-gmx.svg,592,606.0,72.0,72.0,72.0,72.0,72
weather-18.svg,915,1644.0,72.0,72.0,72.0,72.0,72
weather-16.svg,794,1096.0,72.0,72.0,72.0,72.0,72
weather-7.svg,933,1455.0,72.0,72.0,72.0,72.0,72
weather-6.svg,830,1072.0,72.0,72.0,72.0,72.0,72
2086.png,4790,4666.0,4652.0,4554.0,4000.0,3456.0,2812
21.png,6261,6137.0,7466.0,7262.0,6324.0,5258.0,4084
1787.png,5265,5141.0,5392.0,5228.0,4536.0,3862.0,3032
205.png,14188,14045.0,9076.0,8778.0,7640.0,6234.0,4728
29680.png,8734,8601.0,5874.0,5702.0,5046.0,4182.0,3236
19.png,5184,5060.0,7922.0,7662.0,6852.0,5824.0,4628
1639.png,6554,6430.0,5258.0,5132.0,4558.0,3948.0,3100
253.png,3452,3337.0,4228.0,4106.0,3694.0,3188.0,2624
530.png,7548,7424.0,10326.0,9982.0,8572.0,7170.0,5230
24.png,5242,5118.0,6458.0,6242.0,5456.0,4436.0,3368
9.png,8563,8430.0,7922.0,7662.0,6852.0,5824.0,4628
124.png,13019,12876.0,9640.0,9250.0,8050.0,6552.0,4844
209.png,11600,11466.0,7922.0,7662.0,6852.0,5824.0,4628
258.png,5956,5833.0,7662.0,7402.0,6506.0,5394.0,4114
2079.png,6734,6610.0,7922.0,7662.0,6852.0,5824.0,4628
594.png,7529,7405.0,5332.0,5128.0,4372.0,3564.0,2606
977.png,8098,7965.0,6788.0,6544.0,5834.0,4918.0,3834
2076.png,10492,10358.0,8786.0,8420.0,7346.0,5960.0,4420
1x1.gif,178,68.0,72.0,72.0,72.0,72.0,72
gmx.at&has_video=0&layoutclass=s&deviceclass=undefined&deviceclient=browser&click1=undefined&click2=undefined&click3=undefined&click4=undefined&clickname=undefined&ts=1650642525813&random=1931&adblock,301,43.0,72.0,72.0,72.0,72.0,72
30011420&brand=gmx&region=de&dclass=desktop&lclass=s&dclient=browser&ff=s&category=HomePage&categorytype=homepage&adsectionlong=homepage&tif=3936&tifts=2022-04-04T08:10:06Z&d=59137&anon=1,594,42.0,72.0,72.0,72.0,72.0,72
s?name=homepage.startpage.event.homepage.30011420&country=de&type=hidden&teaser=hero136757878%7Chero236801674%7Chero336801400%7Chero436778342%7Chero536800746%7Cfocus_1136801316%7Cfocus_12,135,43.0,72.0,72.0,72.0,72.0,72
gmx,530,43.0,,,,,
russland-testet-interkontinentalrakete.webp,28358,28140.0,72.0,72.0,72.0,72.0,72
36801076%2cpd=2%2cf=responsive169-w300.webp,9562,9390.0,72.0,72.0,72.0,72.0,72
36800340%2cpd=4%2cf=responsive169-w300.webp,4479,4316.0,72.0,72.0,72.0,72.0,72
bg_eurojackpot.jpg,12064,11858.0,2110.0,2036.0,2002.0,1910.0,1802
logo_eurojackpot.svg,58998,232733.0,72.0,72.0,72.0,72.0,72
mariupol.webp,13798,13616.0,12718.0,12252.0,10382.0,6794.0,4064
schwesig-lehnt-ruecktrittsforderungen.webp,32161,31916.0,72.0,72.0,72.0,72.0,72
36801086%2cpd=1%2cf=responsive169-w300.webp,3314,3150.0,72.0,72.0,72.0,72.0,72
36800152%2cpd=1%2cf=responsive169-w300.webp,7277,7114.0,72.0,72.0,72.0,72.0,72
36801418%2cpd=1%2cf=responsive169-w300.webp,3881,3718.0,72.0,72.0,72.0,72.0,72
36790366%2cpd=2%2cf=responsive169-w450.webp,84044,83708.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1114468,,72.0,72.0,72.0,72.0,72
totalByteWeight,2489459,,,,,,
