img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.gotowebinar.com/,478,0.0,,,,,
the--new-goto-jpg.jpg?h=344&w=300&la=en&hash=1A8A19259F0BDD9DF4E4DC7B33B091E0,45912,45229.0,13256.0,12644.0,9964.0,7430.0,4698
webinar-svg.svg?la=en&hash=853D13FE5D7AD7A3123C11889762BBA9,2181,3808.0,,,,,
online_learning-svg.svg?la=en&hash=FF954274248B310FF6932ED7271E76E5,2581,5212.0,,,,,
collaboration_global-svg.svg?la=en&hash=A283DC7AD1D24C7D4541BE32054C1BDB,1671,3192.0,,,,,
metrics-svg.svg?la=en&hash=6C7563D9A53CB9E3396F2FA0F1946E4E,1274,2002.0,,,,,
secure-svg.svg?la=en&hash=1F2C16C645F450A139587EDF2E521B20,1215,1479.0,,,,,
two-column-with-image-1.png?h=837&w=1110&la=en&hash=12260E52DCFB1FF4B841F60C97E768BA,122558,121676.0,43426.0,41246.0,33610.0,25800.0,18192
two-column-with-image-2.png?h=837&w=1110&la=en&hash=2BC7D6396E7BBA6B69A1A7EE3733C75C,197877,196806.0,72462.0,69450.0,57788.0,46682.0,35584
two-column-with-image-3.png?h=670&w=1110&la=en&hash=F29124E884E06CAF2976422B1408B854,72940,72185.0,18828.0,18112.0,15654.0,13144.0,10660
webinar-flex-svg.svg?la=en&hash=C3934D94BE60E447AA743706FC1DFEC9,989,876.0,,,,,
amazon-advertising.png?h=372&w=410&la=en&hash=545E1E3B1F2EE2CFC66FDA5F8887D4AD,18547,17937.0,6470.0,6166.0,5156.0,3938.0,2864
g2-top-50-2020.png?h=372&w=410&la=en&hash=0066EBCD4ED41C88ED2719412537519B,8274,7685.0,8222.0,7926.0,6908.0,5704.0,4314
cap.png?h=372&w=410&la=en&hash=4CFC8192B79ABBD25DC473534D43C665,24269,23651.0,4554.0,4328.0,3646.0,2810.0,2052
st-johns.png?h=352&w=660&la=en&hash=D65660DB5DE660996B4F3B9240141C96,21187,20578.0,9402.0,8950.0,7494.0,5722.0,4078
equifax.png?h=352&w=660&la=en&hash=A1FAA7846209118706CE0D51EEA0CFAF,4532,3957.0,4364.0,4204.0,3578.0,2826.0,2138
st-louis-county.png?h=352&w=660&la=en&hash=4D25C8F5F4D7020E546540F82AE8B783,25330,24708.0,5532.0,5298.0,4504.0,3598.0,2672
