img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.gsis.gr/,96603,205783.0,,,,,
%CE%93%CE%93%CE%A0%CE%A3_logo_2020_website-Logo_only.png,8526,8246.0,2436.0,2374.0,1984.0,1528.0,1054
%CE%93%CE%93%CE%A0%CE%A3_logo_2020_website-Text-only.png,13636,13346.0,8880.0,8512.0,7188.0,5396.0,3626
%CE%93%CE%93%CE%A0%CE%A3_logo_%CE%A5%CE%A8%CE%97%CE%94_3.png,34886,34551.0,11970.0,11450.0,9848.0,7764.0,5406
rss-img.png,14023,13733.0,4968.0,4870.0,4440.0,3856.0,3320
LoginIcon.png,8534,8349.0,2216.0,2108.0,1752.0,1384.0,962
AddUserIcon.png,10321,10135.0,2954.0,2794.0,2360.0,1876.0,1248
25-%CE%A7%CE%A1%CE%9F%CE%9D%CE%99%CE%91-8.jpg,86468,85997.0,11666.0,11258.0,9484.0,7424.0,4964
ipiresiespng.png,5036,4765.0,,,,,
ipiresies-polites.png,5128,4857.0,,,,,
ggps_banners_-_4_0.jpg?itok=poO65t0z,17406,17201.0,7076.0,6672.0,5198.0,3904.0,2608
ggps_banner_printing.jpg?itok=fHDsdWnr,25140,24917.0,11728.0,11116.0,8570.0,6584.0,4260
ggps_banners_-_5.jpg?itok=amtmzS9W,20920,20706.0,9716.0,9044.0,6982.0,5156.0,3276
ggps_banners_-_2_0.jpg?itok=K_R-Z88-,16054,15849.0,6526.0,6054.0,4812.0,3650.0,2524
ggps_banners_-_7.jpg?itok=CCfC2IMI,26943,26720.0,13914.0,12814.0,9920.0,7150.0,4654
ggps_banners_-_1_0.jpg?itok=ahKnk0rA,15672,15468.0,6170.0,5698.0,4556.0,3342.0,2348
ggps_banners_-_8_0.jpg?itok=r29R2tGP,26165,25942.0,13970.0,13008.0,10086.0,7168.0,4438
ggps_banners_-_6.jpg?itok=5AYqghNB,15942,15737.0,6574.0,6058.0,4802.0,3594.0,2428
ggps_banners_-_3.jpg?itok=2mzyb--8,17388,17183.0,7116.0,6676.0,5300.0,3892.0,2640
call%20service%201_5.png,10008,9728.0,5770.0,5516.0,4672.0,3638.0,2546
GSIS_brochure-new_1.jpg,45476,45113.0,12664.0,11782.0,9372.0,6934.0,4522
LOGO_EE_ETPA.jpg,128560,128075.0,15510.0,14954.0,12924.0,10468.0,7762
espa%202014-2020_1.png,8377,8097.0,2258.0,2158.0,1842.0,1458.0,992
%CE%B4%CE%B9%CE%B1%CF%85%CE%B3%CE%B5%CE%B9%CE%B1.png,111328,110785.0,10470.0,10082.0,8470.0,6796.0,4902
Yp%20oik%201_0.png,27075,26758.0,3056.0,2918.0,2484.0,1944.0,1356
%CE%B1%CE%B1%CE%B4%CE%B5_0.png,6652,6381.0,6426.0,6232.0,5320.0,4304.0,3048
%CE%B7%20%CE%B5%CF%85%CF%81%CF%8E%CF%80%CE%B7%20%CF%83%CE%BF%CF%8550.png,80470,80018.0,11592.0,11158.0,9506.0,7420.0,5254
brex.png,23002,22693.0,6396.0,6134.0,5214.0,4052.0,2876
earth.svg,673,959.0,,,,,
search-icon.svg,700,1017.0,,,,,
pageTransferSize,1000335,,,,,,
totalByteWeight,1386883,,,,,,
