img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.hamariweb.com/,25561,169253.0,,,,,
icon_home1.png,1597,1314.0,332.0,332.0,332.0,332.0,332
20997_fb.gif,329976,329406.0,32478.0,30306.0,23414.0,16614.0,9840
pt.png,4467,4185.0,1432.0,1432.0,1430.0,1432.0,1432
Down-Arrow.png,635,352.0,116.0,116.0,116.0,116.0,116
logo_default@2x.png,12779,12495.0,4270.0,4170.0,3876.0,3524.0,3080
empty.png,352,70.0,72.0,72.0,72.0,72.0,72
arr2.gif,406,78.0,152.0,154.0,144.0,138.0,122
icon_prayer_time_main.png?id=1,50612,50228.0,24430.0,24036.0,22676.0,20704.0,18646
icon_quran_main.png?id=1,70197,69903.0,24946.0,24552.0,23192.0,21220.0,19162
hbook-icon.png,63890,63599.0,23770.0,23382.0,22022.0,20042.0,17980
icon_naat_main.png?id=1,72645,72353.0,25644.0,25296.0,23746.0,21654.0,19360
49.jpg,1276,846.0,902.0,894.0,834.0,770.0,678
65.jpg,1810,1382.0,502.0,486.0,420.0,314.0,232
46.jpg,2241,1831.0,392.0,388.0,360.0,260.0,214
53.jpg,1230,800.0,612.0,582.0,498.0,370.0,262
26.jpg,1434,1004.0,432.0,418.0,360.0,300.0,226
19.jpg,2066,1669.0,852.0,826.0,706.0,570.0,424
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Hamariweb%20-%20Pakistan%27s%20Leading%20Web%20Portal%3A%20News%20%7C%20Business%20%7C%20Mobiles%20%7C%20Cricket%20%7C%20Health%20%7C%20Islam%2,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
hqdefault.jpg,28719,28188.0,11642.0,11010.0,8972.0,6940.0,4710
hqdefault.jpg,27976,27850.0,26486.0,24842.0,20086.0,14928.0,9198
hqdefault.jpg,40929,40810.0,26486.0,24842.0,20086.0,14928.0,9198
21004.jpg,13931,13589.0,4584.0,4322.0,3410.0,2558.0,1666
21005.jpg,21061,20694.0,7932.0,7574.0,6208.0,4606.0,2948
20990.jpg,19437,19070.0,6684.0,6322.0,5002.0,3674.0,2152
20998.jpg,13607,13266.0,4040.0,3866.0,3032.0,2346.0,1510
4.png,3477,3118.0,798.0,772.0,716.0,642.0,572
27.png,4606,4246.0,1278.0,1238.0,1084.0,918.0,718
24.png,3143,2784.0,798.0,772.0,716.0,642.0,572
28.png,4447,4088.0,1102.0,1054.0,958.0,844.0,692
icon1.png,4080,3797.0,1120.0,1108.0,1040.0,968.0,898
icon2.png,2401,2036.0,1486.0,1454.0,1390.0,1304.0,1214
icon4.png,4871,4588.0,798.0,772.0,716.0,642.0,572
icon3.png,4158,3875.0,1130.0,1110.0,1026.0,912.0,790
icon6.png,2232,1868.0,1390.0,1352.0,1284.0,1200.0,1124
ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-2387202-1&cid=1777447045.1650675822&jid=1062530398&_v=5.7.2dc&z=484197052&slf_rd=1&random=1980565510,501,42.0,72.0,72.0,72.0,72.0,72
icon5.png,2256,1892.0,1260.0,1238.0,1158.0,1054.0,948
3.jpg,297230,296873.0,110916.0,103780.0,84920.0,62006.0,37786
4.jpg,277060,276716.0,3960.0,3716.0,2892.0,2038.0,1256
1.jpg,222808,222420.0,80266.0,76056.0,62360.0,46892.0,31336
2.jpg,257480,257143.0,80314.0,76134.0,58390.0,41384.0,24430
12.jpg,75843,75550.0,4778.0,4476.0,3424.0,2468.0,1526
13.jpg,76589,76297.0,110916.0,103780.0,84920.0,62006.0,37786
4.jpg,71717,71424.0,3958.0,3706.0,2880.0,2028.0,1244
17.jpg,52947,52578.0,4662.0,4412.0,3394.0,2576.0,1756
13109315010468344817,55169,54557.0,8472.0,8188.0,6816.0,5452.0,3784
gen_204?id=sodar&v=30&t=2&bgai=BkOxkcFBjYtTpJKuzkdUPqv6g2A4AAAAAOAHgBAI&bg=!LS6lLmrNAAYXWUUuN1k7ACkAdvg8WvjMZkYrMP8fRtWZrmYMDTeFkgEDi0XNvbQk11KcnTaLq4ORZQIAAABwUgAAAAJoAQcKAJP5u2F8GL3N4LApPPBXyJno6eHL,20,0.0,,,,,
?id=1695684220643499&ev=PageView&dl=https%3A%2F%2Fwww.hamariweb.com%2F&rl=&if=false&ts=1650675827006&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650675827003.1748421227&it=1650675826651&coo=fa,409,44.0,,,,,
?id=1695684220643499&ev=Microdata&dl=https%3A%2F%2Fwww.hamariweb.com%2F&rl=&if=false&ts=1650675828515&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22%22%7D&cd[OpenGraph]=%7B%7D&cd[Schema.org]=%5B%5,91,44.0,,,,,
pageTransferSize,3640756,,,,,,
totalByteWeight,5514623,,,,,,
