img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.hepsiburada.com/,358523,3123015.0,,,,,
format:webp,18302,17950.0,4430.0,4284.0,3688.0,2892.0,1970
format:webp,8880,8548.0,9446.0,9062.0,8000.0,5858.0,3802
format:webp,6888,6542.0,3754.0,3548.0,3130.0,2396.0,1618
format:webp,5471,5148.0,4646.0,4436.0,3724.0,2838.0,2002
format:webp,12491,12148.0,16456.0,15710.0,13738.0,10358.0,7028
format:webp,16176,15800.0,3956.0,3820.0,3274.0,2482.0,1728
format:webp,8719,8388.0,7330.0,7062.0,5948.0,4318.0,2794
format:webp,7323,7000.0,3364.0,3236.0,2728.0,2082.0,1452
format:webp,6220,5896.0,4098.0,3926.0,3390.0,2568.0,1794
format:webp,10720,10386.0,6548.0,6324.0,5512.0,4074.0,2700
format:webp,9136,8804.0,6222.0,5904.0,4944.0,3664.0,2284
format:webp,18596,18244.0,7452.0,7158.0,6296.0,4772.0,3226
format:webp,11200,10866.0,8770.0,8464.0,7424.0,5528.0,3664
format:webp,11956,11614.0,11690.0,11314.0,9710.0,7584.0,5216
format:webp,11613,11270.0,7410.0,7050.0,6142.0,4486.0,2976
format:webp,5193,4870.0,6088.0,5858.0,5000.0,3872.0,2644
format:webp,15085,14742.0,6606.0,6378.0,5488.0,4158.0,2786
format:webp,8686,8330.0,5740.0,5510.0,4710.0,3360.0,2246
format:webp,11213,10856.0,11702.0,11242.0,9778.0,7678.0,5428
format:webp,13509,13142.0,5314.0,5106.0,4404.0,3446.0,2364
format:webp,8581,8250.0,5030.0,4860.0,4112.0,3204.0,2242
format:webp,6067,5744.0,3656.0,3494.0,2946.0,2190.0,1540
format:webp,12653,12310.0,3416.0,3314.0,2864.0,2198.0,1622
format:webp,18783,18432.0,9280.0,8842.0,7768.0,5890.0,3984
format:webp,7377,7046.0,3096.0,3006.0,2570.0,2098.0,1472
format:webp,9463,9132.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,6881,6558.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,11622,11280.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,7552,7220.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,14875,14508.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,6191,5844.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,15189,14846.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,12690,12348.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,16667,16292.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,15734,15358.0,8576.0,8200.0,7160.0,5240.0,3452
format:webp,27823,27420.0,8576.0,8200.0,7160.0,5240.0,3452
mobil-yarin-kapinda.svg,1644,2708.0,,,,,
mobil-tek-tikla-alisveris.svg,1652,3291.0,,,,,
mobil-cebinizde.svg,1040,5692.0,,,,,
mobil-kapinda-iade.svg,6309,14272.0,,,,,
messaging-whatsapp.svg,666,672.0,,,,,
10470180126770.jpg,10464,10135.0,3394.0,3230.0,2672.0,2034.0,1462
110000018617730.jpg,11765,11412.0,3756.0,3542.0,2964.0,2312.0,1682
11055010775090.jpg,13782,13454.0,5244.0,5048.0,4058.0,3032.0,1960
10986386325554.jpg,18440,18093.0,6724.0,6332.0,5102.0,3826.0,2560
110000157459208.jpg,26035,25652.0,10954.0,10354.0,8584.0,6676.0,4448
10669647102002.jpg,19475,19102.0,6810.0,6434.0,5092.0,3708.0,2418
110000051159906.jpg,10374,10057.0,3504.0,3274.0,2546.0,1862.0,1294
110000169818727.jpg,12477,12115.0,4924.0,4674.0,3954.0,3156.0,2304
110000110685356.jpg,9160,8843.0,2938.0,2742.0,2100.0,1484.0,1028
arrow-up.svg,660,738.0,,,,,
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-44CSPTX731&cid=201765115.1650728801&gtm=2oe4k0&aip=1&z=1307264916,501,42.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=32054250&t=pageview&_s=1&dl=https%3A%2F%2Fwww.hepsiburada.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=T%C3%BCrkiye%27nin%20En%20B%C3%BCy%C3%BCk%20Online%20Al%C4%B1%C5%9Fveri%C5%9F%20Sitesi,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-834379-1&cid=201765115.1650728801&jid=1649872161&_u=YCDAgEABAAAAAE~&z=1379925177,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-834379-1&cid=201765115.1650728801&jid=1649872161&_u=YCDAgEABAAAAAE~&z=1379925177,63,42.0,72.0,72.0,72.0,72.0,72
facebook.svg,463,176.0,,,,,
twitter.svg,653,673.0,,,,,
linkedin.svg,539,379.0,,,,,
pinterest.svg,614,566.0,,,,,
instagram.svg,638,600.0,,,,,
youtube.svg,1003,1407.0,,,,,
imageUrl2079_20200701130700.webp,3524,3264.0,2978.0,2938.0,2860.0,2822.0,2786
imageUrl2050_20200701130632.webp,3898,3638.0,3410.0,3372.0,3182.0,3140.0,3074
imageUrl2044_20200701130427.webp,3467,3208.0,2902.0,2868.0,2740.0,2686.0,2596
imageUrl2080_20200629121030.webp,6063,5802.0,5154.0,5100.0,4636.0,4346.0,3830
norton.svg,6506,20620.0,,,,,
wt?p=323Mobile-Anasayfa1360x64024116507288026780360x6400&tz=5&eid=2165072880200279569&one=1&fns=0&la=en&cg1=Mobile&cg2=Anasayfa&cs4=Not%20Login&fvc=202204232046&lvc=202204232046&np=&eor=1,706,43.0,72.0,72.0,72.0,72.0,72
etbis.webp,16114,15826.0,16260.0,15934.0,14568.0,12534.0,8322
m-x-close-1x.png,539,251.0,146.0,144.0,144.0,144.0,144
?id=891502007900202&ev=PageView&dl=https%3A%2F%2Fwww.hepsiburada.com%2F&rl=&if=false&ts=1650728803391&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650728803390.808924074&it=1650728802829&coo=fa,409,44.0,,,,,
?random=1650728803596&cv=9&fst=1650726000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=3&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&data=event%3Dpage_vi,64,42.0,,,,,
?random=1650728803596&cv=9&fst=1650726000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=3&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&data=event%3Dpage_vi,64,42.0,,,,,
cm?v=2&pi=adx&tdc=ams&chain=&google_gid=CAESEEmzniaf5I_zu4yvnmmtKog&google_cver=1&google_ula=51532240,243,42.0,,,,,
?id=891502007900202&ev=Microdata&dl=https%3A%2F%2Fwww.hepsiburada.com%2F&rl=&if=false&ts=1650728804903&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22T%C3%BCrkiye%27nin%20En%20B%C3%BCy%C3%BCk%20Onl,90,44.0,,,,,
pageTransferSize,2680639,,,,,,
totalByteWeight,7469067,,,,,,
