img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.ibm.com/,956,0.0,,,,,
data-fabric-five-levers-444x254_4.jpg,39791,39466.0,40576.0,38620.0,33056.0,26180.0,17294
cloud-five-levers-444x254_5.jpg,21440,21160.0,17272.0,16316.0,13092.0,9934.0,6320
consulting-five-levers-444x254_4.jpg,25949,25660.0,24554.0,23504.0,18880.0,14440.0,9208
20201217-cs-coca-cola-european-partners-1042x1130_0.jpg,46955,46651.0,27874.0,25484.0,19338.0,13232.0,7910
cs-hub-logos-1042x1130.png,15984,15742.0,72.0,72.0,72.0,72.0,72
automate-five-levers-444x254_5.jpg,27617,27350.0,26446.0,25448.0,20782.0,15840.0,10160
security-five-levers-444x254_5.jpg,23977,23718.0,20180.0,19248.0,15690.0,11864.0,7566
20220405-ibm-z-multiframe-annc-geos-444x254-26343_2.jpg,17606,17336.0,13688.0,13052.0,10440.0,8014.0,5228
10072019-t-bt-MaaS360-watson-23210-700x420_0.png,8444,8222.0,7704.0,7298.0,6010.0,4796.0,3170
IBM-Cloud-23059-700x420.png,5851,5638.0,5062.0,4788.0,3880.0,2904.0,1844
datastage-trial1_0.png,4345,4132.0,3882.0,3738.0,3132.0,2544.0,1890
Watson-speech-to-text-23705-700x420.png,5449,5236.0,3978.0,3836.0,3254.0,2444.0,1698
20220405-ibm-z-multiframe-annc-mobile-720x360.jpg,18330,18062.0,14696.0,13758.0,11012.0,8380.0,5576
0?ti=5013391&Ver=2&mid=288bf3a5-9519-4f99-bbbe-bb1d86a1276d&sid=7b682440c27911ec9a0131629106bdeb&vid=7b684f20c27911eca6f1a945882b6a1b&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=IBM%20-%20Pak,153,0.0,,,,,
log?domain=ibm.com&country=pk&state=&behavior=implied&c=546a,442,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nuda7&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=4699b6ea-24a7-45df,356,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nuda7&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=4699b6ea-24a7-45df,336,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&aip=1&a=2075932102&t=event&ni=1&_s=2&dl=https%3A%2F%2Fwww.ibm.com%2Fpk-en&dr=None&dp=%2Fpk-en&ul=en-us&de=UTF-8&dt=IBM%20-%20Pakistan%20%7C%20IBM&sd=24-bit&sr=360x640&vp=360x640&je=,194,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&aip=1&a=2075932102&t=event&ni=1&_s=3&dl=https%3A%2F%2Fwww.ibm.com%2Fpk-en&dr=None&dp=%2Fpk-en&ul=en-us&de=UTF-8&dt=IBM%20-%20Pakistan%20%7C%20IBM&sd=24-bit&sr=360x640&vp=360x640&je=,91,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&aip=1&a=2075932102&t=event&ni=1&_s=4&dl=https%3A%2F%2Fwww.ibm.com%2Fpk-en&dr=None&dp=%2Fpk-en&ul=en-us&de=UTF-8&dt=IBM%20-%20Pakistan%20%7C%20IBM&sd=24-bit&sr=360x640&vp=360x640&je=,91,35.0,44.0,44.0,44.0,44.0,44
img?mm_bnc&bcdv=0,525,43.0,72.0,72.0,72.0,72.0,72
tpid=a8d16263-0dc4-4400-b12b-4b25ce2f78ab,543,49.0,72.0,72.0,72.0,72.0,72
?random=1650658756375&cv=9&fst=1650657600000&num=1&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&sendb=1&frm=0&url=https%3A%2F%2Fwww.ibm.com%2Fpk-,548,42.0,,,,,
