img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.issuu.com/,60,0.0,,,,,
Nasa_logo_BW.png,120033,119539.0,30268.0,29552.0,27108.0,24004.0,20834
Cambridge_University_Press_Logo_BW.png,21980,21595.0,5316.0,5248.0,4970.0,4544.0,4144
National_Geographic_Logo_BW.png,81880,81432.0,41182.0,41030.0,41044.0,41274.0,41400
Hyatt_Logo_BW.png,46930,46517.0,10220.0,10218.0,9984.0,9960.0,9804
Sothebys_Logo_BW.png,383014,382234.0,94574.0,92616.0,87194.0,79204.0,70690
Etsy_logo_BW.png,36522,36118.0,14034.0,13818.0,13188.0,12050.0,10908
Create_online_content_assets.svg,982,1207.0,,,,,
Enhance_with_videos_and_links.svg,1061,1817.0,,,,,
Embed_on_Websites.svg,1061,693.0,,,,,
Measure_your_success.svg,860,1000.0,,,,,
Sell_Digital_Descriptions.svg,1922,3376.0,,,,,
Promote_to_new_audiences.svg,1153,1532.0,,,,,
Collaborate_with_teammates.svg,1107,1364.0,,,,,
Integrate_with_other_solutions.svg,1124,755.0,,,,,
LottieJoiner-Headshot.jpg?w=284&q=5,2467,2100.0,5700.0,5446.0,4870.0,4226.0,3026
19619_MirysList_081.jpg?w=316&q=5,1882,1515.0,6292.0,5878.0,4610.0,3410.0,2098
Dr._Samir_Husni.jpg?w=50&q=5,795,427.0,750.0,710.0,590.0,482.0,350
Tina_Meldahl_-_Kurer_Grafisk.jpg?w=84&q=5,918,551.0,1262.0,1216.0,962.0,734.0,484
Lucas_Di_Rocco.jpg?w=46&q=5,793,427.0,820.0,784.0,650.0,522.0,380
Frame_256.png?w=144&q=5,41937,41524.0,4826.0,4588.0,3624.0,2754.0,1622
Andreas_KornHofer.jpg?w=44&q=5,772,405.0,406.0,388.0,346.0,294.0,240
Bunty_Partridge.jpg?w=384&q=5,4560,4193.0,9592.0,9268.0,8204.0,6644.0,4984
Webinars.svg,1028,657.0,,,,,
Help_Center.svg,949,580.0,,,,,
The_Issuu_Blog.svg,1284,914.0,,,,,
Contact_Sales.svg,818,448.0,,,,,
html,43,0.0,,,,,
LottieJoiner-Headshot.jpg?w=100,4938,4570.0,2364.0,2216.0,1818.0,1372.0,900
19619_MirysList_081.jpg?w=100,3479,3111.0,1304.0,1222.0,948.0,714.0,480
Dr._Samir_Husni.jpg?w=100,4229,3862.0,1906.0,1796.0,1500.0,1186.0,824
Tina_Meldahl_-_Kurer_Grafisk.jpg?w=100,4969,4601.0,1560.0,1470.0,1168.0,884.0,590
Lucas_Di_Rocco.jpg?w=100,4936,4568.0,2158.0,2028.0,1700.0,1318.0,892
Frame_256.png?w=100,21264,20880.0,2802.0,2652.0,2172.0,1610.0,1016
Andreas_KornHofer.jpg?w=100,5260,4892.0,1798.0,1702.0,1392.0,1044.0,712
Bunty_Partridge.jpg?w=100,5332,4964.0,1930.0,1818.0,1468.0,1084.0,714
Issuu_Hero_2021.png?w=267&q=5,55391,54969.0,9268.0,8820.0,7732.0,6542.0,5234
1_catalogs_tesco.jpg?w=91&q=5,979,612.0,1908.0,1812.0,1518.0,1180.0,792
5_reports_realestate.jpg?w=91&q=5,973,608.0,896.0,862.0,766.0,652.0,516
4_magazine_flyfishing.jpg?w=91&q=5,1004,637.0,1198.0,1148.0,994.0,854.0,652
11_archlookbook_canadianarch.jpg?w=91&q=5,937,572.0,1442.0,1366.0,1116.0,846.0,578
3_brochures_lajollamusic.jpg?w=91&q=5,997,630.0,1066.0,1034.0,912.0,784.0,610
8_lookbooks_stelladot.jpg?w=91&q=5,906,540.0,1338.0,1276.0,1030.0,804.0,540
16_education_asu.jpg?w=91&q=5,1038,672.0,1978.0,1882.0,1594.0,1228.0,822
13_newspaper_capeyork.jpg?w=91&q=5,959,592.0,838.0,824.0,736.0,642.0,506
17_books_mrmagazine.jpg?w=91&q=5,1058,692.0,1620.0,1534.0,1252.0,1006.0,698
9_interiormag_lux.jpg?w=91&q=5,926,559.0,1218.0,1142.0,910.0,744.0,490
Content_Modules_-_eBook.jpg?w=91&q=5,954,589.0,1302.0,1218.0,1022.0,794.0,570
7_annualreport_miryslist.jpg?w=91&q=5,992,625.0,1734.0,1650.0,1362.0,1044.0,724
6_menus_galeon.jpg?w=91&q=5,853,488.0,952.0,886.0,710.0,550.0,372
12_tradeshow_farmagents.jpg?w=91&q=5,925,559.0,1222.0,1164.0,952.0,736.0,506
15_travelguide_carsonvalley.jpg?w=91&q=5,893,526.0,1070.0,1016.0,836.0,648.0,460
14_voterguide_bam.jpg?w=91&q=5,1123,756.0,1518.0,1478.0,1280.0,1062.0,802
10_wedguide_weddings.jpg?w=91&q=5,894,528.0,662.0,664.0,576.0,502.0,416
Issuu_Hero_2021.png?fm=webp&w=720,242227,241570.0,847438.0,822898.0,749492.0,660272.0,572744
v.gif?cd=0&a=599656&d=issuu.com&u=DDC23C93D6969986158FA36576B32CDCA&h=104c2e9d1dad8bb2f21c66562a4ec864&t=true&r=0.6646122992175072,83,0.0,44.0,44.0,44.0,44.0,44
pageTransferSize,6192142,,,,,,
totalByteWeight,11963721,,,,,,
