img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.jjwxc.net/,14377,75952.0,,,,,
close.gif,299,84.0,242.0,234.0,212.0,194.0,148
logo.jpg,12492,12024.0,3912.0,3746.0,3178.0,2516.0,1768
app.png,3498,3371.0,1282.0,1278.0,1262.0,1244.0,1230
download.png,25429,26246.0,13036.0,12694.0,11480.0,10288.0,8488
recordicon.png,6145,19256.0,,,,,
kexinwang.png,21531,21193.0,9782.0,9458.0,8126.0,6424.0,4564
topbg.jpg,5832,5422.0,780.0,774.0,628.0,512.0,410
iconbg.jpg,1895,1486.0,496.0,476.0,410.0,324.0,220
mainbg.jpg,45350,44894.0,11140.0,10544.0,8508.0,6362.0,4270
button_01.png?var=20200728,8697,8594.0,2386.0,2236.0,1896.0,1554.0,1074
button_03.png?var=20200728,10470,10050.0,2638.0,2542.0,2122.0,1720.0,1180
button_04.png?var=20200728,11057,10638.0,3038.0,2862.0,2342.0,1862.0,1250
button_02.png?var=20200728,9440,9328.0,2420.0,2330.0,1924.0,1570.0,1036
indexListBg.gif,2974,2626.0,1158.0,1168.0,1140.0,1132.0,1104
button_05.png?var=20200728,9525,9440.0,2354.0,2266.0,1888.0,1514.0,1044
button_06.png?var=20200728,9365,9253.0,2630.0,2530.0,2116.0,1614.0,1096
button_07.png?var=20200728,10492,10072.0,2662.0,2534.0,2122.0,1710.0,1174
button_08.png?var=20200728,9431,9012.0,2250.0,2118.0,1824.0,1510.0,1060
stat.htm?id=30075907&r=&lg=en-us&ntime=none&cnzz_eid=211014884-1650725033-&showp=360x640&p=https%3A%2F%2Fwww.jjwxc.net%2F&t=%E6%99%8B%E6%B1%9F%E6%96%87%E5%AD%A6%E5%9F%8E-%E5%A5%B3%E6%80%A7%E7%BD%91%E7,123,2.0,,,,,
youjian.gif,1506,1096.0,912.0,910.0,904.0,896.0,890
1650421662.jpeg,109858,109439.0,20722.0,19532.0,15706.0,11774.0,7980
hm.gif?cc=1&ck=1&cl=24-bit&ds=360x640&vl=1757&et=0&ja=0&ln=en-us&lo=0&rnd=203960664&si=bc3b748c21fe5cf393d26c12b2c38d99&v=1.2.92&lv=1&sn=32388&r=0&ww=989&ct=!!&u=https%3A%2F%2Fwww.jjwxc.net%2F&tt=%E6%,299,43.0,72.0,72.0,72.0,72.0,72
pageTransferSize,538890,,,,,,
totalByteWeight,806915,,,,,,
