img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.kemdikbud.go.id/,4331,24640.0,,,,,
twitter.png,1663,1449.0,538.0,504.0,440.0,348.0,250
facebook.png,919,706.0,352.0,336.0,296.0,268.0,230
youtube2.png,13746,13530.0,8520.0,8342.0,7678.0,7026.0,6298
instagram.png,114085,113867.0,8906.0,8536.0,7522.0,6162.0,4826
kemdikbud_64x64.png,10519,10303.0,,,,,
ult.jpg,197742,197523.0,87928.0,82998.0,64420.0,47680.0,29428
siswa_resize.JPG,484272,484053.0,67148.0,62870.0,50704.0,37554.0,23540
SKY0360_resize.jpg,462243,462024.0,59384.0,55642.0,44706.0,33480.0,21772
Orang_Tua.JPG,351558,351339.0,49762.0,47294.0,37082.0,27318.0,16686
Sekolah_resize.jpg,312516,312297.0,45844.0,42950.0,34356.0,25388.0,16378
12.jpg,378617,378398.0,44258.0,42122.0,34022.0,25026.0,16872
Pemerintah_Daerah_resize.JPG,106182,105963.0,9200.0,8744.0,6802.0,4994.0,3116
Masyarakat_Mitra_resize.JPG,297677,297458.0,32740.0,30840.0,24476.0,18216.0,11944
pageTransferSize,2842474,,,,,,
totalByteWeight,3111205,,,,,,
