img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.kknews.cc/,450,0.0,,,,,
0.jpg,5119,4987.0,3316.0,3158.0,2642.0,2048.0,1430
0.jpg,5266,5148.0,1198.0,1152.0,902.0,658.0,446
0.jpg,6001,5860.0,4886.0,4600.0,3798.0,2936.0,1856
0.jpg,2335,2082.0,1814.0,1752.0,1372.0,992.0,664
0.jpg,6810,6678.0,3404.0,3188.0,2554.0,1968.0,1264
0.jpg,5084,4966.0,2890.0,2782.0,2314.0,1870.0,1244
0.jpg,4432,4291.0,2960.0,2796.0,2308.0,1812.0,1220
0.jpg,4219,4096.0,5214.0,4992.0,4112.0,3144.0,2092
0.jpg,4879,4717.0,3258.0,3072.0,2556.0,1944.0,1304
0.jpg,5075,4830.0,7174.0,6878.0,5818.0,4556.0,3088
0.jpg,4120,4002.0,7174.0,6878.0,5818.0,4556.0,3088
0.jpg,2966,2848.0,7174.0,6878.0,5818.0,4556.0,3088
0.jpg,6997,6839.0,7174.0,6878.0,5818.0,4556.0,3088
gen_204?id=ach_evt&url=https%3A%2F%2Fkknews.cc%2F&tn=DIV&id=sharebar&cls=sharebtn&ign=false&pw=360&ph=640&x=0&y=604.5,20,0.0,,,,,
J8oGHRhpk28x6Lmxjz_LrjPPBk82_ahQXuBoOgbYnQIz3oKuz5qZRHZ8YCLAtzZFXnOk6zlreu4=w158-h158-rw-v1,3157,2764.0,2900.0,2826.0,2634.0,2226.0,1488
google_play_icon_grey_o54.svg,3671,11090.0,,,,,
J8oGHRhpk28x6Lmxjz_LrjPPBk82_ahQXuBoOgbYnQIz3oKuz5qZRHZ8YCLAtzZFXnOk6zlreu4=w158-h158-rw-v1,0,2764.0,2900.0,2826.0,2634.0,2226.0,1488
google_play_icon_grey_o54.svg,0,11090.0,,,,,
J8oGHRhpk28x6Lmxjz_LrjPPBk82_ahQXuBoOgbYnQIz3oKuz5qZRHZ8YCLAtzZFXnOk6zlreu4=w158-h158-rw-v1,0,2764.0,2900.0,2826.0,2634.0,2226.0,1488
google_play_icon_grey_o54.svg,0,11090.0,,,,,
feedback_grey600_24dp.png,520,205.0,182.0,182.0,182.0,182.0,180
settings_grey600_24dp.png,696,604.0,496.0,494.0,494.0,494.0,492
J8oGHRhpk28x6Lmxjz_LrjPPBk82_ahQXuBoOgbYnQIz3oKuz5qZRHZ8YCLAtzZFXnOk6zlreu4=w158-h158-rw-v1,0,2764.0,2900.0,2826.0,2634.0,2226.0,1488
google_play_icon_grey_o54.svg,0,11090.0,,,,,
l?ebcid=ALh7CaRdKQ9NTMewnWQje-6ssHzr400VCiyuBV7XUt-8tnVK2-SP2iqCRRPUwUBTAluAvfyErrUufm7FdHGDQ-dpM-mWMspshA,0,0.0,,,,,
Z1nmjohRYNxli2QHSpWCnnjoeFD8M54VIfNo-fBHbA0JC94KWDgefeM6ytTw7mYMU7p2M_MooU8=w315-h315-rw-v1,24643,24616.0,26074.0,25200.0,23100.0,19394.0,11964
google_play_icon_grey_o54.svg,0,11090.0,,,,,
attr?d=AHNF13ILiGLorOwnia4D2SjCpOlf5cQh-CMPKwj1NBzBxV_uj2ehVG1X1jVo2YE27k3m-TRHqUCi,232,0.0,,,,,
advert.gif,186,43.0,72.0,72.0,72.0,72.0,72
pixel?google_nid=datalogix_dmp&google_hm=MjAyMjA0MjMxMDI1MDcwMDA3NzUwOTQyNTIzNA%3D%3D&google_push=AYg5qPKTPBzKJtblSXK3RXaQolGULNzuTfylGzQo3CvF_GJnl_0SsU3OS49exJSwuySfwXtFqZGfD79Co8PCPvMV5l72-Swp8Ko,329,170.0,72.0,72.0,72.0,72.0,72
pixel?google_nid=walmart&google_hm=dRIr6TH1fquSQinHy1RLQw&tap=gAds&google_gid=CAESEJfMFlr9CWsObaKrydRhgao&google_cver=1&google_push=AYg5qPIZvbpl8M5-w4LC-lVUe51okVqr-qtz4xjUNP5QhR-1awvNqK8ac7zkzW2P2lCf,232,170.0,72.0,72.0,72.0,72.0,72
sync_cookie_image_decide?token=9617.Ho9XATMkRS0sU8nypvzL8ciN8n3s9ZzB8I0PEf3ObiPwK7uxpZBMT0Xy7ZscwFJNBnduBeJ9KRnnJ7NA6cnM8VauqCDOxk0NcT7mZUixw-g%2C.CyGpLniXapK5N_soW8g423AQSbI%2C,357,43.0,72.0,72.0,72.0,72.0,72
pixel?gdpr=0&google_nid=B765081F39B1F7&google_push=AYg5qPK16YqZvGxhjJnuZgnFHB5NrxZTe86FComD-fh8n-9AFtTEtAjl5wji7Xx_00Z5kpht7jRreODcQbaOozrTujwfkt3NxW8&google_hm=AA,232,170.0,88.0,88.0,88.0,84.0,80
