img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.librus.pl/,10999,54648.0,,,,,
brand-logo-white.png,8180,8107.0,9844.0,9570.0,9158.0,8780.0,8472
brand-logo-color.png,4432,4360.0,3804.0,3736.0,3428.0,3132.0,2836
ikonki_libruspl_profesjonalizm_1.png,1389,1302.0,1318.0,1314.0,1180.0,1034.0,898
ikonki_libruspl_innowacyjnosc.png,3410,3324.0,2338.0,2290.0,2128.0,1928.0,1764
ikonki_libruspl_pasja.png,2325,2262.0,1772.0,1702.0,1560.0,1404.0,1254
ikonki_libruspl_zaufanie.png,3022,2959.0,2174.0,2138.0,1976.0,1792.0,1626
ikonki_libruspl_odpowiedzialnosc.png,3049,2986.0,2336.0,2272.0,2098.0,1932.0,1732
ikonki_libruspl_otwartosc_na_potrzeby.png,3656,3593.0,2704.0,2678.0,2402.0,2182.0,1956
news-01-sm.jpg,6865,6791.0,4776.0,4494.0,3532.0,2660.0,1722
news-02-sm.jpg,7382,7309.0,5584.0,5292.0,4238.0,3228.0,1930
news-03-sm.jpg,9498,9434.0,7638.0,7350.0,5878.0,4478.0,2960
news-04-sm.jpg,8003,7939.0,6120.0,5818.0,4676.0,3578.0,2294
__utm.gif?utmwv=5.7.2&utms=1&utmn=271259474&utmhn=www.librus.pl&utmcs=UTF-8&utmsr=360x640&utmvp=360x640&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Librus%20-%20Systemy%20informatyczne%20wspieraj%C,197,35.0,44.0,44.0,44.0,44.0,44
p_aplikacja_mobilna_librus_ban_glowna_mobile_1.jpg,179398,179218.0,,,,,
p_glowna_szkolenia_online_ckn_librus_mobile_1.jpg,142255,142093.0,,,,,
plany_na_rozwoj_banner_librus_pl_mobile_retina.png,526898,526520.0,,,,,
p_strona_glowna_nasze_wartosci_1_libruspl_mobile1.jpg,27376,27303.0,8128.0,7590.0,6146.0,5080.0,3918
p_strona_glowna_ekspert_w_rozwiazaniach_dla_oswiaty_libruspl_desktop.jpg,176971,176767.0,15936.0,14904.0,11648.0,8504.0,5558
p_strona_glowna_doswiadczenie_w_edukacji_libruspl_desktop.jpg,124402,124202.0,11984.0,11066.0,8664.0,6710.0,4474
p_strona_glowna_pasja_gwarancja_naszego_sukcesu_libruspl_desktop.jpg,16504,16375.0,18558.0,17362.0,13288.0,9868.0,6062
pageTransferSize,1532502,,,,,,
totalByteWeight,1887752,,,,,,
