img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.linktr.ee/,255,0.0,72.0,72.0,72.0,72.0,72
digital-trends-blue-grey.svg,1484,2036.0,,,,,
entrepreneur-blue-grey__2_.svg,2599,4639.0,,,,,
forbes-blue-grey.svg,2167,3758.0,,,,,
engadget-blue-grey.svg,1193,1779.0,,,,,
hero-img-03fd3953156f18186c8daa9d189a96d5.png,77570,77412.0,72.0,72.0,72.0,72.0,72
device-deee8c126310b52fd50ed2fdb21ba2cd.png,28089,27995.0,12154.0,12154.0,12154.0,12154.0,12154
pixel?tag=ViewContent&i=gtm&u=https%3A%2F%2Flinktr.ee%2F,421,43.0,72.0,72.0,72.0,72.0,72
linktree-marketing-website-profile-images.gif?w=288&h=288&q=75&fm=webp,66799,66368.0,78228.0,72560.0,53720.0,35964.0,21520
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-F9LW8B9KVW&cid=972320057.1650649153&gtm=2oe4k0&aip=1&z=2094188661,501,42.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o63n8&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=683af603-704e-4f73,356,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o63n8&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=683af603-704e-4f73,338,43.0,72.0,72.0,72.0,72.0,72
0?ti=56383241&tm=gtm002&Ver=2&mid=312d164a-4994-4fe3-8de2-10c7724a517f&sid=20419f20c26311ec8da299ac2c221320&vid=2041cd40c26311ec8b164ffa80e4a4d9&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Li,177,0.0,72.0,72.0,72.0,72.0,72
0?ti=56383241&tm=gtm002&Ver=2&mid=312d164a-4994-4fe3-8de2-10c7724a517f&sid=20419f20c26311ec8da299ac2c221320&vid=2041cd40c26311ec8b164ffa80e4a4d9&vids=0&pagetype=home&prodid=%252F&tpp=1&ea=view_home_pa,98,0.0,72.0,72.0,72.0,72.0,72
?id=558811507626827&ev=PageView&dl=https%3A%2F%2Flinktr.ee%2F&rl=&if=false&ts=1650649154852&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650649154851.1034728259&it=1650649154142&coo=false&rqm=G,410,44.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-136077820-2&cid=972320057.1650649153&jid=102605142&_u=YCDAgEABAAAAAE~&z=1006891358,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-136077820-2&cid=972320057.1650649153&jid=102605142&_u=YCDAgEABAAAAAE~&z=1006891358,63,42.0,72.0,72.0,72.0,72.0,72
?tid=2612693047895&pd=%7B%22em%22%3A%2224aba99b2defbb47ee981b4200313f61f3ae31541d8717bdac1e463c838939b0%22%7D&event=init&ad=%7B%22loc%22%3A%22https%3A%2F%2Flinktr.ee%2F%22%2C%22ref%22%3A%22%22%2C%22if,334,35.0,44.0,44.0,44.0,44.0,44
?random=1650649154744&cv=9&fst=1650646800000&num=1&value=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&data=event%3,548,42.0,72.0,72.0,72.0,72.0,72
?random=1650649154744&cv=9&fst=1650646800000&num=1&value=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&data=event%3,64,42.0,72.0,72.0,72.0,72.0,72
?id=1012397548805237&ev=PageView&dl=https%3A%2F%2Flinktr.ee%2F&rl=&if=false&ts=1650649155222&cd[segment_eid]=MJXTRU25ZBGKVPTHBBOXDH&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=29&fbp=fb.1.1650649154851.103,91,44.0,72.0,72.0,72.0,72.0,72
v1?esig=1~bf4e7dc4546a90c08591652d78a230d3f2ef5733&nwid=10001032567&sigv=1&gdpr=0&gdpr_consent=BOOla_OOOla_OA2ABBENAkwAAAAXyACAAyAIIA,194,0.0,,,,,
setuid?entity=172&code=M2JkOWYwZjliZTM3NWFlYzNiYzUwNDZiMzJlNjdkMWQ,617,43.0,72.0,72.0,72.0,72.0,72
sd?cc=1&id=537103138&val=3bd9f0f9be375aec3bc5046b32e67d1d,61,43.0,44.0,44.0,44.0,44.0,44
in,538,42.0,72.0,72.0,72.0,72.0,72
sync?dsp_id=44&user_id=M2JkOWYwZjliZTM3NWFlYzNiYzUwNDZiMzJlNjdkMWQ,510,43.0,72.0,72.0,72.0,72.0,72
458249.gif?partner_uid=c1edd707-18ef-4421-97bd-bd132d82cd4e,60,42.0,72.0,72.0,72.0,72.0,72
linktree-features-customization.png?w=930&h=930&q=75&fm=webp,11157,10778.0,9380.0,9146.0,8482.0,7676.0,6846
?id=558811507626827&ev=ViewContent&dl=https%3A%2F%2Flinktr.ee%2F&rl=&if=false&ts=1650649164525&cd[Page]=Home&cd[Version]=New&cd[Loggedin]=false&sw=360&sh=640&v=2.9.57&r=stable&ec=2&o=30&fbp=fb.1.16506,88,44.0,72.0,72.0,72.0,72.0,72
?id=1012397548805237&ev=ViewContent&dl=https%3A%2F%2Flinktr.ee%2F&rl=&if=false&ts=1650649164526&cd[Page]=Home&cd[Version]=New&cd[Loggedin]=false&sw=360&sh=640&v=2.9.57&r=stable&ec=1&o=29&fbp=fb.1.1650,88,44.0,72.0,72.0,72.0,72.0,72
h?a=3886518036&u=118298009219666&v=7758705404111610&s=1281181175472935&b=web&tv=4.0&z=0&h=%2F&d=linktr.ee&t=Linktree%20%7C%20The%20Only%20Link%20You%27ll%20Ever%20Need&ts=1650649165035&st=165064916504,259,37.0,72.0,72.0,72.0,72.0,72
pageTransferSize,4553896,,,,,,
totalByteWeight,9020205,,72.0,72.0,72.0,72.0,72
