img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.live.com/,145,0.0,,,,,
mobile-scenario-triptych-android-01.png,84333,83924.0,17740.0,17048.0,14384.0,11714.0,8674
mobile-scenario-triptych-android-02.png,87116,86698.0,23116.0,22232.0,18430.0,14402.0,10286
mobile-scenario-triptych-android-03.png,78822,78422.0,23114.0,22272.0,18782.0,14996.0,10968
mobile-scenario-triptych-ios-01.png,273633,272801.0,89838.0,84808.0,66928.0,48060.0,27206
mobile-scenario-triptych-ios-02.png,203547,202867.0,72512.0,69110.0,54250.0,39612.0,23998
mobile-scenario-triptych-ios-03.png,87726,87308.0,27130.0,26090.0,22748.0,18672.0,13836
fabric-close-x.svg,500,331.0,,,,,
download-app-badge-ios.svg,4345,10804.0,,,,,
download-app-badge-android.svg,2513,6647.0,,,,,
masthead-alt-06-wide-large.jpg,163521,162930.0,88346.0,78830.0,55502.0,40892.0,29024
ms-wordmark-white.svg,1592,3072.0,,,,,
triangle-up.svg,465,250.0,,,,,
outlook-icon.jpg,27488,27195.0,7870.0,7502.0,6332.0,5208.0,4168
security-feature-microsoft.svg,503,552.0,,,,,
security-feature-encryption.svg,1133,1871.0,,,,,
security-feature-attachments.svg,849,1183.0,,,,,
premium-diamond-03.svg,781,791.0,,,,,
security-feature-onedrive.svg,1037,1639.0,,,,,
hotmail-ornament.svg,1393,2698.0,,,,,
glyph-apple.svg,645,573.0,,,,,
glyph-googleplay.svg,611,493.0,,,,,
arrow-rightward-blue.png,1934,1706.0,1550.0,1512.0,1234.0,972.0,716
outlook-mobile-apps-android.jpg,109681,109208.0,73368.0,70496.0,58308.0,46000.0,33566
efficient-commuter.jpg,146772,146217.0,116934.0,110548.0,89588.0,64726.0,38874
everything-in-one-place-scenario-base.png,272254,271430.0,155354.0,149604.0,126658.0,100216.0,71842
everything-in-one-place-scenario-02.png,94215,93779.0,83530.0,80744.0,68298.0,53524.0,38346
everything-in-one-place-scenario-03.png,46880,46543.0,34612.0,33630.0,29412.0,24120.0,18188
everything-in-one-place-scenario-04.png,56079,55715.0,20764.0,20306.0,17932.0,15154.0,11556
everything-in-one-place-scenario-05.png,63510,63128.0,48344.0,46824.0,42042.0,35350.0,27296
security-small.jpg,306537,305631.0,91792.0,83676.0,59528.0,41720.0,26316
productivity-app-correct-ratio-word-mini.png,0,0.0,51848.0,49860.0,43940.0,36364.0,26238
pageTransferSize,2944179,,,,,,
totalByteWeight,5131142,,,,,,
