img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.mheducation.com/,18215,118760.0,,,,,
MGH_Logo_RGB.svg,1633,2156.0,,,,,
man.png,156827,155981.0,,,,,
what-we-do-he-april22.jpg,121868,121084.0,26040.0,24768.0,19976.0,14676.0,9508
what-we-do-intl-nov2021.jpg,44511,43897.0,14968.0,14216.0,10932.0,8310.0,5484
what-we-do-professional-nov2021.jpg,48454,47832.0,17358.0,16122.0,12412.0,9240.0,5856
what-we-do-company-news-april22.jpg,76832,76173.0,16916.0,16120.0,13634.0,10464.0,7134
what-we-do-company-news-april22-2.jpg,39619,39007.0,9732.0,9334.0,8002.0,6296.0,4500
what-we-do-k12-april22.jpg,110440,109682.0,19642.0,18466.0,15074.0,12034.0,8814
employee-composite-square.jpg,167340,166491.0,73288.0,68830.0,53452.0,39738.0,24438
support-female.png,187160,186321.0,33100.0,31916.0,28022.0,23374.0,17726
facebook-icon-footer.png,7233,6694.0,670.0,640.0,602.0,554.0,530
twitter-logo-footer.png,7218,6672.0,382.0,376.0,338.0,286.0,242
instagram-logo-footer.png,9630,9082.0,966.0,938.0,900.0,834.0,794
linkedin-logo-footer.png,7326,6786.0,636.0,626.0,592.0,534.0,482
list.svg,675,134.0,,,,,
ui-bg_highlight-soft_100_eeeeee_1x100.png,814,278.0,66.0,66.0,64.0,64.0,62
collect?v=1&_v=j20&a=305578582&t=pageview&_s=1&dl=https%3A%2F%2Fwww.mheducation.com%2F&ul=en-us&de=UTF-8&dt=McGraw%20Hill&sd=24-bit&sr=360x640&vp=360x640&je=0&_u=MGAAg~&jid=1338925924&cid=1668069687.1,393,35.0,44.0,44.0,44.0,44.0,44
collect?t=dc&aip=1&v=1&_v=j20&tid=UA-50151613-1&cid=1668069687.1650642896&jid=1338925924&z=667378336,393,35.0,44.0,44.0,44.0,44.0,44
s78617164925332?AQB=1&ndh=1&pf=1&t=22%2F3%2F2022%2020%3A54%3A56%205%20-300&sdid=7370DBDC020CD00B-587CFAE977A517A6&mid=24195096119082257341889779792791391344&aamlh=6&ce=UTF-8&pageName=corporate%3Ahome&,221,43.0,76.0,76.0,76.0,76.0,76
ibs:dpid=411&dpuuid=YmLP0AAAAGjjMAP0,945,42.0,72.0,72.0,72.0,72.0,72
f8cf599301da17eb09a375fc911afdf9?_e=pv&_sesstart=1&_tz=5&_ul=en-US&_sz=360x640&_ts=1650642896899&_mob=t&_device=Android&url=www.mheducation.com%2F&_v=3.0.26&_uid=3289c6ab-9d7e-4734-8ab9-2e6d059fb84c&_,407,35.0,44.0,44.0,44.0,44.0,44
?random=1650642896674&cv=9&fst=1650639600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
?random=1650642896674&cv=9&fst=1650639600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
svg-close-btn-white-7.svg,1657,1206.0,,,,,
pageTransferSize,2604218,,,,,,
totalByteWeight,4743317,,,,,,
