img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.miro.com/,79,0.0,,,,,
action-bg-mobile.svg?version=develop.749,1074,1431.0,,,,,
miro-icon-app-rounded.svg?version=develop.749,1240,854.0,,,,,
hero-banner-mobile.png?version=develop.749.production&v=0003,3257,2875.0,4428.0,4376.0,4076.0,3736.0,3348
meetings_and_workshops.png?version=develop.749.production&001,371446,370657.0,115786.0,105850.0,83008.0,60106.0,43932
play_icon.svg?version=develop.749.production,1293,908.0,,,,,
pivotal.svg?version=develop.749.production,1421,2428.0,,,,,
cisco.svg?version=develop.749.production,2152,4458.0,,,,,
dell.svg?version=develop.749.production,1070,686.0,,,,,
deloitte.svg?version=develop.749.production,2204,4368.0,,,,,
trans_union.svg?version=develop.749.production,5414,13392.0,,,,,
okta.svg?version=develop.749.production,2267,4007.0,,,,,
pixel?tag=ViewContent&i=gtm&u=https%3A%2F%2Fmiro.com%2F,423,43.0,72.0,72.0,72.0,72.0,72
new-templates.png?fm=webp&w=13&h=9&q=80,541,182.0,5360.0,5128.0,4354.0,3548.0,2540
Sign-in-with-slack.png?fm=webp&w=13&h=9&q=80,514,146.0,1862.0,1786.0,1560.0,1222.0,932
mind-map.png?fm=webp&w=13&h=9&q=80,498,140.0,2108.0,2016.0,1724.0,1366.0,1008
christoph_kloth.png?fm=webp&w=20&h=15&q=80,757,400.0,384.0,390.0,370.0,308.0,282
logo.svg?fm=webp&w=6&h=1&q=80,431,76.0,76.0,76.0,76.0,76.0,76
confidence-banner-mobile.svg?version=develop.749.production,35214,185386.0,,,,,
0?ti=20132024&tm=gtm002&Ver=2&mid=36a752c8-2e58-450d-8deb-c59cd242f5f4&sid=0264d400c2e111ecbd8cd93f99e31cda&vid=0264e060c2e111ec9f5baf0b4eac3f4e&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Th,152,0.0,,,,,
top-left-section-bg-mobile.svg?version=develop.749.production,3597,9810.0,,,,,
top-right-section-mountain-front.png?version=develop.749.production,21942,21541.0,5022.0,4662.0,3688.0,2806.0,1854
