img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.ny.gov/,13542,52490.0,,,,,
MTA_Electric_Bus_Deployment_1280.jpg?h=b5f6a62e&itok=nr-bVpDa,86023,85370.0,14812.0,13880.0,11312.0,8604.0,5482
Employment.svg,1263,1196.0,,,,,
Transportation.svg,1405,1598.0,,,,,
SocialPrograms.svg,1381,1455.0,,,,,
Transportation_0.svg,1405,1598.0,,,,,
ukrainian_usa_flags_1280.jpg?h=3e2fc99f&itok=uXoympVV,86177,85524.0,14312.0,13454.0,11028.0,8162.0,5302
SOTS_2022_Hero2.jpeg?h=232372de&itok=cBZH2vPR,75701,75048.0,9130.0,8574.0,6710.0,4952.0,3098
covid19vaccine.png?h=b5f6a62e&itok=F3TRI8IG,130962,130322.0,8394.0,8046.0,6474.0,4798.0,3210
Hochul%20nygov.png?h=e99342c5&itok=JwUnB7Us,461427,460787.0,14468.0,13372.0,10190.0,7160.0,4718
DiNapoliGovSectionPhoto2.jpg?h=31c0c765&itok=NYiMbmxg,207901,207245.0,30714.0,28916.0,22598.0,16934.0,11220
AG-headshot-blur.jpg?h=31c0c765&itok=RBB8kafZ,119227,118574.0,12764.0,11936.0,9196.0,6814.0,4652
CourtOfAppeals.jpg?h=31c0c765&itok=vmnnaLMS,145429,144776.0,25108.0,23252.0,18940.0,14338.0,9010
AlbanyCapitol.jpg?h=31c0c765&itok=hokQpkIT,158644,157991.0,29116.0,27194.0,22216.0,16394.0,10012
NYS_IDENTIFIER_WHITE.svg,4950,11058.0,,,,,
angle-down-solid.svg,937,425.0,,,,,
nygov-logo.png,4986,4290.0,1826.0,1794.0,1684.0,1542.0,1376
collect?v=1&_v=j96&a=342792859&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.ny.gov%2F&ul=en-us&de=UTF-8&dt=The%20Official%20Website%20of%20New%20York%20State&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Scroll%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=342792859&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.ny.gov%2F&ul=en-us&de=UTF-8&dt=The%20Official%20Website%20of%20New%20York%20State&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Scroll%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=342792859&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.ny.gov%2F&ul=en-us&de=UTF-8&dt=The%20Official%20Website%20of%20New%20York%20State&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Scroll%2,55,35.0,44.0,44.0,44.0,44.0,44
pageTransferSize,2753384,,,,,,
totalByteWeight,4632554,,,,,,
