img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.olx.com.br/,110391,381300.0,,,,,
home.jpg,31315,30942.0,17900.0,17276.0,14634.0,11790.0,8960
b2?c1=2&c2=29823456&ns__t=1650701105394&ns_c=UTF-8&cv=3.5&c8=OLX%20-%20O%20Maior%20Site%20de%20Compra%20e%20Venda%20do%20Brasil&c7=https%3A%2F%2Fwww.olx.com.br%2F&c9=,191,0.0,,,,,
desktop_small_0faf4664cd534134a8dc8b61fc7b9b1f.jpg,18159,17735.0,10822.0,10236.0,8358.0,6302.0,4296
desktop_large_0faf4664cd534134a8dc8b61fc7b9b1f.jpg,18089,17666.0,10756.0,10080.0,8398.0,6446.0,4330
563204144682802.jpg,10025,9508.0,7510.0,7058.0,5808.0,4190.0,2470
616159195762974.jpg,9323,8809.0,6370.0,6064.0,4924.0,3666.0,2272
923031009541611.jpg,13058,12568.0,10066.0,9618.0,8038.0,6342.0,4464
917010346838370.jpg,9676,9188.0,6096.0,5714.0,4598.0,3516.0,2406
423216134185726.jpg,9798,9286.0,5712.0,5424.0,4362.0,3348.0,2286
052202876243756.jpg,9968,9456.0,8176.0,7760.0,6612.0,5164.0,3280
968240870887259.jpg,15296,14765.0,14602.0,13924.0,11588.0,8744.0,5282
873263279351707.jpg,8518,8004.0,5934.0,5658.0,4520.0,3458.0,2196
275109451277157.jpg,8978,8463.0,5750.0,5408.0,4228.0,3182.0,1936
051260630250940.jpg,8719,8207.0,6260.0,5906.0,4940.0,3716.0,2454
?id=592658194155317&ev=PageView&dl=https%3A%2F%2Fwww.olx.com.br%2F&rl=&if=false&ts=1650701106988&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.2.1650701106985.1703156296&it=1650701106610&coo=false&,409,44.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-70177409-2&cid=1197145193.1650701107&jid=1687545258&_u=YADAAEAAAAAAAC~&z=48491472,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-70177409-2&cid=1197145193.1650701107&jid=1687545258&_u=YADAAEAAAAAAAC~&z=48491472,501,42.0,72.0,72.0,72.0,72.0,72
track_page_view?payload=%7B%22title%22%3A%22OLX%20-%20O%20Maior%20Site%20de%20Compra%20e%20Venda%20do%20Brasil%22%2C%22url%22%3A%22https%3A%2F%2Fwww.olx.com.br%2F%22%2C%22referrer%22%3A%22%22%2C%22use,687,43.0,72.0,72.0,72.0,72.0,72
?id=592658194155317&ev=Microdata&dl=https%3A%2F%2Fwww.olx.com.br%2F&rl=&if=false&ts=1650701108495&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22OLX%20-%20O%20Maior%20Site%20de%20Compra%20e%20Venda,147,44.0,,,,,
fetch.pix?rtbh=B3PFVSb3CyJ9Z3ttu72T,452,43.0,,,,,
bounce?%2Fsetuid%3Fentity%3D315%26code%3D2HxAYw5Oj2fjIO4ckY8z,1077,43.0,,,,,
bounce?%2Fsetuid%3Fentity%3D315%26code%3DB3PFVSb3CyJ9Z3ttu72T,1077,43.0,,,,,
?random=714759896&cv=9&fst=1650701111403&num=1&value=0&label=jjZFCM7DmKEBEJLfnu0C&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplu,64,42.0,,,,,
?random=1285949588&cv=9&fst=1650701111392&num=1&value=0&label=nXHXCKKrxZABEN_2rPsC&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_npl,64,42.0,,,,,
cm?v=2&pi=adx&tdc=ash&chain=&google_gid=CAESEGSRhrFN1TcbLgRtXFwcosQ&google_cver=1&google_ula=51532240,243,42.0,,,,,
cm?v=2&pi=adx&tdc=ash&chain=&google_gid=CAESENix04RtlH34e9o9c4-O554&google_cver=1&google_ula=51532240,243,42.0,,,,,
sync?uid=B3PFVSb3CyJ9Z3ttu72T&_origin=1&apid=UP1a02b03f-c2dc-11ec-8f58-06867cf268a4&verify=true,394,0.0,,,,,
?tid=2613599695028&pd=%7B%22em%22%3A%2224aba99b2defbb47ee981b4200313f61f3ae31541d8717bdac1e463c838939b0%22%7D&event=init&ad=%7B%22loc%22%3A%22https%3A%2F%2Fwww.olx.com.br%2F%22%2C%22ref%22%3A%22%22%2C,86,35.0,44.0,44.0,44.0,44.0,44
?event=pagevisit&ed=%7B%22currency%22%3A%22BRL%22%7D&tid=2613599695028&pd=%7B%22em%22%3A%2224aba99b2defbb47ee981b4200313f61f3ae31541d8717bdac1e463c838939b0%22%7D&ad=%7B%22loc%22%3A%22https%3A%2F%2Fwww,492,35.0,44.0,44.0,44.0,44.0,44
trk?tA=TT-12113-4&tJ=_channel:visao-geral:1&tK=1650701133&tM=direct&tL=direct&tN=direct&tY=3&tZ=7052171,603,70.0,92.0,92.0,92.0,90.0,88
26238,102,43.0,72.0,72.0,72.0,72.0,72
__tt.gif?tA=TT-12113-4&tE=0&tF=&tI=_lahore_punjab_pk_1650701133642_1224685934&tJ=CA26238&tQ=visao-geral&tU=0100007F4DB36362D606F1910299D403&tX=b.52&tY=1&tZ=660008539,298,43.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1399414,,,,,,
totalByteWeight,4654840,,,,,,
