img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.parsfootball.com/,393,0.0,,,,,
mp4.jpg,6334,6217.0,1844.0,1764.0,1444.0,1138.0,778
logo.aspx?id=144186&p=nbpdshwlshwlnbpdaqgwwlbq,18472,18156.0,4806.0,4716.0,4412.0,4066.0,3676
Charge_Banner_668577165-1.gif,48001,47867.0,56240.0,53640.0,44966.0,35984.0,25402
10-32-19-157010063-98x68.jpg?v=1650693752,3113,3021.0,1608.0,1542.0,1236.0,940.0,618
2035874-93x68.jpg?v=1650681423,3803,3743.0,2486.0,2390.0,1976.0,1540.0,996
20887144-96x68.jpg?v=1650680853,3726,3666.0,2380.0,2284.0,1918.0,1482.0,986
203687412-95x68.jpg?v=1650663408,2409,2349.0,1068.0,1042.0,848.0,678.0,450
LIG728.gif,147206,147064.0,364874.0,346630.0,287326.0,222224.0,152012
TB.gif,27125,26999.0,40716.0,39226.0,33400.0,26866.0,19322
SM.gif,153083,152894.0,60212.0,57440.0,47852.0,37684.0,26664
Gha.gif,37240,37161.0,49292.0,47450.0,40624.0,32948.0,23592
ysorkh-1.gif,17069,16999.0,10534.0,10184.0,8936.0,7416.0,5458
%D8%B7%D8%B1%D8%A7%D8%AD%DB%8C-%D9%81%D8%B1%D9%88%D8%B4%DA%AF%D8%A7%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA%DB%8C.jpg,38844,38766.0,7216.0,7018.0,6024.0,4838.0,3342
BHava.gif,400473,400147.0,107592.0,102646.0,86034.0,66264.0,44148
ramdan-if7-1.gif,112363,112200.0,412630.0,396678.0,342224.0,279058.0,206010
60.468-1.gif,26855,26739.0,25104.0,24162.0,20254.0,15962.0,11216
10-32-19-157010063.jpg?v=1650693752,44543,44418.0,27418.0,25500.0,19814.0,14872.0,9206
na,65536,65536.0,,,,,
2035874-722x526.jpg?v=1650681423,88042,87889.0,49314.0,46354.0,36976.0,28376.0,18318
20887144-739x526.jpg?v=1650680853,70797,70654.0,34832.0,33086.0,25962.0,19580.0,13090
203687412.jpg?v=1650663408,34938,34812.0,18282.0,17206.0,13538.0,9778.0,6306
bb487ebb-d567-49d6-9f95-ac86ef6ee663.jpeg,25720,25650.0,17328.0,16390.0,13250.0,10042.0,6634
12598008_513.jpg,130155,129982.0,79446.0,74414.0,57666.0,41738.0,25006
16043971383634.jpeg,75428,75286.0,39204.0,36956.0,27884.0,20794.0,13956
173315.jpg,145334,145202.0,81946.0,74660.0,54634.0,38368.0,23802
var-6.jpg,62158,62022.0,56548.0,54948.0,47176.0,38850.0,26562
gol.jpg,51763,51629.0,33502.0,31756.0,25782.0,19882.0,13120
khabar.jpg,54314,54178.0,35188.0,33482.0,27252.0,20782.0,13886
iran.jpg,53102,52968.0,33810.0,32038.0,26186.0,19992.0,13306
atrk.gif?frame_height=2560&frame_width=1440&iframe=0&title=%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1%20%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84%20%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%20%D9%88%20%D8%AC%D9%87%D8%A7%D9%86%20,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
media_ad_logo_1.png,2637,2032.0,2754.0,2678.0,2458.0,2192.0,1870
adc68a02325de31553ee610b972ceead2152ad4f_o_600x400.jpg,42372,42080.0,10198.0,9688.0,7522.0,5622.0,3878
43d8007e16176047a8551f4ca90e4ff16f96f88e_o_600x400.jpg,46165,45873.0,12356.0,11736.0,8890.0,6400.0,4154
5e882fa6ba4ff6ab9b746f9b86f3fd6bab1a7c42_o_450x300.jpeg,59810,59500.0,22028.0,20306.0,15912.0,11030.0,6580
3217fc4f8993be3a5e2c0a15e3d247e4ff5f5b3b_600x400.jpg,50113,49812.0,17474.0,16646.0,13402.0,10130.0,7028
e216ffe7a94687919c25b719ecaf64e4a360dc14_o_450x300.jpeg,38342,38059.0,14778.0,14004.0,11382.0,8594.0,5628
b0b23351c54ab948e2c87dc56bef834a8274cd7f_o_600x400.jpg,57462,57161.0,23710.0,22622.0,18688.0,14288.0,9452
c99fa3200c2848004a067b7a8cfc921860b4bf80_o_600x400.jpg,43329,43037.0,12762.0,11710.0,8724.0,6056.0,3712
41ae30154eaa301e1bd68f240ac5356e853554e3_o_450x300.jpeg,34097,33814.0,13132.0,12536.0,10460.0,7944.0,5342
2fc3589785e2e357115d95d6a0fa3816ca65b42e_o_600x400.jpg,47969,47677.0,16350.0,15464.0,12312.0,9218.0,6216
cd8590dd570bf7ee9e36ade106e2875cc0f2daa6_450x300.jpeg,28307,28033.0,7062.0,6630.0,5272.0,3964.0,2774
7624a8568d770b630d642107a65e96f32a1c9d1b_o_450x300.jpeg,36692,36409.0,13326.0,12622.0,10412.0,8040.0,5274
mediaad_banner_logo_collapsed.jpg,9028,8460.0,2418.0,2296.0,1990.0,1634.0,1374
mediaad_banner_logo_expanded.jpg,5446,4872.0,1368.0,1312.0,1104.0,850.0,578
1650115852650.png,135660,135269.0,82054.0,78222.0,65790.0,50408.0,33550
c0b115a753c9ed76291beea8207d7bc10ed16993_o_600x400.jpg,45115,44823.0,15068.0,14242.0,11478.0,8720.0,5778
pageTransferSize,3135827,,,,,,
totalByteWeight,3794202,,,,,,
