img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.qualtrics.com/,60224,410021.0,72.0,72.0,72.0,72.0,72
globe.svg,5549,5099.0,,,,,
qualtrics-xm-long.svg,4555,4104.0,72.0,72.0,72.0,72.0,72
Subtraction-7-final.svg,2148,1707.0,,,,,
arrow.svg,718,274.0,,,,,
mo-banner-1-2x.png,165560,164759.0,91072.0,87622.0,77042.0,65772.0,55212
headset.svg,1311,869.0,,,,,
message.svg,1409,968.0,,,,,
twitter.svg,1402,962.0,,,,,
discover-logo.svg,5209,4757.0,72.0,72.0,72.0,72.0,72
Group-5755-final.svg,1492,1049.0,,,,,
Group-5753-final.svg,1462,1020.0,,,,,
pause-solid.svg,1113,669.0,,,,,
designxm.svg,11074,10612.0,,,,,
arrow.svg,0,274.0,,,,,
cx-final.svg,9875,9415.0,,,,,
ex-final.svg,9152,8692.0,,,,,
px-final.svg,8832,8372.0,,,,,
bx-final.svg,8074,7614.0,,,,,
services.svg,11710,11248.0,,,,,
log?domain=qualtrics.com&country=pk&state=&behavior=implied&c=9fc3,442,43.0,72.0,72.0,72.0,72.0,72
0?ti=5281288&tm=gtm002&Ver=2&mid=d95a4469-17c2-420f-872e-7f64177cb881&sid=ecce0560c27611ecbf0625de585b0555&vid=ecce4120c27611ec9eded57f0952d93e&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Qua,176,0.0,,,,,
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=null&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=a_pageload&q=%7B%22pageLoadTime%22%3A%22Fri%2C%2022%20Apr%202022%2020%3A00%3A57%20GMT%22,774,43.0,72.0,72.0,72.0,72.0,72
sp.pl?a=10000&d=Fri%2C%2022%20Apr%202022%2020%3A00%3A58%20GMT&n=-5&b=Qualtrics%20XM%20%2F%2F%20The%20Leading%20Experience%20Management%20Software&.yp=10005469&f=https%3A%2F%2Fwww.qualtrics.com%2F&enc=,633,43.0,44.0,44.0,44.0,44.0,44
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=b008471c-e989-49ac-9e56-1231206410fa&_expected_cookie=4c74c59d21f425e20e241108f168d98d,142,43.0,,,,,
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
c.gif?ctsa=mr&CtsSyncId=6016F2A53E5B4ADBBCDFCA62219CFFE3&MUID=39FA7FD90ADF6C571BB66E570BD66D18,463,42.0,72.0,72.0,72.0,72.0,72
cs?ns=lr&uid3=ba9e0b0ec7b4dd758b990d30d46e3b04e3c0b26f18a2ff48e12d0111edfd82846ac34734d8e453ee,52,37.0,72.0,72.0,72.0,72.0,72
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
cs?ns=ttd&uid3=a8f53183-e970-407d-95bb-a3b2dde72535,52,37.0,72.0,72.0,72.0,72.0,72
cs?ns=lr&uid3=ba9e0b0ec7b4dd758b990d30d46e3b04e3c0b26f18a2ff48e12d0111edfd82846ac34734d8e453ee,52,37.0,72.0,72.0,72.0,72.0,72
wr-dialog-close-btn-white.png,572,254.0,268.0,268.0,266.0,268.0,266
tap.php?v=8981&nid=2307&put=a8f53183-e970-407d-95bb-a3b2dde72535&gdpr=0&gdpr_consent=&expires=30,894,42.0,72.0,72.0,72.0,72.0,72
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
362338.gif?partner_uid=k-VqEP0eoflTp_h4khF8gQP2TAIDSxw24EtL3HWA,60,42.0,72.0,72.0,72.0,72.0,72
v1?esig=1~7315a025058f3128185459bfaf16e164414683fc&nwid=10000545908&sigv=1,194,0.0,44.0,44.0,44.0,44.0,44
spp.pl?a=10001287818027&.yp=10028862&js=no,292,43.0,44.0,44.0,44.0,44.0,44
sync?_origin=1&uid=k-HeX38uoflTp_h4khF8gQP2TAIDTnoOLINqB-5A,491,0.0,72.0,72.0,72.0,72.0,72
cookie-sync?p=criteo&uid=k-BmgqlOoflTp_h4khF8gQP2TAIDQcFVB0q2QUsg,476,0.0,72.0,72.0,72.0,72.0,72
t.gif?pid=113&pdid=k-MXMEheoflTp_h4khF8gQP2TAIDTG1lxrhI3LQA,427,0.0,,,,,
tap.php?v=6434&nid=2149&put=k-MXMEheoflTp_h4khF8gQP2TAIDTG1lxrhI3LQA&expires=30,894,42.0,72.0,72.0,72.0,72.0,72
setuid?entity=52&code=k-ULksUeoflTp_h4khF8gQP2TAIDTI_p26sUMx0A&seg=95287,617,43.0,,,,,
Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTE5MjgmdGw9NDMyMDA=&piggybackCookie=uid:k-Ww6tGOoflTp_h4khF8gQP2TAIDSfvvuzbeLXpA,675,42.0,72.0,72.0,72.0,72.0,72
cksync.php?cs=3&type=crt&ovsid=k-_pbWneoflTp_h4khF8gQP2TAIDRj4pEkjE281w,783,45.0,72.0,72.0,72.0,72.0,72
pixel_sync?bidder=151&bidder_uid=k-ZwhwBOoflTp_h4khF8gQP2TAIDSkQ3MdIU68tw,336,35.0,72.0,72.0,72.0,72.0,72
um?eid=80&uid=k-0QyWteoflTp_h4khF8gQP2TAIDRs1-dBre-tCw,287,23.0,,,,,
?taboola_hm=k-HijdnuoflTp_h4khF8gQP2TAIDQffGSvCWU0cg,232,0.0,,,,,
?partnerid=79&partneruserid=k-lgc5HuoflTp_h4khF8gQP2TAIDQSwX5mHy9eqQ,688,43.0,,,,,
v1?source_id=7658cb1d77a660882b48db06&source_user_id=k-xk_sKeoflTp_h4khF8gQP2TAIDR6tmGU1KIUSw,262,68.0,44.0,44.0,44.0,44.0,44
match?publisher_dsp_id=38&external_user_id=k-3eiCBOoflTp_h4khF8gQP2TAIDSa0vxfTopjVQ,0,0.0,72.0,72.0,72.0,72.0,72
1017?vk=k-OjZ2HuoflTp_h4khF8gQP2TAIDSpjkv5ezJXHQ,537,43.0,72.0,72.0,72.0,72.0,72
sync?UICR=k-Gr70KuoflTp_h4khF8gQP2TAIDTgiCohV0AnNQ,406,43.0,72.0,72.0,72.0,72.0,72
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
cookiematch.aspx?id=&google_ula=9130710,370,43.0,44.0,44.0,44.0,44.0,44
xuid?ld=1&mid=2711&xuid=k-twuvVuoflTp_h4khF8gQP2TAIDQBvpbpU7HIlw&dongle=013b&gdpr=0&cmp_cs=&us_privacy=,354,37.0,72.0,72.0,72.0,72.0,72
cookiematch.aspx?appnxsid=$UID,689,43.0,44.0,44.0,44.0,44.0,44
397596.gif?partner_uid=jZqKHvSxZJ_-feVZyLgATNR6s2QwgYqz,60,42.0,72.0,72.0,72.0,72.0,72
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
sync?dsp_id=46&user_id=k-hzujHeoflTp_h4khF8gQP2TAIDT4zfGXPQ4SXw&expires=30&user_group=5,510,43.0,72.0,72.0,72.0,72.0,72
cookiematch.aspx?appnxsid=$UID,689,43.0,44.0,44.0,44.0,44.0,44
rum?cm_dsp_id=20&external_user_id=k-WRpN_uoflTp_h4khF8gQP2TAIDRKVQOvd15rWA&C=1,1026,43.0,72.0,72.0,72.0,72.0,72
v1?source_id=xTFJbLbs37tyhbKsPP9VC2cm&source_user_id=dca72127,261,68.0,44.0,44.0,44.0,44.0,44
empty.gif?,438,43.0,72.0,72.0,72.0,72.0,72
img.gif?token=d83cbfd61dfbed9d4355c5682e5790c5&svisitor=1e302b17076a0000790963624e0200002a8b0300&session=03358b6a-47d9-4c36-8804-083b3365fc4d&event=active_time_track&q=%7B%22currentTime%22%3A%22Fri%2C,774,43.0,72.0,72.0,72.0,72.0,72
