img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.quizizz.com/,298,0.0,,,,,
093c14ef-653e-4f9c-ac5c-4913d0c45d69_400_400,21344,20937.0,6838.0,6528.0,5324.0,3878.0,2664
573fef98-db67-430b-96db-913de6bcfa44_400_400,41553,41117.0,21830.0,20632.0,16518.0,12470.0,7802
sci.png,10639,9920.0,6082.0,5638.0,4144.0,2734.0,1394
purple-brandmark-600x164.png,20030,19297.0,7862.0,7692.0,7224.0,6766.0,6266
1-HERO-Digital_Collage.png,254744,253762.0,125058.0,120466.0,104340.0,89176.0,75134
2-SOCIAL_PROOF-User_Image_2.png,37654,36905.0,12336.0,11724.0,9402.0,6932.0,4034
2-SOCIAL_PROOF-User_Image_1.png,30500,29764.0,4070.0,3738.0,2844.0,2056.0,1324
2-SOCIAL_PROOF-User_Image_3.png,30017,29273.0,8412.0,7888.0,6300.0,4614.0,3042
2-SOCIAL_PROOF-Logo_1.png,2743,2039.0,1908.0,1892.0,1880.0,1874.0,1858
2-SOCIAL_PROOF-Logo_2.png,2980,2267.0,2150.0,2146.0,2102.0,2050.0,2002
2-SOCIAL_PROOF-Logo_3.png,3148,2438.0,2472.0,2446.0,2420.0,2366.0,2352
2-SOCIAL_PROOF-Logo_4.png,3791,3085.0,3208.0,3206.0,3184.0,3148.0,3138
2-SOCIAL_PROOF-Logo_5.png,3776,3062.0,2834.0,2820.0,2798.0,2780.0,2768
2-SOCIAL_PROOF-Logo_6.png,3643,2929.0,2804.0,2806.0,2800.0,2806.0,2786
4-PRODUCT_OVERVIEW-1.jpg,86815,86014.0,35740.0,34016.0,28582.0,22516.0,17474
4-PRODUCT_OVERVIEW-2.jpg,72717,71919.0,35538.0,33578.0,28064.0,22132.0,16592
4-PRODUCT_OVERVIEW-3.jpg,63269,62488.0,25354.0,24418.0,20872.0,16998.0,13552
5-PRODUCT_LINEUP-For_Teachers.png,23557,22824.0,20290.0,19606.0,17590.0,15262.0,13062
5-PRODUCT_LINEUP-For_Work.png,23174,22446.0,18360.0,17834.0,16174.0,14348.0,12450
6-GETTING_STARTED-1.png,15098,14373.0,14016.0,13544.0,12274.0,10664.0,9076
6-GETTING_STARTED-2.png,8246,7538.0,5758.0,5586.0,5258.0,4858.0,4434
6-GETTING_STARTED-3.png,17797,17064.0,12540.0,12258.0,11310.0,10182.0,8730
eng.png,16954,16233.0,9760.0,9164.0,7346.0,5398.0,3458
e48aca0d-53c7-4c85-a6a9-752520f41ea1_400_400,5006,4627.0,2484.0,2364.0,2022.0,1606.0,1210
social_studies.png,16661,15936.0,11066.0,10390.0,8512.0,6180.0,3842
arts.png,8293,7576.0,4014.0,3812.0,3002.0,2190.0,1430
cs.png,14925,14207.0,9554.0,9100.0,7414.0,5604.0,3582
cte.png,12684,11964.0,8220.0,7702.0,6256.0,4678.0,2880
7-CTA_SECTION-Left.png,77027,76231.0,87606.0,86684.0,84010.0,81248.0,78832
7-CTA_SECTION-Right.png,63936,63166.0,85684.0,84800.0,82408.0,79794.0,77534
white-brandmark-600x164.png,15252,14531.0,5634.0,5666.0,5686.0,5648.0,5696
essential_a11y_logo.png,2947,2190.0,2352.0,2244.0,1986.0,1720.0,1444
apple%20app%20store.png,8111,7401.0,1732.0,1680.0,1490.0,1250.0,974
google%20play.png,8340,7633.0,1700.0,1648.0,1450.0,1210.0,922
3-PRODUCT_IN_ACTION-First_Frame.png,121996,121152.0,37818.0,36192.0,31208.0,25246.0,18906
b63c04f0-806b-4fb1-87d9-b463538df41f_400_400_900_900,47893,47416.0,12748.0,12064.0,10008.0,7582.0,5460
pageTransferSize,3270963,,,,,,
totalByteWeight,8495993,,,,,,
