img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.sakshi.com/,253,0.0,,,,,
mobile_logo.png,1985,1690.0,1920.0,1898.0,1828.0,1750.0,1672
sakshi_tv.gif,4640,4344.0,3548.0,3450.0,3058.0,2612.0,2120
nav_home_wht.png,773,479.0,340.0,340.0,340.0,340.0,340
default_295x200.jpg,2618,2322.0,622.0,580.0,486.0,416.0,310
video.png,1222,869.0,350.0,350.0,336.0,320.0,298
vut_photos.png,641,348.0,158.0,158.0,144.0,140.0,122
video_icn.png,1379,1034.0,864.0,858.0,802.0,740.0,670
up_arrow_opt.png,1391,1098.0,510.0,502.0,464.0,422.0,386
fb.png,782,440.0,306.0,296.0,270.0,246.0,212
twitter.png,940,599.0,348.0,340.0,306.0,272.0,218
instagram-ic_0.jpg,1372,1027.0,556.0,536.0,450.0,368.0,274
yt.png,1250,909.0,444.0,430.0,384.0,332.0,274
telegram.png,1053,710.0,322.0,310.0,258.0,212.0,162
ABC_Logo1.PNG,1651,1319.0,414.0,394.0,348.0,286.0,234
koo_square_logo_live.png,1093,747.0,340.0,326.0,274.0,238.0,172
undefined,32556,32556.0,,,,,
apspecial1.gif,24071,23748.0,3944.0,3780.0,3226.0,2634.0,1986
tsspecial1.gif,21055,20731.0,3420.0,3284.0,2824.0,2252.0,1610
ketto1.jpg?itok=0wqFacfI,20610,20236.0,13656.0,12690.0,10118.0,7374.0,4698
mob4-1.jpg,6883,6579.0,4732.0,4472.0,3686.0,2808.0,1892
&pid=1&pt=home&pd=1650712531&sp=0,137,0.0,,,,,
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Sakshi%3A%20Telugu%20Breaking%20News%20%7C%20Latest%20Telugu%20News%20%7C%20%E0%B0%A4%E0%B1%86%E0%B0%B2%E0%B1%81%E0%B0%97%E0%B1%81%20%E0%B0%B5%,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
gen_204?id=ach_evt&url=https%3A%2F%2Fm.sakshi.com%2F&tn=DIV&id=div-ub-1&ign=false&pw=360&ph=640&x=180&y=604.5,20,0.0,,,,,
gen_204?id=ach_evt&url=https%3A%2F%2Fm.sakshi.com%2F&tn=NAV&cls=navbar&ign=false&pw=360&ph=640&x=0&y=0,20,0.0,,,,,
close.png,2236,1860.0,658.0,646.0,614.0,570.0,518
aHR0cDovL2ltZ2hvc3RzLmNvbS90LzIwMTktMDgvMTAxOTI0L2Y5NmI1YjlhZTk4NWE2ZGIwODZkMWNiODFlOTJiMDBiLmpwZWc.webp?v=1650712795-XFbGT3BRM56M03lHIGYZ8t4n7zdkBO3vKa9TPkMvJs8,0,0.0,,,,,
aHR0cDovL2ltZ2hvc3RzLmNvbS90LzIwMTktMDgvMTAxOTI0L2RhODI0YzljOTg3NWEyOWJlOTY3ZDRmZTRhNzg2ODM1LmpwZWc.webp?v=1650712795-KPn2xJ8N2Em34SP2GH7v4omExe3x2zQDUz2IwBRto0o,0,0.0,,,,,
aHR0cDovL2ltZ2hvc3RzLmNvbS90LzIwMTktMDgvMTAxOTI0L2Y2MTA5MmZhNTFmYjE3NGI1ZjMxZmVjZTZkY2EzZWVkLmpwZWc.webp?v=1650712795-rIbESl6Ruvez8inbL6WOLlH9ziNR2_m_pNI50e0-WEA,0,0.0,,,,,
aHR0cDovL2ltZ2hvc3RzLmNvbS90LzIwMTktMDgvMTAxOTI0LzAwMDhmMDQ4MmEyODQ0M2RkOWM1MWE2ZDZlMjk2MzU2LmpwZWc.webp?v=1650712795-GoZS9jaNpE9KOkRNmeZEWiIKYZqG-KjW1juPZJYO4HE,0,0.0,,,,,
v1?esig=2~0e5920937f6aadb48bff63caeaefd5a0b961c753&nwid=1117471&sigv=1,194,0.0,,,,,
f89e1763-220d-4e09-ba69-9e040548fb7a.svg,2074,4146.0,,,,,
debug?tim=16%3A19%3A56.304&type=error&msg=Exit%20TRCRBox.loadScriptCallback(retry%3D0)%3A%20no%20items%20in%20response%20-%20thumbs-feed-01&llvl=2&id=7416&cv=20220421-4-RELEASE&lt=deflated&uuid=e5049f,91,0.0,,,,,
debug?tim=16%3A19%3A56.306&type=error&msg=Exit%20TRCRBox.loadScriptCallback(retry%3D0)%3A%20no%20items%20in%20response%20-%20organic-thumbs-feed-01&llvl=2&id=3646&cv=20220421-4-RELEASE&lt=deflated&uui,90,0.0,,,,,
7bc2733b4ef063396badd77b1495d2d2.jpg,14142,13276.0,12520.0,11686.0,8994.0,6272.0,3514
1283532143__QiTeiCZ0.jpg,2544911,2543197.0,409430.0,384324.0,302354.0,205246.0,117966
index&wi=-1389498299660074615&pt=home&vi=1650712795318&d=%7B%22abTestsEventType%22%3A%22simple%22%2C%22name%22%3A%22taboola-vignette-script-loaded%22%2C%22type%22%3A%22%7B%5C%22timeFromLoad%5C%22%3A34,377,0.0,,,,,
1283532143__QiTeiCZ0.jpg,58109,57156.0,409430.0,384324.0,302354.0,205246.0,117966
868845514__peImfda8.jpg,11644,10708.0,9928.0,9298.0,7722.0,6042.0,4116
more_vert_white_48dp.png,773,233.0,264.0,266.0,264.0,266.0,266
feedback_grey600_24dp.png,296,205.0,182.0,182.0,182.0,182.0,180
settings_grey600_24dp.png,696,604.0,496.0,494.0,494.0,494.0,492
sync.php?p=16698,0,0.0,72.0,72.0,72.0,72.0,72
pixel?google_nid=taboola_dbm&google_cm&google_sc,0,0.0,88.0,88.0,88.0,84.0,80
Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTM0MjcmdGw9MTI5NjAw&piggybackCookie=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b:$UID,0,0.0,72.0,72.0,72.0,72.0,72
rtb?redir=https%3A%2F%2Fcm.g.doubleclick.net%2Fpixel%3Fgoogle_nid%3Dtaboola_dbm%26google_sc%26gdpr%3D0%26gdpr_consent%3D&orig=trc,0,0.0,44.0,44.0,44.0,44.0,44
generic?ttd_pid=054f32o&ttd_tpi=1,0,0.0,,,,,
merge?pid=42&3pid=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b&us_privacy=&gdpr=0&gdpr_consent=,0,0.0,72.0,72.0,72.0,72.0,72
rtset?do=add&pid=553204&ev=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b,0,0.0,72.0,72.0,72.0,72.0,72
?partnerid=107&partneruserid=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b&gdpr=0&gdpr_consent=,0,0.0,,,,,
put?d=d41&uid=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b,0,0.0,,,,,
usersync.aspx?r=29&p=282&cp=taboolaortb&cu=1&url=https%3A%2F%2Fsync-t1.taboola.com%2Fsg%2Fcriteortb-network%2F1%2Frtb-h%2F%3Ftaboola_hm%3D%40%40CRITEO_USERID%40%40,0,0.0,44.0,44.0,44.0,44.0,44
9.gif?puid=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b&gdpr=0&gdpr_consent=&callback=https%3A%2F%2Fsync.taboola.com%2Fsg%2Fid5-network%2F1%2Frtb-h%2F%3Ftaboola_hm%3D%7BID5UID%7D,0,0.0,72.0,72.0,72.0,72.0,72
sync?ssp=taboola&gdpr=0&gdpr_consent=,0,0.0,72.0,72.0,72.0,72.0,72
sync?ssp=taboola,0,0.0,72.0,72.0,72.0,72.0,72
sd?id=543998486&val=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b&gdpr=0&gdpr_consent=,0,0.0,44.0,44.0,44.0,44.0,44
xuid?mid=7772&xuid=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b&dongle=tbla,0,0.0,72.0,72.0,72.0,72.0,72
sync?uid=54ac1f569912e3c4967bf7b5df910a44&name=TABOOLA&visitor=[BUYER_USERID]&external=true,0,0.0,44.0,44.0,44.0,44.0,44
?remote_uid=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b,0,0.0,,,,,
sync?nid=140,0,0.0,72.0,72.0,72.0,72.0,72
sync?dsp_id=453&user_id=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b&gdpr=0&gdpr_consent=&us_privacy=,0,0.0,72.0,72.0,72.0,72.0,72
sync?vendor=60151&uid=5ca80f92-72b7-49f2-9837-b62cc0b087d0-tuct95d665b,0,0.0,72.0,72.0,72.0,72.0,72
rtb-h?taboola_hm=,0,0.0,,,,,
pixel?google_nid=pubmatic&google_hm=RUIxOUQ3RTUtNEREQS00NUFBLThBMjgtMEFENzIxNzhFQURC&gdpr=0&gdpr_consent=,0,0.0,72.0,72.0,72.0,72.0,72
pixel?google_nid=pubmatic&google_cm&google_sc&gdpr=0&gdpr_consent=,0,0.0,72.0,72.0,72.0,72.0,72
Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9ODA2JnRsPTUxODQwMA==&piggybackCookie=uid:$UID&gdpr=0&gdpr_consent=,0,0.0,72.0,72.0,72.0,72.0,72
EB19D7E5-4DDA-45AA-8A28-0AD72178EADB?gdpr=0&gdpr_consent=,0,0.0,72.0,72.0,72.0,72.0,72
