img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.sbrf.ru/,8598,7467.0,,,,,
content?id=d690824f-95fb-4201-86ca-f908791b832b&_=1575967410193,3673,2686.0,,,,,
1648211520000_29183_imgUrl_mobile.webp?_=1648211600455,35056,34140.0,33780.0,33422.0,30532.0,24704.0,20876
e7075b135358ca0d0a41.png,12440,11647.0,890.0,856.0,614.0,400.0,224
advert.gif,177,43.0,72.0,72.0,72.0,72.0,72
?et=pv&pid=3122244&rid=1650722192.704-1166156993&tid=t1.3122244.10872170.1650722192705&v=2.0.9&ct=web&aduid=5c49067b-bd65-4a07-9224-d96249da2b1f&aduidsc=sberbank.ru&rn=710631597&bs=360x640&ce=1&rf=htt,1089,595.0,,,,,
sber_32.png,0,0.0,45426.0,44128.0,39884.0,34354.0,28982
valuta-mobile-2x.png,0,0.0,12130.0,11348.0,9122.0,6564.0,4406
promovklad-mobile-2x.png,0,0.0,7692.0,7206.0,5886.0,4448.0,3188
perevodzarubezh-mobile-2x.png,0,0.0,13576.0,12788.0,10100.0,7282.0,4852
pageTransferSize,1506632,,,,,,
totalByteWeight,4271412,,,,,,
