img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.shopee.com.my/,76,0.0,,,,,
fe6b4b42db994b2cf65a2849060b4cce,122573,122009.0,33722.0,32210.0,27046.0,20530.0,14326
6a22d7893e09a7203c25e2d412c92893,365122,363901.0,43714.0,41910.0,35360.0,27634.0,19436
5ee9bd58ef8a3f2f7bd91a0cdd384f36,42212,41827.0,8956.0,8522.0,7278.0,5562.0,3898
9c842cfe91a9de785bf918a8ba96cbb7,10536,10224.0,1480.0,1480.0,1480.0,1476.0,1474
112cea00c562587a95ac38a980da7c32,1525,1233.0,216.0,216.0,218.0,212.0,212
73095c306b2525167e3d097f9e918d78,93441,92905.0,41396.0,38966.0,32172.0,23792.0,16330
4921b2742b30dc4a1d21ec80d1c1094e,110261,109723.0,30702.0,29386.0,24720.0,19088.0,13490
650b3e9352229d031514189a019da00c,203044,202237.0,31382.0,29712.0,25118.0,19270.0,13508
228a897f1e1fa4c891413027949bf768,112516,111981.0,30308.0,29014.0,24688.0,19348.0,13802
baf50cbd5139aae40bf4e8423bd64b20,132674,132074.0,37236.0,35058.0,28926.0,21642.0,14716
dbae43721f3aa71a21f6738cab1aed7b,116769,116214.0,49450.0,46972.0,38152.0,28402.0,19144
8c53ed9c2424e426e6dff21cbc89e548,55441,55023.0,31456.0,30238.0,24466.0,18728.0,13232
62240c187cb8bac3c0b0bcd101b4d8a3,251226,250374.0,36474.0,34786.0,28118.0,21474.0,14570
a941987eb53d0fd16bbdf300a2a6677e,140826,140226.0,41838.0,39646.0,32910.0,24532.0,16716
e9ec25f3e0cf024ef0b055387b7ca867,142145,141536.0,41082.0,38860.0,31638.0,23716.0,15698
9651c5a9d11a741e2865f6fa7af3d48a,201454,200710.0,49488.0,47336.0,39522.0,29758.0,20272
a5c36050367e190f2b7b4737499390c7,173940,173258.0,57438.0,55054.0,46916.0,36188.0,25128
faa2d87a85b356475f735587e6e54c63,98553,98034.0,27446.0,25674.0,21394.0,16278.0,11414
edfe7b51b9c16c690de81d3a062b162f_xxhdpi,9175,8860.0,2798.0,2720.0,2464.0,2200.0,1892
8df2121c2247084a4e54bb4a9ecc5e0a_xxhdpi,8521,8207.0,2280.0,2208.0,1978.0,1696.0,1374
b3b338bf737cfd563616c42659821948_xxhdpi,10079,9765.0,2998.0,2932.0,2630.0,2300.0,1932
1032a8e59bbaa067f2f883e72d74a1e3_xxhdpi,9496,9181.0,2234.0,2128.0,1934.0,1694.0,1416
bddc849616d7a12dddb722df86632f26_xxhdpi,7900,7586.0,2966.0,2886.0,2506.0,2094.0,1610
e6abef2c5680e85ed942c8b07996fbe6_tn,24265,23916.0,16862.0,15884.0,13260.0,10250.0,6998
c0928ba60e7de0a71ac9aac5570afe35_tn,36563,36187.0,11296.0,10786.0,8848.0,6618.0,4274
92722b379c551eee32ac2757cb7de6a9_tn,19351,19021.0,7496.0,7136.0,5860.0,4414.0,2876
7b8d705378abb7988e91aa8363beb348_tn,17816,17475.0,12634.0,12068.0,10140.0,7904.0,5320
https%3A%2F%2Fcf.shopee.com.my%2Ffile%2F4c18c0a00a0bf120618e7ddbd4148bb0,38361,37985.0,,,,,
https%3A%2F%2Fcf.shopee.com.my%2Ffile%2F44705de6b58d94d3f71617b65b72286c,17530,17201.0,,,,,
https%3A%2F%2Fcf.shopee.com.my%2Ffile%2F15a43f8a994ad3ebaec89c8e55b96942,15618,15298.0,,,,,
https%3A%2F%2Fcf.shopee.com.my%2Ffile%2Fc800da863b576b4605cd1dae54a7fa6d,26019,25662.0,,,,,
5fe6ceb288a841ccbf7bd112b0cbfb31.png,57470,56988.0,20332.0,19134.0,14910.0,10072.0,5686
cc8738545cd8491eb610b2f5175ebd67.png,7750,7309.0,3072.0,3026.0,2820.0,2588.0,2268
1679ee3d010783a5a3ba21ed34fc8db6,143446,142838.0,29408.0,28410.0,24288.0,19132.0,13510
70c36aa5aab41bb7ed9334a7ac5b8ec4_xxhdpi,26667,26316.0,6850.0,6668.0,5922.0,5072.0,4070
df8261ce6f50ff673f8402a82d5dbb20.png,1440,1087.0,688.0,656.0,576.0,486.0,402
b069c75a3532f869720079cd3a542c6c.png,975,509.0,250.0,250.0,250.0,250.0,250
c5316dd01de2b0d41d267a57f5b32844.png,3289,2864.0,1450.0,1408.0,1306.0,1194.0,1058
34dd886900e8becc8d8f1c8048da9064_tn,8757,8445.0,2608.0,2508.0,2218.0,1726.0,1304
93821aa483a8c8b1c59c3d8f90c755a6_tn,15635,15304.0,9482.0,9150.0,7576.0,5918.0,4076
ed56f4bcba3ce3c66b8e171b7c99e976_tn,4859,4555.0,1308.0,1282.0,1140.0,936.0,744
084731637540c269901ede7dad2c6a28_tn,19114,18774.0,12172.0,11566.0,9468.0,7200.0,4748
a195984bde637c3e4e75851c1e4f3bd9_tn,24738,24379.0,7062.0,6768.0,5704.0,4500.0,3118
511aca04cc3ba9234ab0e4fcf20768a2.png,1454,1101.0,824.0,798.0,724.0,622.0,524
6c502a2641457578b0d5f5153b53dd5d.png,1884,1530.0,930.0,902.0,824.0,716.0,610
16ead7e0a68c3cff9f32910e4be08122.png,1611,1257.0,832.0,814.0,738.0,652.0,554
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-H06K3499BD&cid=1886241411.1650657885&gtm=2oe4k0&aip=1&z=1193704135,501,42.0,72.0,72.0,72.0,72.0,72
?id=757894527666013&ev=PageView&dl=https%3A%2F%2Fshopee.com.my%2F&rl=&if=false&ts=1650657885381&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.2.1650657885379.937019868&it=1650657884851&coo=false&rq,410,44.0,,,,,
?id=757894527666013&ev=Microdata&dl=https%3A%2F%2Fshopee.com.my%2F&rl=&if=false&ts=1650657885888&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Shopee%20Malaysia%20%7C%20Free%20Shipping%20Across%20,91,44.0,,,,,
cm?v=2&pi=adx&tdc=sin&chain=&google_gid=CAESEDDs8tinHRgvB3S4mn6mcO8&google_cver=1&google_ula=51532240,243,42.0,,,,,
collect?v=1&_v=j96&a=600380329&t=pageview&_s=1&dl=https%3A%2F%2Fshopee.com.my%2F&dp=%2F&ul=en-us&de=UTF-8&dt=Shopee%20Malaysia%20%7C%20Free%20Shipping%20Across%20Malaysia&sd=24-bit&sr=360x640&vp=360x6,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-61915055-6&cid=1886241411.1650657885&jid=766794219&_u=aCDAgEAjAAQCAE~&z=1555045450,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-61915055-6&cid=1886241411.1650657885&jid=766794219&_u=aCDAgEAjAAQCAE~&z=1555045450,63,42.0,72.0,72.0,72.0,72.0,72
