img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.shopee.sg/,73,0.0,,,,,
fe7054a530cf0b12d500c167ba77157e,138749,138262.0,27940.0,26408.0,21546.0,16330.0,11456
a81c06184009f8490d528dbb4776fbdb,395888,394824.0,41098.0,39074.0,32482.0,25316.0,17310
f3f70898c9e5a1170482a9f4c87c9088,99333,98937.0,16416.0,15568.0,13032.0,10000.0,7096
ad3ce42a45f3767280a6805a446eb030,236033,235338.0,32750.0,31462.0,26712.0,20618.0,14314
a494e72fee13c2785f00a64904877b52,1759,1579.0,276.0,276.0,270.0,262.0,246
24bc08a519a4e1d7b935170dab65f197,13467,13259.0,1630.0,1638.0,1652.0,1646.0,1596
54f554709f2f06d22377ae235a7ab14a,120320,119868.0,46168.0,42790.0,34992.0,25924.0,17258
e9bf02c2f270783c69e529faf69386ca,377372,376354.0,33906.0,32354.0,26374.0,19726.0,13442
8166dbd8577dc3a367a41ea6cc7b7703,382247,381219.0,35442.0,33632.0,27592.0,20414.0,13770
c5c59ad06c7f7baa204b3012f6b69c3c,177938,177360.0,32014.0,30144.0,25222.0,19086.0,13076
b82e59c1696954785a94dae61b2bf01e,99537,99131.0,35296.0,33608.0,27852.0,20944.0,14458
d27b6eab482c740f988b286c28f7fe12,92054,91666.0,18056.0,17356.0,14936.0,11866.0,8890
919250911b6cdd21e9e35a75a4aff5ff,118851,118410.0,29750.0,28442.0,23306.0,17776.0,12114
709403699cd24aadc15a235319657f47,351515,350550.0,33298.0,31662.0,25858.0,19326.0,12990
31e49e329eb365031ea7b662e2f4cdf6,309633,308768.0,27194.0,25966.0,21352.0,16306.0,11048
076ab09c162fc1a00154a55b92f83977,307094,306229.0,28398.0,26798.0,22070.0,16680.0,11288
329230d9ca25177708e2c206400f897d,165479,164928.0,43794.0,41522.0,33408.0,25018.0,16206
b3fc7f49ae8d51198115477af234face,102580,102174.0,43078.0,40184.0,33054.0,24644.0,16776
549b98a0a0c068e36872bb985e2bf7e9,168608,168047.0,32464.0,31006.0,25942.0,19576.0,13844
f50a5419ad160d9e517ab318168b3bcc,108813,108389.0,33014.0,31874.0,27260.0,21294.0,15002
fdb2a4be6eef645b3c1404f4c790c190,140274,139777.0,28264.0,26934.0,22318.0,16888.0,11600
6e6401af8856f74cfd5f3fb2fee3520e,132366,131886.0,31954.0,29912.0,24652.0,18504.0,12656
e3efbc7ce2f347018e8945249fe4fb66,113190,112756.0,69494.0,59696.0,35170.0,26792.0,18488
c7414b8722032e2dac1f90b75fa2aa2c,196693,196079.0,49638.0,47388.0,38970.0,29144.0,19890
df751849b349fd8a16c899be60d37e85_xxhdpi,8324,8121.0,2308.0,2260.0,2054.0,1804.0,1514
20d09c50e310726681d7d823fa8f1896_xxhdpi,7923,7720.0,2864.0,2822.0,2550.0,2314.0,1994
99d26e050cd09dc43b5e082d51604785_xxhdpi,11487,11283.0,3904.0,3778.0,3292.0,2744.0,2184
f31fcda06265ed1ad16140de14a99879_xxhdpi,10360,10156.0,3874.0,3740.0,3394.0,3050.0,2538
8ad6c96dd60ddf1a9b22e7c833891783_xxhdpi,11954,11741.0,3910.0,3772.0,3422.0,2988.0,2464
1d25d74d6900b85cfde8f967e613041d_xxhdpi,11746,11533.0,3442.0,3360.0,2990.0,2642.0,2220
6ba796d6d1ff3342ef5fbda4604cb5ef_xxhdpi,9618,9406.0,2670.0,2586.0,2312.0,1950.0,1592
5af0b43ca08f2d9df0d0b1f37c71adb0_xxhdpi,7757,7554.0,3364.0,3250.0,2900.0,2500.0,2048
15f10f548badecedc7b4d5186f8c0837_xxhdpi,15184,14971.0,3016.0,2940.0,2598.0,2200.0,1726
5747908664dd71eb60406e0990ffb55e_xxhdpi,16769,16547.0,2788.0,2684.0,2320.0,1966.0,1546
ff55ae16d6629d82e81c0751a5fe2fe3_tn,28754,28499.0,7696.0,7170.0,5768.0,4100.0,2600
a77210d899a35de70cab0b5711653e7b_tn,27706,27460.0,6888.0,6510.0,5102.0,3514.0,2238
b00565f92b550b8c0fc66722360866ce_tn,32012,31765.0,12772.0,12216.0,10072.0,7546.0,5020
177e76d58acda1b935f5f1cf74c0b3ba_tn,17421,17192.0,5090.0,4888.0,4040.0,3108.0,2182
f97b2aa759bc0e4dfa9048007e12cebb,105460,105054.0,31184.0,30142.0,25482.0,19954.0,14304
37a7b6a1b1fc8b6a968038611bce8f7c.png,1642,1286.0,204.0,204.0,204.0,204.0,204
cd3cb3fa3e177e055127f4dcf10fee4c.png,1763,1406.0,290.0,290.0,290.0,290.0,290
ccc904f934721782d5b205c18ba54bcd.png,5465,5027.0,2718.0,2680.0,2452.0,2248.0,1950
293226ccbb03bc37a6bfae821f808426_xxhdpi,14771,14558.0,4720.0,4580.0,4034.0,3450.0,2790
df8261ce6f50ff673f8402a82d5dbb20.png,1442,1087.0,688.0,656.0,576.0,486.0,402
6c502a2641457578b0d5f5153b53dd5d.png,1887,1530.0,930.0,902.0,824.0,716.0,610
511aca04cc3ba9234ab0e4fcf20768a2.png,1457,1101.0,824.0,798.0,724.0,622.0,524
16ead7e0a68c3cff9f32910e4be08122.png,1614,1257.0,832.0,814.0,738.0,652.0,554
b069c75a3532f869720079cd3a542c6c.png,976,509.0,250.0,250.0,250.0,250.0,250
a7110cc18a9d95b7abef77afe54f9a19_tn,6377,6178.0,1964.0,1892.0,1662.0,1350.0,1056
0bb4554747f4b3c409e4f289f148a105_tn,11394,11184.0,3448.0,3330.0,2914.0,2304.0,1726
2b32282af1e688049c2e305978667fed_tn,37456,37183.0,9588.0,8882.0,6844.0,4834.0,3030
e2a700233743b072d5fefe3e98b012d5_tn,26502,26256.0,6666.0,6278.0,5052.0,3820.0,2526
6d3644e9a6648bec2ebcea3757cbb3ac.png,1486,1131.0,620.0,610.0,566.0,526.0,484
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-4572B3WZ33&cid=1726134465.1650745045&gtm=2oe4k0&aip=1&z=969680432,501,42.0,72.0,72.0,72.0,72.0,72
?id=139835196351422&ev=PageView&dl=https%3A%2F%2Fshopee.sg%2F&rl=&if=false&ts=1650745045749&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650745045746.621534725&it=1650745045181&coo=false&rqm=GE,409,44.0,,,,,
collect?v=1&_v=j96&a=1920065166&t=pageview&_s=1&dl=https%3A%2F%2Fshopee.sg%2F&dp=%2F&ul=en-us&de=UTF-8&dt=Shopee%20Singapore%20%7C%20Buy%20Everything%20On%20Shopee&sd=24-bit&sr=360x640&vp=360x640&je=0,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-61921742-7&cid=1726134465.1650745045&jid=2104201294&_u=aCDAgEAjAAQCAE~&z=1010215945,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-61921742-7&cid=1726134465.1650745045&jid=2104201294&_u=aCDAgEAjAAQCAE~&z=1010215945,63,42.0,72.0,72.0,72.0,72.0,72
cookie-sync?p=criteo&uid=k-VlJ_PPXO0HYC-SwplpvobMq-mDw7pDGjvHCFUg,476,0.0,72.0,72.0,72.0,72.0,72
v1?esig=1~7315a025058f3128185459bfaf16e164414683fc&nwid=10000545908&sigv=1,194,0.0,,,,,
Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTMxNDUmdGw9MTI5NjAw&piggybackCookie=uid:k-vmCqjPXO0HYC-SwplpvobMq-mDwrGQRCtm8SLQ,340,42.0,72.0,72.0,72.0,72.0,72
?taboola_hm=k-vB8p7fXO0HYC-SwplpvobMq-mDxrd_zyOu7K3A,232,0.0,,,,,
cksync.php?cs=3&type=crt&ovsid=k-gnHAYPXO0HYC-SwplpvobMq-mDw3nl_zwIN12Q,785,45.0,44.0,44.0,44.0,44.0,44
um?eid=80&uid=k--xVUcvXO0HYC-SwplpvobMq-mDx241hq3oe8xQ,287,23.0,,,,,
sync?id=k-Oa62Q_XO0HYC-SwplpvobMq-mDxFxZ_Kh7PUVg&pn_id=criteo&ext=1,468,43.0,72.0,72.0,72.0,72.0,72
?ucf_nid=dsp-833DD22BEB97673FB4E8B8DBB882B99&ucf_user_id=k-8LxkTfXO0HYC-SwplpvobMq-mDwR5T6T1GFA_A,302,35.0,,,,,
sync.htm?pid=13079&cuid=k-OmBMGfXO0HYC-SwplpvobMq-mDyVpS0wu9jWEg,280,68.0,72.0,72.0,72.0,72.0,72
