img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.statcounter.com/,245,0.0,,,,,
rating_capterra.png,3541,3429.0,1838.0,1820.0,1668.0,1516.0,1350
rating_trustradius.png,3686,3611.0,1820.0,1782.0,1668.0,1528.0,1348
rating_g2crowd.png,3479,3403.0,1754.0,1724.0,1608.0,1458.0,1298
home_hero.svg,30545,85709.0,,,,,
home_sessionreplay.svg,3849,10282.0,,,,,
icon_home_sessionreplay.svg,418,484.0,,,,,
home_livevisitorfeed.svg,4208,13304.0,,,,,
icon_home_livevisitorfeed.svg,739,1759.0,,,,,
home_analytics.svg,21917,54880.0,,,,,
icon_home_analytics.svg,379,697.0,,,,,
check-exposure.svg,332,385.0,,,,,
howitworks_signup.svg,1759,4225.0,,,,,
howitworks_insertcode.svg,488,1329.0,,,,,
howitworks_getinsights.svg,921,2342.0,,,,,
base-triangle-no-border.png,367,223.0,154.0,154.0,154.0,156.0,154
logo_hoowla.png,5082,4983.0,1716.0,1674.0,1554.0,1426.0,1284
logo_freerangestock.png,3498,3394.0,1134.0,1066.0,916.0,766.0,566
logo_happyhealthy.png,8927,8824.0,3930.0,3878.0,3642.0,3376.0,3042
logo_tumblr.svg,706,1175.0,,,,,
logo_blogger.svg,415,503.0,,,,,
logo_wordpress.svg,735,1203.0,,,,,
logo_squarespace.svg,523,1032.0,,,,,
logo_smugmug.svg,447,628.0,,,,,
logo_google.svg,622,1989.0,,,,,
logo_weebly.svg,641,1019.0,,,,,
logo_wix.svg,4005,8653.0,,,,,
logo_joomla.svg,734,1389.0,,,,,
logo_godaddy.svg,1854,4409.0,,,,,
logo_drupal.svg,1240,2566.0,,,,,
logo_shopify.svg,740,1238.0,,,,,
icon_lock-06430d6b46.svg,323,273.0,,,,,
logo-statcounter-arc-blue-9e7352a20d.svg,2244,5712.0,,,,,
navicon_blue-4acc37e738.svg,202,133.0,,,,,
icon_ios_app-c80d17bd08.svg,599,920.0,,,,,
icon_android_app-7832311597.svg,439,812.0,,,,,
icon_windows_app-dbceb3f512.svg,423,297.0,,,,,
icon_facebook-93dcea8762.svg,367,410.0,,,,,
icon_twitter-b22ab5bb2d.svg,477,723.0,,,,,
mobile_menu_arrow-99914f5661.svg,208,135.0,,,,,
pageTransferSize,465918,,,,,,
totalByteWeight,1241585,,,,,,
