img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.telugu360.com/,29811,217322.0,,,,,
telugu360-logo.png,5432,5255.0,9662.0,9414.0,8526.0,7508.0,6538
CCIA-USA.gif,162604,162253.0,36532.0,34698.0,27978.0,21490.0,14524
Aha-Bheemla-4.jpg,15674,15486.0,13346.0,12866.0,9714.0,7416.0,4908
Chandrababu-Naidu-1-218x150.jpg,7195,7017.0,3614.0,3450.0,2740.0,2046.0,1346
pawan-kalyan-218x150.jpg,3377,3200.0,2460.0,2346.0,1826.0,1326.0,880
Adivi-Sesh-Shows-The-Scale-Of-Major-In-This-Epic-218x150.jpg,5138,4960.0,3730.0,3514.0,2754.0,2048.0,1276
ram-charan-at-azadi-ka-amrut-mahotsav-218x150.jpg,7990,7812.0,6160.0,5834.0,4660.0,3524.0,2186
jeevitha-rajasekhar-218x150.jpg,3925,3748.0,2880.0,2712.0,2178.0,1634.0,1142
YCPs-Amaravati-media-sketch-defames-The-Hindu-218x150.jpg,13071,12883.0,9174.0,8748.0,7164.0,5448.0,3354
Acharya-218x150.png,11524,11336.0,8946.0,8528.0,6788.0,5064.0,3124
Krishna-Vrinda-Vihari-218x150.jpg,4072,3894.0,2998.0,2844.0,2278.0,1644.0,1086
KGF2-and-Jersey-218x150.jpg,8549,8362.0,6588.0,6162.0,4988.0,3676.0,2210
maxresdefault-17-218x150.jpg,5990,5812.0,4598.0,4268.0,3458.0,2604.0,1694
video-small.png,1158,982.0,566.0,554.0,526.0,492.0,464
Vishnu-vishal-and-gutta-jwala-celebrates-their-first-wedding-anniversary-218x150.jpg,9217,9030.0,7094.0,6732.0,5412.0,4114.0,2572
Vasireddy-Padma-218x150.jpg,7462,7284.0,5638.0,5346.0,4312.0,3284.0,2064
project-K-218x150.jpg,4434,4256.0,3346.0,3186.0,2508.0,1898.0,1326
koratala-siva-218x150.jpg,4414,4236.0,3314.0,3106.0,2428.0,1860.0,1202
maxresdefault-16-218x150.jpg,7388,7210.0,5526.0,5234.0,4268.0,3246.0,2020
Ante-sundaraniki-Teaser-Launch-218x150.jpg,6972,6794.0,5648.0,5306.0,3636.0,2848.0,1828
Nabha-Natesh-2-218x150.jpg,4530,4352.0,3592.0,3456.0,2398.0,1766.0,1146
Ashish-reddy-starrer-selfish-movie-launched-218x150.jpg,8248,8070.0,6786.0,6554.0,4548.0,3492.0,2204
ranbir-and-alia-wedding-pics-218x150.jpg,5990,5812.0,4770.0,4542.0,3026.0,2392.0,1424
Adivi-Sesh-Shows-The-Scale-Of-Major-In-This-Epic-600x385.jpg,33217,33002.0,24672.0,23220.0,16184.0,11762.0,6978
