img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.tradingview.com/,65620,501251.0,72.0,72.0,72.0,72.0,72
72e07b239b9259ea78215341e04136bd.webp,34451,33910.0,,,,,
7d501e0fe181c38eb3ffd5057c4be7c3.webp,132104,131454.0,,,,,
XTVCBTC.svg,1191,801.0,,,,,
tesla.svg,898,508.0,,,,,
apple.svg,1072,1112.0,,,,,
679d3de3eafcbfbbfb83a5ec66f51e22.jpg,4699,4192.0,2882.0,2752.0,2196.0,1666.0,1106
snap.svg,1064,1197.0,,,,,
warner-bros-discovery.svg,1199,1576.0,,,,,
at-and-t.svg,1289,1656.0,,,,,
cyngn.svg,1143,751.0,,,,,
XTVCTRX.svg,1297,1608.0,,,,,
gap.svg,1042,1068.0,,,,,
s-and-p-500.svg,1502,2234.0,,,,,
nasdaq-100.svg,1023,1194.0,,,,,
US.svg,795,2813.0,,,,,
dow-30.svg,1176,1443.0,,,,,
russell-2000.svg,932,539.0,,,,,
EU.svg,1260,870.0,,,,,
GB.svg,857,468.0,,,,,
JP.svg,605,215.0,,,,,
AU.svg,1326,937.0,,,,,
CA.svg,688,298.0,,,,,
CH.svg,623,236.0,,,,,
gold.svg,953,556.0,,,,,
silver.svg,955,565.0,,,,,
crude-oil.svg,841,443.0,,,,,
natural-gas.svg,777,388.0,,,,,
wheat.svg,1008,609.0,,,,,
cotton.svg,1335,944.0,,,,,
crypto-total-market-cap.svg,917,528.0,,,,,
XTVCETH.svg,913,523.0,,,,,
XTVCSOL.svg,950,1480.0,,,,,
XTVCLUNA.svg,869,479.0,,,,,
XTVCUNI.svg,2829,4992.0,,,,,
DE.svg,627,237.0,,,,,
IN.svg,751,359.0,,,,,
idea-image-placeholder.svg,1353,5461.0,,,,,
6171439-Hlns.png,2057,1636.0,264.0,260.0,230.0,202.0,162
4226776-BrVZ.png,1922,1503.0,728.0,718.0,676.0,608.0,548
3475024-Gpth.png,1881,1461.0,448.0,434.0,382.0,356.0,280
27188896-k8Qu.png,7353,6924.0,598.0,570.0,480.0,372.0,262
2254756-wZE5.png,3741,3321.0,458.0,432.0,360.0,286.0,208
3848270-4m7v.png,2582,2161.0,562.0,542.0,464.0,384.0,302
158554-BqZR.png,16154,15715.0,442.0,418.0,350.0,278.0,206
956059-FbeM.png,1895,1476.0,278.0,260.0,224.0,186.0,138
8662574-oBhq.png,4802,4383.0,678.0,638.0,540.0,402.0,286
7941280-WDfe.png,3564,3134.0,540.0,506.0,434.0,326.0,236
12492339-me0e.png,2169,1749.0,406.0,394.0,344.0,270.0,196
12465059-3uZm.png,4083,3655.0,628.0,606.0,492.0,374.0,250
12153534-7B5M.png,4429,4001.0,582.0,558.0,456.0,372.0,262
1605692-6as2.png,4115,3687.0,828.0,796.0,674.0,530.0,380
6751500-CcR5.png,1542,1123.0,196.0,188.0,172.0,144.0,108
17642382-iWJQ.png,4684,4256.0,816.0,786.0,652.0,504.0,336
13188116-s7y7.png,4166,3737.0,568.0,538.0,454.0,354.0,254
253061-OOwl.png,2288,1868.0,352.0,336.0,284.0,220.0,168
7735421-CpGg.png,4661,4232.0,608.0,582.0,484.0,372.0,262
30420248-rB0p.png,388231,387384.0,,,,,
2276505-JSuG.png,4684,4264.0,778.0,736.0,618.0,500.0,344
3813983-vnEL.png,3824,3405.0,1248.0,1210.0,1086.0,972.0,830
5333850-XFOs.png,3827,3406.0,550.0,524.0,442.0,354.0,240
3827955-0zO0.png,4017,3596.0,764.0,726.0,614.0,482.0,340
19756706-97A7.png,1804,1384.0,608.0,598.0,574.0,540.0,492
13988357-YTcP.png,4955,4536.0,568.0,544.0,450.0,344.0,238
3072524-K79G.png,4151,3732.0,608.0,576.0,484.0,392.0,276
3945538-BkFE.png,4017,3596.0,598.0,568.0,478.0,394.0,264
466909-whLR.png,1243,825.0,138.0,134.0,116.0,102.0,80
3475354-YuAd.png,2402,1980.0,880.0,856.0,792.0,728.0,628
21639100-Vi67.png,9049,8620.0,700.0,674.0,574.0,438.0,300
1-min-1_46421669.jpg,99367,98831.0,58204.0,54040.0,40232.0,28496.0,17648
2-min-1_46421711.jpg,101448,100909.0,85574.0,79060.0,62140.0,43414.0,23278
tr?id=1508275579478794&ev=PageView&noscript=1,409,44.0,72.0,72.0,72.0,72.0,72
b51b73c5dc965960d789d4616c9372e5.svg,1079,1992.0,,,,,
088e69e04b7f0a2441382b98d3ed59e6.svg,683,176.0,,,,,
9b3a3c9ab29acf52400dd24fae2fd573.svg,689,183.0,,,,,
c11660ffa491b6ffed0dc5a5a3876e51.svg,700,192.0,,,,,
4049f977864a71473f2643ac44771ff8.svg,3028,7279.0,,,,,
vallon-pharmaceuticals.svg,906,516.0,,,,,
advanced-micro-devices.svg,838,449.0,,,,,
twitter.svg,1034,635.0,,,,,
me5HWes3_mid.webp,20398,19950.0,,,,,
collect?v=1&_v=j96&aip=1&a=829614183&t=pageview&_s=1&dl=https%3A%2F%2Fwww.tradingview.com%2F&ul=en-us&de=UTF-8&dt=TradingView%20%E2%80%93%20Track%20All%20Markets&sd=24-bit&sr=360x640&vp=360x640&je=0&_,55,35.0,72.0,72.0,72.0,72.0,72
vajmfSig_mid.webp,25637,25190.0,,,,,
pageTransferSize,2927324,,,,,,
totalByteWeight,6891256,,,,,,
