img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.trendyol.com/,1034,0.0,,,,,
trendyol-logo.svg,4045,8894.0,,,,,
tr.svg,645,304.0,,,,,
de.svg,572,186.0,,,,,
at.svg,561,154.0,,,,,
be.svg,566,182.0,,,,,
bg.svg,581,201.0,,,,,
hr.svg,34980,80992.0,,,,,
cz.svg,587,210.0,,,,,
dk.svg,586,165.0,,,,,
ee.svg,582,192.0,,,,,
fi.svg,571,206.0,,,,,
fr.svg,568,194.0,,,,,
gr.svg,617,231.0,,,,,
hu.svg,577,201.0,,,,,
ie.svg,575,204.0,,,,,
it.svg,583,202.0,,,,,
lv.svg,564,155.0,,,,,
lt.svg,569,201.0,,,,,
mt.svg,7168,14940.0,,,,,
nl.svg,577,200.0,,,,,
pl.svg,568,164.0,,,,,
pt.svg,5668,11196.0,,,,,
ro.svg,582,203.0,,,,,
sk.svg,1401,1885.0,,,,,
si.svg,1485,2424.0,,,,,
es.svg,18604,50468.0,,,,,
se.svg,583,160.0,,,,,
gb.svg,745,553.0,,,,,
lu.svg,572,202.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-13174585-55&cid=1647789957.1650659995&jid=1432443847&_u=YEBAAEAAAAAAAC~&z=1033038896,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-13174585-55&cid=1647789957.1650659995&jid=1432443847&_u=YEBAAEAAAAAAAC~&z=1033038896,501,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,443111,,,,,,
totalByteWeight,1368485,,,,,,
