img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.usnews.com/,95612,672355.0,,,,,
usn-logo-large.svg,4066,8735.0,,,,,
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F09%2F1b%2F9e6dd6e245be8be183598f6ed6e8%2Fap22096837642665.jpg,13573,13350.0,6402.0,6048.0,4774.0,3654.0,2394
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F05%2F0b%2F7e55b21e4ba0b25848a92d308108%2Fgettyimages-1237816398.jpg,16363,16132.0,10704.0,10146.0,8180.0,6298.0,4046
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F60%2Fcd%2Fbe040468422c80d79e6c4f91d7dc%2Fgettyimages-1318708526.jpg,17022,16791.0,9042.0,8562.0,6668.0,4900.0,3088
badge-best-gold.svg,4406,10852.0,,,,,
360-badge.svg,9762,23432.0,,,,,
?url=http%3A%2F%2Fmedia.beam.usnews.com%2Fe0%2F83%2Fc29f18f24cdb85fde3a89796353c%2Fgettyimages-1390671489.jpg,45480,45177.0,10542.0,9810.0,7508.0,5636.0,3728
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F72%2F8a%2F97d2ad1d472fb8c01b0c7ae6a328%2Fap22111519181312.jpg,2973,2779.0,1636.0,1536.0,1244.0,938.0,622
?url=http%3A%2F%2Fmedia.beam.usnews.com%2Fa3%2F9c%2F916a9c684833aa1bf009a6faab3c%2Fgettyimages-1378373059.jpg,3301,3108.0,1990.0,1896.0,1610.0,1240.0,862
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F1a%2F01%2F8f834f5b42ed9c4ffb4a5eab9c1b%2Fap22103691995208.jpg,3611,3408.0,2138.0,2026.0,1664.0,1274.0,844
?url=http%3A%2F%2Fmedia.beam.usnews.com%2Fca%2Fd3%2Fe7091cba4e7589eed590f07387e0%2Fap22110801759266.jpg,3069,2875.0,,,,,
b2?c1=2&c2=11307981&ns__t=1650669272375&ns_c=UTF-8&c8=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C%20Education%2C%20Healthcare%20and%20More&c7=https%3,189,0.0,,,,,
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=2&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=3&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=4&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=5&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=6&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=7&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=8&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=9&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2C,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=10&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F82%2Fba%2Fe4e8427d41728477501a2aae1537%2Fgettyimages-1234063506.jpg,2945,2751.0,,,,,
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F22%2Faf%2F1736df2d41229108498762abd190%2Fgettyimages-1334734768.jpg,3766,3554.0,,,,,
?url=http%3A%2F%2Fmedia.beam.usnews.com%2Fe5%2F72%2F6d243c3a47eb91ca366d5cdec3c4%2Fimg-2170.jpg,3189,2995.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-8279968-12&cid=1213008007.1650669273&jid=1601791037&_u=6GDACUABBAAAAC~&z=2051046806,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-8279968-12&cid=1213008007.1650669273&jid=1601791037&_u=6GDACUABBAAAAC~&z=2051046806,501,42.0,72.0,72.0,72.0,72.0,72
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F2c%2Fe8%2Fa2719b7e46dfb81da962e7a18eb6%2Fgettyimages-1069959276.jpg,3579,3367.0,,,,,
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=11&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=12&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=13&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=14&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=15&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=16&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=17&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=18&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=19&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=20&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=21&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=2053731006&t=event&ni=1&_s=22&dl=https%3A%2F%2Fwww.usnews.com%2F&ul=en-us&de=UTF-8&dt=U.S.%20News%20%26%20World%20Report%3A%20News%2C%20Rankings%20and%20Analysis%20on%20Politics%2,55,35.0,44.0,44.0,44.0,44.0,44
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F26%2F25%2F88db97804fa09a67f73d0364a2d7%2Fgettyimages-1240093171.jpg,2210,2016.0,,,,,
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F5d%2Ff6%2Fc5e8c8b043c8a988d6633fbe92f9%2F210412-nyu-stock.jpg,3101,2898.0,,,,,
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F3d%2Fa8%2F896b9897496b807e8c5d184f7e4f%2Fgettyimages-1313422130.jpg,3531,3319.0,,,,,
ecm3?ex=openx.com&id=864d16a8-09b8-8681-9273-c45d16171d87,0,0.0,72.0,72.0,72.0,72.0,72
p-25CIknq_eSg16.gif?idmatch=0&gdpr=0,0,0.0,44.0,44.0,44.0,44.0,44
match?party=22,0,0.0,44.0,44.0,44.0,44.0,44
openx?oxid=de9b6ad5-1512-3d7b-527d-46ca7e24d667&gdpr=0,0,0.0,44.0,44.0,44.0,44.0,44
pixel?google_nid=openx&google_hm=ZjJmNGI5MWYtZGM2NS02M2RmLTQ3OWQtMWM3M2I0YzYxODA3,0,0.0,88.0,88.0,88.0,84.0,80
pixel?google_nid=openx&google_cm&google_sc,0,0.0,88.0,88.0,88.0,84.0,80
?url=http%3A%2F%2Fmedia.beam.usnews.com%2F4c%2Fd0%2Fce2e372149c18c63bffb0ea604f6%2Fgettyimages-1300580116.jpg,3762,3559.0,,,,,
15289103696715355023?,12925,12347.0,3956.0,3876.0,3402.0,2910.0,2214
4a5c0c91-85be-af32-63aa-503f81731b2e?gdpr=0,991,43.0,72.0,72.0,72.0,72.0,72
4a5c0c91-85be-af32-63aa-503f81731b2e?gdpr=0,988,43.0,72.0,72.0,72.0,72.0,72
sd?id=537072399&val=9160175283257552888,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537072399&val=9160175283257552888,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537073061&val=7111447786132490223&gdpr=0&gdpr_consent=&us_privacy=,180,43.0,44.0,44.0,44.0,44.0,44
dds?ox_sc=1&ox_init=1,64,43.0,44.0,44.0,44.0,44.0,44
sd?id=537073061&val=3955750454073903087&gdpr=0&gdpr_consent=&us_privacy=,106,43.0,44.0,44.0,44.0,44.0,44
sd?id=537148856&val=YmM23QAKcaR2-gA-&_test=YmM23QAKcaR2-gA-,61,43.0,44.0,44.0,44.0,44.0,44
dds?ox_sc=1&ox_init=1,64,43.0,44.0,44.0,44.0,44.0,44
sd?id=536872786&val=908b6263-36de-4000-ab85-be43ad8d3322,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537072979&val=CeWYamHZ1NI2u25,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537148856&val=YmM23gAWjiJM5QAy&_test=YmM23gAWjiJM5QAy,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537072979&val=IGeOQ1eT1NI2u25,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=536872786&val=a0036263-36de-4700-a181-5ad76e092388,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537072998&rtb=7GPoEAlsTSabMUbXnXUaYMYX,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537072998&rtb=7GPoEAlsTgMVVnWbSTaXYaTY,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537072968&val=9fd056d3-0b7f-4fa5-b693-27cd00edd1f3&gdpr=&gdpr_consent=,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537125688&val=AAA-gE7Exm4AADsTb5R_dA,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537125688&val=AAA-gE7Exm4AADsTb5R_dA,61,43.0,44.0,44.0,44.0,44.0,44
sd?id=537072968&val=9fd056d3-0b7f-4fa5-b693-27cd00edd1f3&gdpr=&gdpr_consent=,61,43.0,44.0,44.0,44.0,44.0,44
pageTransferSize,2048810,,,,,,
totalByteWeight,8754480,,,,,,
