img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.uzone.id/,12398,61365.0,,,,,
Logo%403x.png,15216,14970.0,5724.0,5660.0,5426.0,5212.0,4914
400,11208,10976.0,3924.0,3670.0,2980.0,2166.0,1548
400,17435,17193.0,8276.0,7792.0,6066.0,4640.0,3164
400,9932,9701.0,14600.0,13848.0,11238.0,8478.0,5704
400,11878,11645.0,3924.0,3670.0,2980.0,2166.0,1548
400,6719,6497.0,3924.0,3670.0,2980.0,2166.0,1548
trending.png,12422,12177.0,,,,,
popular.png,6669,6434.0,,,,,
video.png,6535,6300.0,,,,,
editorial.png,6470,6235.0,,,,,
news.png,7206,6971.0,,,,,
300,8517,8288.0,8140.0,7668.0,6092.0,4444.0,2676
Property%201%3Dgadget.png,1421,1187.0,502.0,498.0,482.0,462.0,446
Property%201%3DAuto.png,1618,1384.0,552.0,536.0,520.0,490.0,452
Property%201%3DTelco.png,1557,1323.0,516.0,514.0,490.0,466.0,438
Property%201%3DStartUp.png,1578,1344.0,588.0,580.0,554.0,514.0,468
Property%201%3DDigilife.png,1258,1024.0,568.0,566.0,534.0,508.0,470
gl.png,5710,5475.0,512.0,498.0,430.0,332.0,240
background-trending.gif,4628,4393.0,1510.0,1474.0,1380.0,1294.0,1250
hBm1akKd60bm&jsv=20130128&user_lang=en-US,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
300,4556,4334.0,8448.0,8058.0,6552.0,4964.0,3096
300,8426,8194.0,3146.0,2960.0,2418.0,1816.0,1224
300,83747,83435.0,10506.0,10014.0,8308.0,6382.0,4192
300,8327,8105.0,8448.0,8058.0,6552.0,4964.0,3096
collect?v=1&_v=j96&aip=1&a=922825339&t=pageview&_s=1&dl=https%3A%2F%2Fwww.uzone.id%2F&ul=en-us&de=UTF-8&dt=Uzone%20-%20Informasi%20Teknologi%20Terkini&sd=24-bit&sr=360x640&vp=360x640&je=0&_u=YCDAgEABA,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=922825339&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.uzone.id%2F&ul=en-us&de=UTF-8&dt=Uzone%20-%20Informasi%20Teknologi%20Terkini&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Scroll%20Trac,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-64122943-4&cid=1937706074.1650705180&jid=970878617&_u=YADAAEAAAAAAAC~&z=1931195302,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-64122943-4&cid=1937706074.1650705180&jid=970878617&_u=YADAAEAAAAAAAC~&z=1931195302,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-64122943-4&cid=1937706074.1650705180&jid=444706634&_u=YCDAgEABAAAAAG~&z=155529421,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-64122943-4&cid=1937706074.1650705180&jid=444706634&_u=YCDAgEABAAAAAG~&z=155529421,107,42.0,72.0,72.0,72.0,72.0,72
l?ebcid=ALh7CaTG9KAh2WT3WJJE3Yc85oUqVt6MdpRHfZA05Jb6pSQPCfYbVIRYwP_QGDcHlQxJsNMoyRavn6kC5p-dPnHlLoMrg-WbbA,0,0.0,,,,,
l?ebcid=ALh7CaQDSH69PXGQN1UFE192YctePWGbMTHtwGSjiBet49mAyyF1gF9iB4kT3TLciMpuVbCHS0T7V_8V4xCNV-cPRDWKJyOG9Q,0,0.0,,,,,
WECbAwKj_P4GYzCdJhkmXcSlRsaHPaHE0jbW1YLauHJwMkWYjlG74te8tNX43TELZbw6x1Ww1A=w158-h158-rw-v1,0,0.0,3406.0,3314.0,3158.0,2798.0,2060
google_play_icon_grey_o54.svg,0,0.0,,,,,
l?ebcid=ALh7CaRCOymk_MIPR-o8WT5jGSai7WyEiXmHUBfgUtpwogINLdYXLxTNc3ASmZH1qdfeUr_UT1g7CF_pml6JCTvaXVND9fG2AQ,0,0.0,,,,,
l?ebcid=ALh7CaQSr96rdl03M-V62HxjRGVPJD_-ClPL4zsMTjur7ESi1bgQD3U0OUg9Lkf9ZZn9CfSqLN3FmkwNAS3CaFOCKiIIaB9FNA,0,0.0,,,,,
l?ebcid=ALh7CaTOJGTtsHIudCqrefbGticQ9izsMVGfUaAtQKqpbXMP6xlSx2aqALwS77XkLAMqfJkb7sho2hDLp-l36536XFoYdaVZAg,0,0.0,,,,,
l?ebcid=ALh7CaTrxdODeVsD4QbwqksHNavMK5xIFWZbkNjqYIQg6Vr2LcO8aJBd8Fw3tZ8ykzyWNyEb1XGIbPOddOfdgLquG_qPUEVWlQ,0,0.0,,,,,
7274347697609224913,40516,40147.0,8810.0,8450.0,7106.0,5584.0,3764
pageTransferSize,1301869,,,,,,
totalByteWeight,3186257,,,,,,
