img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.visualstudio.com/,463,0.0,,,,,
RE1Mu3b?ver=5c31,4391,4054.0,1952.0,1954.0,1932.0,1898.0,1852
BrandVisualStudioWin2019-2.svg,1985,3099.0,,,,,
VSforMacIcon2019-2.svg,1747,2754.0,,,,,
vs-code-responsive-01-1.png,4855,4313.0,1888.0,1846.0,1690.0,1500.0,1310
Product-Icon.svg,2944,9029.0,,,,,
Windows.svg,784,280.0,,,,,
apple_logo.svg,1017,743.0,,,,,
Linux.svg,6429,14473.0,,,,,
VS-25_Carousel_cut.png,1538735,1534805.0,62398.0,56822.0,41208.0,29366.0,19168
vswin-carousel@2x.png,737106,734950.0,10618.0,10434.0,9476.0,8630.0,7918
vsmac-carousel@2x.png,2078296,2073179.0,48828.0,48512.0,47854.0,47330.0,46498
forza.png,2882890,2875999.0,69760.0,65470.0,50822.0,37404.0,24558
vscom-img-placeholder.png,15539,14978.0,44.0,44.0,44.0,44.0,44
GE.png,21836,21257.0,6292.0,6204.0,5960.0,5674.0,5430
Chipotle.png,13996,13435.0,2980.0,2896.0,2554.0,2120.0,1688
Alaska.png,26032,25435.0,6276.0,6144.0,5736.0,5288.0,4776
SoccerTeamLogo.png,13447,12886.0,3100.0,3046.0,2734.0,2356.0,1976
GoDaddy.png,23641,23062.0,6462.0,6302.0,5862.0,5444.0,5060
TalentClound_HighContrastMode_2.png,18328,17758.0,2520.0,2426.0,2048.0,1608.0,1176
Water-Is-Life.png,13805,13244.0,3784.0,3760.0,3576.0,3430.0,3292
MoienTajikPhoto.svg,13455,17607.0,,,,,
TomMilostnyPhoto.svg,29267,38259.0,,,,,
IntelliCode.svg,39556,52173.0,,,,,
MarcoWiedemeyerPhoto.svg,25032,32675.0,,,,,
MicrosoftLogo.svg,900,740.0,,,,,
MicrosoftVisualStudio.svg,239602,321334.0,,,,,
RasmusWulffJensenPhoto.svg,25246,32979.0,,,,,
Intersect.svg,14914,19307.0,,,,,
microsoft-visual-studio-bg.jpg,154358,153488.0,5724.0,5682.0,5762.0,5928.0,5224
TBASpeaker.svg,1799,2530.0,,,,,
edit-outline.svg,1282,1565.0,,,,,
HomePageHero2.png,355421,354102.0,86864.0,86326.0,84948.0,83284.0,81942
BG-1.png,125506,124701.0,1954.0,1896.0,1754.0,1606.0,1486
79c4587260504799a892b837b8edf476,3302,2681.0,968.0,934.0,790.0,606.0,412
Capture-1-150x150.png,33315,32751.0,2758.0,2628.0,2092.0,1646.0,1056
devblog-brand-visualstudiowin2019.png,14873,14354.0,2472.0,2340.0,1976.0,1608.0,1240
pfp-2-96x96.jpg,3625,3134.0,1890.0,1760.0,1450.0,1114.0,736
TRF-150x150.jpg,8785,8275.0,4608.0,4320.0,3404.0,2440.0,1458
Subscriptions.svg,1576,2608.0,,,,,
pageTransferSize,9401657,,,,,,
totalByteWeight,12066685,,,,,,
