,Website,Total Img Count,Optimized Img Count,Actual Bytes,Transferred Bytes,q-75,q-70,q-50,q-30,q-10
0,giphy.com,37.0,30.0,4706283.0,1476821.0,1408133.0,1406947.0,1402803.0,1396515.0,1389627.0
1,google.ch,20.0,4.0,1502663.0,523415.0,521763.0,521647.0,521135.0,518739.0,511801.0
2,rambler.ru,105.0,105.0,5429527.0,2409534.0,2217563.0,2215501.0,2206071.0,2186515.0,2139497.0
3,wellsfargo.com,25.0,24.0,1779729.0,839517.0,744344.0,736036.0,708930.0,679396.0,648974.0
4,visualstudio.com,39.0,22.0,12066685.0,9401657.0,1643715.0,1631321.0,1593247.0,1559899.0,1527875.0
5,nextdoor.com,34.0,28.0,11004461.0,2972321.0,2832841.0,2832841.0,2832841.0,2832841.0,2832841.0
6,grammarly.com,43.0,31.0,4536949.0,1902669.0,1887151.0,1886997.0,1879470.0,1799162.0,1713180.0
7,harvard.edu,34.0,29.0,7268104.0,4864863.0,3632163.0,3462883.0,2940387.0,2628995.0,2202963.0
8,onlinesbi.sbi,31.0,28.0,2748869.0,2430833.0,629767.0,609667.0,539093.0,456599.0,366877.0
9,ynet.co.il,48.0,42.0,9613329.0,3702722.0,3180306.0,3167976.0,3128186.0,3086144.0,3041054.0
10,nate.com,73.0,71.0,2163237.0,954162.0,611676.0,604094.0,577508.0,551050.0,522415.0
11,aparat.com,14.0,13.0,6346012.0,2379526.0,2007756.0,2005168.0,1996500.0,1987430.0,1977168.0
12,mynet.com,132.0,111.0,5414853.0,3580675.0,3211400.0,3111898.0,2708630.0,2234779.0,1835333.0
13,tutorialspoint.com,35.0,20.0,3908029.0,2425680.0,1137067.0,1130635.0,1108235.0,1084011.0,1058141.0
14,constantcontact.com,39.0,24.0,6863911.0,2365011.0,1654232.0,1650574.0,1637802.0,1624716.0,1609826.0
15,as.com,49.0,30.0,7554185.0,2665174.0,2269751.0,2248457.0,2172325.0,2099993.0,2024567.0
16,a8.net,76.0,49.0,2376366.0,2037235.0,871467.0,853085.0,793191.0,724175.0,646129.0
