img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.1688.com/,152,0.0,,,,,
O1CN014foAT41FUSlw6McS7_!!6000000000490-2-tps-168-168.png,14721,14275.0,2162.0,2102.0,1932.0,1736.0,1538
O1CN01azrs031GG5w6SNhBn_!!6000000000594-2-tps-168-168.png,12285,11900.0,1946.0,1900.0,1730.0,1494.0,1330
O1CN01MDxe981r4lx0SDEnQ_!!6000000005578-2-tps-336-336.png,77656,77325.0,6984.0,6780.0,6236.0,5460.0,4678
TB18z9JgfzO3e4jSZFxXXaP_FXa-168-168.png,2721,2409.0,1564.0,1482.0,1302.0,1044.0,820
O1CN010hDZ4B1z1a5w9Zl4G_!!6000000006654-2-tps-168-168.png,7437,7219.0,2500.0,2382.0,2036.0,1582.0,1138
1688-CBU.FE.TRACKER?gmkey=EXP&gokey=expdata%3D%5B%7B%22exargs%22%3A%7B%22type%22%3A%22component%22%2C%22tracker%22%3A%22%40ali%2Fcmod-astar-waterfall-flow-tuipin%22%2C%22expo_data%22%3A%22__track_uuid,293,43.0,72.0,72.0,72.0,72.0,72
1688-CBU.FE.TRACKER?gmkey=EXP&gokey=expdata%3D%5B%7B%22exargs%22%3A%7B%22type%22%3A%22offer%22%2C%22expo_data%22%3A%22impression_eurl%40https%3A%2F%2Fdj.1688.com%2Fci_bb%3Fa%3D664115959%26e%3DFVydHnDn,124,43.0,72.0,72.0,72.0,72.0,72
TB1XBTZLxjaK1RjSZKzXXXVwXXa-1500-160.png_.webp,21426,21070.0,20894.0,20612.0,18574.0,11762.0,7714
TB1DlP.rCzqK1RjSZFjXXblCFXa-849-150.png,7658,7351.0,13212.0,12884.0,11540.0,10350.0,8810
TB1lTP.rCzqK1RjSZFjXXblCFXa-1071-72.png_.webp,16931,16608.0,9270.0,8942.0,8194.0,7068.0,6158
TB1YYQprCzqK1RjSZFHXXb3CpXa-105-105.png_.webp,2264,1960.0,1374.0,1358.0,1256.0,1158.0,1108
