img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.aastocks.com/,77,0.0,,,,,
AATV_logo.png?v=1.2.5,0,0.0,634.0,630.0,628.0,626.0,626
20220422173846224.jpg?t=20220422174221,0,0.0,26890.0,25390.0,20830.0,16174.0,10882
pg5_s.png?ver=20220218112145,0,0.0,4498.0,4404.0,4044.0,3636.0,3192
icon_video.png,0,0.0,600.0,586.0,524.0,460.0,384
20220422134643965.jpg?t=20220422134952,0,0.0,26020.0,24668.0,20262.0,15470.0,10204
pg8_s.png?ver=20190315143910,0,0.0,3956.0,3888.0,3564.0,3194.0,2768
20220421174130984.jpg?t=20220421174357,0,0.0,26030.0,24684.0,20216.0,15768.0,10606
20220421134656694.jpg?t=20220421135520,0,0.0,32984.0,31108.0,25676.0,19770.0,13314
20220421112502201.jpg?t=20220421112854,0,0.0,19048.0,17860.0,14584.0,10932.0,7260
pg13_s.png?ver=20210812100810,0,0.0,4762.0,4666.0,4420.0,4132.0,3760
20220420181755720.jpg?t=20220420182105,0,0.0,49990.0,47090.0,37920.0,28562.0,17888
20220420155200281.jpg?t=20220420155725,0,0.0,25696.0,24228.0,19664.0,14942.0,9608
pg29_s.png?ver=20210226135312,0,0.0,5808.0,5686.0,5238.0,4702.0,4068
20220420140951407.jpg?t=20220420141316,0,0.0,24348.0,23100.0,19130.0,15002.0,10278
20220420122629014.jpg?t=20220420122857,0,0.0,19804.0,18596.0,14752.0,10770.0,6790
pg21_s.png?ver=20200205135523,0,0.0,3034.0,2956.0,2768.0,2490.0,2172
20220419172247784.jpg?t=20220419172826,0,0.0,29490.0,28050.0,21824.0,16760.0,11096
20220419133722923.jpg?t=20220419134409,0,0.0,39108.0,36636.0,30262.0,23302.0,15390
northbound_open_chi.png,0,0.0,6506.0,6204.0,5164.0,3896.0,2562
southbound_open_chi.png,0,0.0,6004.0,5688.0,4730.0,3584.0,2334
stockconect_active_chi.png,0,0.0,2818.0,2712.0,2438.0,2064.0,1680
icon_vote.png,0,0.0,618.0,596.0,548.0,482.0,412
bar-blue.png,0,0.0,292.0,292.0,290.0,292.0,290
bar-grey.png,0,0.0,294.0,294.0,290.0,286.0,288
icon_comm.jpg,0,0.0,384.0,370.0,316.0,254.0,180
icon_preferred_news.png,0,0.0,324.0,322.0,322.0,320.0,318
commentator_photo_chi_3.jpg,0,0.0,670.0,640.0,524.0,418.0,296
icon_ed.jpg,0,0.0,336.0,310.0,260.0,218.0,174
BMPFutures.aspx,0,0.0,1286.0,1242.0,980.0,746.0,454
20220308164213843.jpg?t=20220308164422,0,0.0,22888.0,21536.0,17500.0,13534.0,9140
icon_video.png,0,0.0,600.0,586.0,524.0,460.0,384
20210423161949354.jpg?t=20210426083000,0,0.0,13642.0,12996.0,10732.0,7950.0,5336
icon-logo.png,29992,29720.0,18616.0,18324.0,17442.0,16468.0,15330
icon-mobile.png,2904,2633.0,802.0,802.0,800.0,798.0,798
icon-desktop.png,2203,1932.0,468.0,468.0,466.0,464.0,466
__utm.gif?utmwv=4.8.9&utmn=2131256777&utmhn=www.aastocks.com&utmcs=UTF-8&utmsr=360x640&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmhid=1929829139&utmr=0&utmp=%2Ftc%2Fmobile%2Fredirect.aspx&utmac=UA-12,429,35.0,44.0,44.0,44.0,44.0,44
__utm.gif?utmwv=4.8.9&utmn=683757679&utmhn=www.aastocks.com&utmcs=UTF-8&utmsr=360x640&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmhid=1929829139&utmr=0&utmp=%2Ftc%2Fmobile%2Fredirect.aspx&utmac=UA-130,429,35.0,44.0,44.0,44.0,44.0,44
pageTransferSize,809831,,,,,,
totalByteWeight,2585761,,,,,,
