img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.accuweather.com/,30620,148016.0,,,,,
375x450.jpg,18643,18164.0,3266.0,3074.0,2418.0,1868.0,1418
?rand=1650676942936&plid=6674968&idsite=accuweather.com&url=https%3A%2F%2Fwww.accuweather.com%2F&urlref=&screen=360x640%7C360x640%7C24&data=%7B%7D&sid=1&surl=https%3A%2F%2Fwww.accuweather.com%2F&sref=,259,43.0,,,,,
b2?c1=2&c2=6005068&cs_it=b2&cv=3.8.0.210223&ns__t=1650676942818&ns_c=UTF-8&c7=https%3A%2F%2Fwww.accuweather.com%2F&c8=Local%2C%20National%2C%20%26%20Global%20Daily%20Weather%20Forecast%20%7C%20AccuWea,188,0.0,,,,,
icon-gps.svg,651,208.0,,,,,
4.jpg?&imgwidth=768&imgheight=432&base_data=radar&apikey=de13920f574d420984d3080b1fa6132b&language=en,120827,120397.0,,,,,
collect?v=1&_v=j96&a=424514840&t=event&_s=2&dl=https%3A%2F%2Fwww.accuweather.com%2F&ul=en-us&de=UTF-8&dt=Local%2C%20National%2C%20%26%20Global%20Daily%20Weather%20Forecast%20%7C%20AccuWeather&sd=24-bi,55,35.0,44.0,44.0,44.0,44.0,44
worms.png?h=128,33092,32796.0,,,,,
l?ebcid=ALh7CaTV_dqg8yovvVJk3Db3luIciTD_N_nHhrc9NJAXVMylsjmWvrqvy9tG4mGzuMvsBagG2VtvnCidlTL1ne0icctcwTwWIw,0,0.0,,,,,
?id=2939404006384725&ev=PageView&dl=https%3A%2F%2Fwww.accuweather.com%2F&rl=&if=false&ts=1650676945572&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650676945569.1180182693&it=1650676945335&coo=,409,44.0,,,,,
receive?partner_id=1830&partner_device_id=18a14adf-0d21-4d6c-bc90-45aaa53dcede&ttd_puid=96002a22-a50a-4fc9-82d7-1b6c80988993,612,95.0,,,,,
gen_204?id=adsense_fc_has_namespace_but_no_iframes&publisherId=ca-pub-5771594739411148&eid=44759876%2C44759927%2C44759842%2C31067204%2C31066185%2C21067496,20,0.0,,,,,
gen_204?id=adsense_fc_has_namespace_but_no_iframes&publisherId=ca-pub-5771594739411148&eid=44759876%2C44759927%2C44759842%2C31067204%2C31066185%2C21067496,20,0.0,,,,,
?id=2939404006384725&ev=Microdata&dl=https%3A%2F%2Fwww.accuweather.com%2F&rl=&if=false&ts=1650676947104&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22%22%7D&cd[OpenGraph]=%7B%7D&cd[Schema.org]=%5B,91,44.0,,,,,
l?ebcid=ALh7CaTEC1KT5Uhn10Bcd1rn4_KaouVtYuCS-z_1d-ZfrB0IK9xJlIXgAaZdIjrND-XQzWOWVU0WL44bK1TY48ot2Sa-4XgBWQ,0,0.0,,,,,
?google_gid=CAESEOoe5NtR_YrexCeRdnDPCGY&google_cver=1&google_push=AYg5qPLBKPRliV1-rIHQbna4QulqaP9LjyDm7yarAX0Shzw_TrOIWEjWjZ1udzp5o-qXaS_w8ZkXmhklWO9CmHcpQ57KpYyEc49UzA,44,0.0,,,,,
attr?d=AHNF13Lt_mGwrIBMdr4qBSE34quJUHdncy2Kr7YuI_YbVd8k6Bar95g3dF3BFDA-UhLG7L_qMrVy,232,0.0,,,,,
