img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.addthis.com/,10360,42350.0,,,,,
google.svg,853,1147.0,,,,,
Facebook.svg,671,724.0,,,,,
watch-video.svg,10332,26602.0,,,,,
logo.svg,1796,3917.0,72.0,72.0,72.0,72.0,72
log?domain=addthis.com&country=pk&state=&behavior=implied&c=d92e,440,43.0,72.0,72.0,72.0,72.0,72
sync?v=true&cid=78d1fd85-d4f9-4cf9-8329-178ba573b364,123,35.0,,,,,
s27979853654597?AQB=1&pccr=true&vidn=3131D7A90A878B55-6000151A0D233DB7&ndh=1&pf=1&t=23%2F3%2F2022%2012%3A48%3A34%206%20-300&fid=0413FB450011E988-0A5B48D5F09AC0EF&ce=UTF-8&ns=oracle&pageName=addthis%3A,358,43.0,,,,,
rubicon?gdpr=0,597,70.0,,,,,
video-preview.png,256772,271735.0,22152.0,21278.0,18274.0,14622.0,10810
play-button.svg,454,246.0,,,,,
cms.svg,2657,5523.0,,,,,
ecom-ready.svg,1635,4420.0,,,,,
pageTransferSize,826093,,,,,,
totalByteWeight,2043652,,,,,,
