img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.agah.com/,11753,41706.0,,,,,
onlinee.png,41571,41448.0,17808.0,17066.0,13796.0,10528.0,6832
club.png,22914,22826.0,9592.0,9016.0,7456.0,5966.0,4414
signUp.png,97481,97357.0,,,,,
hamfekran.png,53148,53042.0,29884.0,28190.0,23260.0,18070.0,11714
avagoldd.png,65002,64896.0,29330.0,27360.0,21782.0,16340.0,10728
mobile.png,19186,19099.0,12702.0,12198.0,10424.0,8634.0,6250
mobile-ios.png,62990,62922.0,,,,,
p1.gif,3148,3062.0,680.0,642.0,558.0,440.0,328
p2.gif,3609,3545.0,686.0,658.0,546.0,428.0,316
p3.gif,2276,2186.0,434.0,420.0,360.0,286.0,210
p4.gif,3248,3207.0,508.0,490.0,422.0,338.0,256
p5.gif,3495,3454.0,816.0,784.0,670.0,540.0,394
p6.gif,3565,3482.0,712.0,682.0,564.0,424.0,282
p7.gif,2793,2753.0,772.0,752.0,664.0,542.0,414
p8.gif,4113,4035.0,924.0,874.0,746.0,568.0,398
p9.gif,3712,3672.0,960.0,914.0,758.0,586.0,410
logo.aspx?id=59446&Code=ucnOe5rvFtWMNuCWW5oh,373,82.0,44.0,44.0,44.0,44.0,44
AgahLogo.png,13128,13048.0,12074.0,12066.0,11886.0,11764.0,11548
bg.jpg,57472,57357.0,13688.0,12448.0,9524.0,6920.0,4380
fpbg1.png,40121,40062.0,,,,,
attach.jpg,20936,20847.0,9744.0,9130.0,7400.0,5690.0,4124
theme.jpg,166179,166010.0,116614.0,110732.0,85906.0,61530.0,35640
part1.png,23064,23014.0,17256.0,16436.0,13582.0,10636.0,7436
bottom.svg,1600,1509.0,,,,,
part2.png,22039,21989.0,14490.0,13762.0,11636.0,9222.0,6616
part4.png,13217,13138.0,6856.0,6544.0,5600.0,4324.0,3026
AgahCompany.jpg,124659,124554.0,52230.0,49268.0,37336.0,27162.0,17890
list.svg,7710,7633.0,,,,,
phone.svg,5236,5196.0,,,,,
MapIran.png,30367,30278.0,35906.0,34844.0,30668.0,25490.0,19858
GetCaptcha?1650677739615,4876,4742.0,4448.0,4298.0,3754.0,3142.0,2226
1367522-m.jpg,5712,5474.0,1514.0,1416.0,1220.0,976.0,732
8798807-6418-b__2005.jpg,67512,67237.0,7666.0,7294.0,6248.0,4848.0,3544
pageTransferSize,1996618,,,,,,
totalByteWeight,3266418,,,,,,
