img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.amazon.de/,131621,399898.0,,,,,
A1PA6795UKMFR9:257-9352112-3727801:ZYVCYK6NVCTZRHPNJRKA$uedata=s:%2Frd%2Fuedata%3Fstaticb%26id%3DZYVCYK6NVCTZRHPNJRKA:0,149,43.0,,,,,
new-nav-sprite-global-1x_blueheaven-account._CB658093869_.png,10684,10482.0,12142.0,12006.0,11660.0,11198.0,10620
11bSH2i7ktL._SR100100_.jpg,1906,1587.0,770.0,740.0,578.0,472.0,342
f9Cwl2OUDVHGXk8.png,35632,35458.0,63810.0,62096.0,54816.0,46756.0,38174
4v$S50yJcihr-Ec.gif,29048,28875.0,,,,,
qtHWfcnRiXENEya.png,61600,61409.0,30060.0,29236.0,26274.0,22688.0,18056
uedata?ld&v=0.225573.0&id=ZYVCYK6NVCTZRHPNJRKA&sw=360&sh=640&vw=360&vh=640&m=1&sc=ZYVCYK6NVCTZRHPNJRKA&ue=2&bb=756&ns=775&ne=838&cf=850&be=908&fp=804&fcp=804&af=1382&pc=1382&tc=-6098&na_=-6098&ul_=-16,71,71.0,,,,,
A1PA6795UKMFR9:257-9352112-3727801:ZYVCYK6NVCTZRHPNJRKA$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.225573.0%26id%3DZYVCYK6NVCTZRHPNJRKA%26sw%3D360%26sh%3D640%26vw%3D360%26vh%3D640%26m%3D1%26sc%3DZYVCYK6NVCT,149,43.0,,,,,
A1PA6795UKMFR9:257-9352112-3727801:ZYVCYK6NVCTZRHPNJRKA$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.225573.0%26id%3DZYVCYK6NVCTZRHPNJRKA%26sc0%3Dgwm-head-aui-assets%26bb0%3D753%26cf0%3D754%26pc0%3D754%26ld0%,150,43.0,,,,,
51KULWh+gBL._SR412360_.jpg,13360,13029.0,7988.0,7520.0,6268.0,4554.0,3158
71QVBv2vvzL._SR412360_.jpg,21081,20862.0,13126.0,12450.0,10276.0,7724.0,5364
71M3-52XN2L._SR412360_.jpg,10865,10663.0,5946.0,5604.0,4566.0,3478.0,2508
