img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.blogger.com/,1451,0.0,,,,,
jQrLB0S1fjOjqnJ145d0OBbOHHIR9nce1lnjzGL2YCvDK8ocxIZOM6wR3GNJLw=w192,29389,29312.0,9264.0,9084.0,8398.0,7588.0,6722
gz9btiN62BwKFzOWZO-DmTZDlraq172rVXTZ_TQwRDy8hT-VrzOVVfMp1nzupJY=w384,8586,8519.0,6024.0,5876.0,5400.0,4824.0,4314
Y1IHnQ0sM4cWJzRXAPAUA81jkwPmNDEq4nqhjUZN_oYhsyO-_UsuWx20Oy16acE=w128,11978,11887.0,3484.0,3368.0,3096.0,2778.0,2424
WrBvOY07H7-s7HBXAjxwftmhbRC9E6U0jFl-84rniR1UIJVDY4V9El19hkEWtA=w512,6509,6442.0,7336.0,7096.0,6138.0,4902.0,4042
6GftHp2q8zrjTzGG0Xz0zQZYGRh0YuUPyxNwVQLiaLjZboXhWs_TOfTzvxI9DLc=w192,5077,4987.0,4758.0,4602.0,4208.0,3768.0,3282
9LvBDozBm5r8Ys3F3cYH2eFwwQJMo-uDsL-c3dqtmAYfTmF7hiHCNcRHmMZw=w192,4423,4335.0,3954.0,3814.0,3394.0,3010.0,2638
Sp4ZzNq2eI5tylQz9NrBND3-VDG7XcKBr0PXMtqZFjvNywZSXRsOKmeCTxQ8lH4=w192,3937,3904.0,3824.0,3682.0,3334.0,2942.0,2482
qxx_R2lwF9JfNbtMoMyK2x73XezkYruSM6CVrLVpLqZ8CCxiWOdbIn8aR9kjsw=w256,10581,10556.0,6256.0,6042.0,5366.0,4622.0,3906
qfL8w8HhVvq0PI9rsXZbjBc9gDZtNbE8km3C7-2jMje6Fq0WGWV7x2SNiqpK=w768,96803,96766.0,40616.0,38612.0,31608.0,24540.0,15938
V02lmzeK6QFkTNAFssnGgriS6KjgNLl2evPSXHtLdEHiyihTPaVVdpzERZKaiA=w256,42710,42680.0,21434.0,21118.0,19570.0,17786.0,15806
Br6226SyPnl0JKRaetNVksBPrakJrD3MeF_ltH6fydJ9SOpNrja5yLU2m3dAGw=w384,10171,10146.0,11510.0,11058.0,9814.0,8078.0,6542
AwLUKnfIxjqCkWZw7vI3a2g7tqRUZ4Ne-b3KBTX8MikfBILxzL8nZrckfO_G=w384,8001,7976.0,10424.0,10120.0,9042.0,7876.0,6488
lTnzFEVNkSc8tN6TzpIOYtfs0_u9FK3d3xiJUmOm9Ca1nsHS9sKLnzAocQ5kOg=w192,3397,3372.0,3210.0,3088.0,2730.0,2320.0,1906
26eaRZ7AqYQFf7Zt3gBgwxiigJEz-1K4mcrIOb0bA4YjFbDnLQvMVt5VSQ7-=w256,5564,5172.0,6092.0,5940.0,5338.0,4554.0,3890
MPmddYcgxwTm3Iy-Q_vWIyBEbdR_ugBlhQjpIg2eQPC4c1LFn-j7A3-nFawqrA=w256,41990,41960.0,13156.0,12822.0,11744.0,10546.0,9192
