img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.capitalone.com/,86853,735291.0,,,,,
ehp-pa-callout-v2.svg,2573,5666.0,,,,,
checking_icon_extra_space.svg,9020,27088.0,72.0,72.0,72.0,72.0,72
autonavigator_272px---updated.svg,5908,19713.0,,,,,
equalhousing_desktoptablet_logo.jpg,1567,1188.0,702.0,660.0,544.0,448.0,326
fdic-alt.png,7635,7238.0,4982.0,4844.0,4270.0,3666.0,2702
ibs:dpid=411&dpuuid=YmKvAwAAAMYHKQP7,945,42.0,72.0,72.0,72.0,72.0,72
medallia-feedback-icon.svg,1017,817.0,,,,,
dark_background_stripes.gif,342,54.0,72.0,72.0,72.0,72.0,72
mobile-app-icon.png,10597,10313.0,3024.0,2926.0,2664.0,2390.0,2004
rmobile.jpg,47020,46560.0,27534.0,25712.0,20724.0,15612.0,10480
mobile.jpg,32533,32080.0,9178.0,8560.0,6848.0,5148.0,3238
?che=355181674&auid=91422508461413873802029878912001595230&pubsubstamp=ea078fabd7c8bbd93efd44b9a108fd6070ed7bcd,589,43.0,,,,,
tr?id=1930247187256208&ev=PageView&dpo=LDU&dpoco=0&dpost=0&cd[order_id]=91422508461413873802029878912001595230&pubsubstamp=ea078fabd7c8bbd93efd44b9a108fd6070ed7bcd,297,44.0,72.0,72.0,72.0,72.0,72
?che=269374679&type=1025&pubsubstamp=ea078fabd7c8bbd93efd44b9a108fd6070ed7bcd,579,43.0,,,,,
details?id=com.konylabs.capitalone,0,0.0,,,,,
?che=306935796&auid=91422508461413873802029878912001595230&pubsubstamp=ea078fabd7c8bbd93efd44b9a108fd6070ed7bcd,590,43.0,,,,,
rmobile.jpg,53349,52862.0,27534.0,25712.0,20724.0,15612.0,10480
?guid=ON&script=0&value=0&data.pageName=Lipstick&is_vtc=1&random=1712699185&ipr=y,548,42.0,,,,,
?random=1650634502910&cv=9&fst=1650632400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
?random=1650634502910&cv=9&fst=1650632400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
src=806653;type=cofdo0;cat=flood003;ord=2677383911097;gtm=2od4k0;auiddc=*;~oref=https%3A%2F%2Fwww.capitalone.com%2F,107,42.0,72.0,72.0,72.0,72.0,72
src=1330903;type=uscar320;cat=uscar589;ord=8271215554325;gtm=2od4k0;auiddc=*;~oref=https%3A%2F%2Fwww.capitalone.com%2F,107,42.0,72.0,72.0,72.0,72.0,72
src=6361220;type=wwwca0;cat=adser0;ord=5756494141962;gtm=2od4k0;auiddc=*;u1=05DC02167288C6B4163CAD617B362D53;u2=9D4CFC279F13BAEB6ADFAADA76C9C475;~oref=https%3A%2F%2Fwww.capitalone.com%2F,494,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-84753935-1&cid=135512033.1650634503&jid=240528907&_u=4GBAAUAAAAAAAC~&z=64699318,63,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-84753935-1&cid=135512033.1650634503&jid=240528907&_u=4GBAAUAAAAAAAC~&z=64699318,63,42.0,72.0,72.0,72.0,72.0,72
__cool.gif?data=eyJldmVudHMiOiBbCiAgICB7InNlc3Npb25fc2NyZWVuX3NpemUiOiAiMzYweDY0MCIsInNlc3Npb25fZHVhIjogIk1vemlsbGEvNS4wIChMaW51eDsgQW5kcm9pZCA3LjA7IE1vdG8gRyAoNCkpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUws,92,0.0,,,,,
__cool.gif?data=eyJldmVudHMiOiBbCiAgICB7InNlc3Npb25fc2NyZWVuX3NpemUiOiAiMzYweDY0MCIsInNlc3Npb25fZHVhIjogIk1vemlsbGEvNS4wIChMaW51eDsgQW5kcm9pZCA3LjA7IE1vdG8gRyAoNCkpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUws,115,0.0,,,,,
mobile.jpg,18865,18478.0,9864.0,9324.0,7452.0,5610.0,3620
s6830576763960?AQB=1&ndh=1&pf=1&t=22%2F3%2F2022%2018%3A35%3A10%205%20-300&sdid=17C2D8421D1856FE-3F35231D9C7D544D&mid=91422508461413873802029878912001595230&aamlh=3&ce=UTF-8&ns=capitalonefinancial&page,330,43.0,76.0,76.0,76.0,76.0,76
pageTransferSize,1883222,,,,,,
totalByteWeight,5798902,,,,,,
