img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.citi.com/,161888,1000408.0,,,,,
463166.gif?partner_uid=16e0c194-0985-4fb8-88e1-a411c74af491,450,42.0,72.0,72.0,72.0,72.0,72
jamp-spinner-2x.gif,38033,36855.0,21336.0,20642.0,18288.0,15654.0,12574
menu-open.svg,1967,1398.0,,,,,
search.svg,2091,1424.0,,,,,
Citi-futuristic-angles-bg-compressed.jpg,11935,11476.0,4480.0,4286.0,3762.0,3396.0,2962
citilogoredesign.png,2567,1799.0,1020.0,1000.0,920.0,824.0,744
050-location2x.svg,1576,1752.0,,,,,
citiKT.svg,1878,3577.0,,,,,
mail.svg,1243,1737.0,,,,,
savings.svg,2644,4686.0,,,,,
citi_bonus_offers.svg,2195,4404.0,,,,,
calculator.svg,1514,2638.0,,,,,
home.svg,1323,2285.0,,,,,
finDocument.svg,1436,2536.0,,,,,
idea.svg,1430,2475.0,,,,,
line-data.svg,1463,2150.0,,,,,
location-blue.svg,1332,1537.0,,,,,
profile-service.svg,1682,2490.0,,,,,
Wave_Bottom.svg,2914,3021.0,,,,,
Wave_Top_Grey.svg,2338,1892.0,,,,,
memberfdic.png,4362,3594.0,2380.0,2378.0,2378.0,2380.0,2378
EqualHousing.png,2374,1606.0,420.0,420.0,420.0,420.0,420
googlePlay3x.png,25846,25077.0,3324.0,3144.0,2676.0,2140.0,1582
appStore3x.png,20816,20047.0,3342.0,3160.0,2716.0,2180.0,1608
social-media_facebook3x.png,1212,445.0,254.0,254.0,254.0,254.0,254
social-media_twitter3x.png,2045,1277.0,646.0,646.0,644.0,644.0,646
social-media_youtube3x.png,1943,1175.0,648.0,648.0,648.0,650.0,648
320_Citi-PLT3x.png,12331,11562.0,2992.0,2876.0,2534.0,2194.0,1748
1440_Citi-PLT3x.png,28918,28149.0,5000.0,4938.0,4648.0,4192.0,3814
arrow-btn-down-white-sm.png,1399,225.0,148.0,148.0,148.0,148.0,148
perf.rnc?cid=1129&ns=1650649556794&ce=865&cs=361&dc=0&dclee=3994&dcles=3611&di=3470&dl=1089&dle=361&dls=2&fs=1&lee=0&les=0&rede=0&reds=0&reqs=866&resps=1081&respe=1494&scs=480&ues=0&uee=0,106,0.0,,,,,
icon_globe_med-grey2x.svg,1929,3523.0,,,,,
mortage-learning-center1x.png,1596,829.0,574.0,556.0,512.0,460.0,402
Wave_Top.svg,2714,2895.0,,,,,
HP_2464_Hero_20_Lifestyle.png,52699,52133.0,14808.0,14170.0,11816.0,9624.0,7422
ibs:dpid=411&dpuuid=YmLp2wAAAFXNmgP7,945,42.0,72.0,72.0,72.0,72.0,72
citi.action?XP_UID=SY-00Rx1AAHgALOk=223,1650,0.0,,,,,
