img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.cricbuzz.com/,94,0.0,,,,,
cricbuzz-live-match-34-delhi-v-rajasthan-pre-match-show.jpg,2440,2240.0,2542.0,2468.0,2156.0,1878.0,1172
cricbuzz-live-hindi-match-34-delhi-v-rajasthan-pre-match-show.jpg,2112,1912.0,2194.0,2106.0,1852.0,1640.0,934
retro-reels-episode-4-sachin-sharjah-csk-dhoni-love-saga.jpg,1482,1282.0,1460.0,1412.0,1258.0,1094.0,666
unchanged-dc-opt-to-field.jpg,5361,5152.0,2280.0,2232.0,1938.0,1722.0,966
making-sense-of-mumbai-indians-ipl-2022-struggles.jpg,4717,4508.0,1512.0,1420.0,1302.0,1162.0,600
problems-aplenty-for-kkr-as-they-run-into-in-form-gt.jpg,4853,4644.0,1698.0,1628.0,1424.0,1252.0,670
rcb-srh-look-to-sustain-winning-momentum.jpg,2814,2614.0,2336.0,2240.0,1980.0,1714.0,1020
the-finisher-isnt-finished-yet.jpg,4643,4434.0,1516.0,1454.0,1262.0,1102.0,630
kieron-pollard-calls-time-on-international-career.jpg,1646,1446.0,928.0,900.0,818.0,710.0,400
the-stephen-fleming-way.jpg,4693,4484.0,1470.0,1410.0,1278.0,1128.0,610
wasim-khan-appointed-icc-general-manager-of-cricket.jpg,4157,3948.0,852.0,820.0,746.0,630.0,384
need-to-pick-and-choose-formats-to-prolong-career-mustafizur.jpg,3891,3682.0,542.0,530.0,496.0,410.0,230
hasan-ali-stars-with-six-wickets-on-opening-day.jpg,4039,3830.0,720.0,686.0,650.0,540.0,304
cb_logo.svg,2137,3901.0,,,,,
info,326,43.0,72.0,72.0,72.0,72.0,72
b2?c1=2&c2=6036484&ns__t=1650636120768&ns_c=UTF-8&cv=3.5&c8=IPL%202022%20Live%20Cricket%20Score%2C%20Schedule%2C%20Latest%20News%2C%20Stats%20%26amp%3B%20Videos%20-%20Cricbuzz&c7=https%3A%2F%2Fm.cricb,190,0.0,,,,,
cb-plus-sprite_v_1_1_5.png,30187,29895.0,8770.0,8600.0,8116.0,7522.0,6800
cb_sprite_18x18.png,1575,1356.0,2276.0,2210.0,2012.0,1784.0,1460
en_bl.png,3085,2980.0,1774.0,1698.0,1482.0,1260.0,958
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
l?ebcid=ALh7CaQ5_32iLJ8_Y3TGfpNO_dGAHXnXNA_v13tgvbwRL2g611qMXF4OVEYPQmIyzitvq03vc35r,0,0.0,,,,,
adview?ai=CzRkbWrViYpm5IN-hnsEPxsCSCIiFncBp1I6x964P2tkeEAEg_oX-GWDL3LQFoAGD8qKeKMgBCakCOZgM9vX7Nj7gAgCoAwHIAwqqBOkBT9CHzhtDlPdCCEzX0RnQIHLQrRoXCKnG02aCZ0goCQygJ79jzXgv3Wj0P8ErxXx9JvIG5pNw3mFVz7baOM93M,0,0.0,,,,,
downsize_200k_v1?w=200&h=200,3695,3352.0,21814.0,21330.0,19534.0,17150.0,14776
pageTransferSize,536074,,,,,,
totalByteWeight,1473409,,,,,,
