img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.dbs.com.sg/,3485,0.0,,,,,
singaporedollar_flg.png,665,278.0,262.0,260.0,246.0,222.0,202
chineserenminbi(offshore)_flg.png,397,222.0,246.0,242.0,226.0,212.0,196
hongkongdollar_flg.png,404,276.0,280.0,274.0,262.0,238.0,212
indianrupee_flg.png,358,234.0,278.0,270.0,258.0,234.0,214
indonesianrupiah_flg.png,359,184.0,238.0,236.0,232.0,206.0,198
newtaiwandollar_flg.png,398,272.0,264.0,260.0,238.0,218.0,208
dbs_logo.svg,2481,5319.0,,,,,
Splitter-desktop-banner-portraits5.jpg,2190360,2187678.0,378158.0,346700.0,249580.0,167562.0,95964
spacer-v1.gif,416,34.0,72.0,72.0,72.0,72.0,72
Splitter_DBS7.jpg,1185306,1183866.0,184632.0,173830.0,138596.0,106112.0,75260
Splitter_POSB4.jpg,1307029,1305445.0,155376.0,134402.0,93180.0,65172.0,45710
Splitter_DBS-Treasures7.jpg,701392,700476.0,85098.0,80160.0,64242.0,51618.0,39320
Splitter_DBS-TPC7.jpg,1727707,1725472.0,293246.0,274430.0,213010.0,162890.0,110120
Splitter_DBS-PB4.jpg,1688885,1686864.0,317592.0,290404.0,210012.0,138008.0,84736
Splitter_Corp-Banking4.jpg,2133021,2130528.0,543804.0,512238.0,395320.0,293656.0,182212
Splitter_SME-Banking7.jpg,2106657,2104164.0,480170.0,452474.0,347060.0,257356.0,162026
default.page,37288,37288.0,,,,,
splitter-mobile-annual-report-2021.jpg,29657,29428.0,11270.0,10984.0,9606.0,7870.0,6172
select_arrow.png,492,208.0,332.0,326.0,300.0,278.0,256
ico_clearall.png,396,252.0,472.0,454.0,416.0,380.0,334
dbs1_poi.png,2006,1864.0,992.0,966.0,890.0,790.0,700
pb11_poi.png,2476,2144.0,944.0,920.0,844.0,746.0,668
tr11_poi.png,2468,2348.0,998.0,986.0,906.0,808.0,706
tpc1_poi.png,2254,2112.0,996.0,978.0,884.0,782.0,694
abm1_poi.png,2351,2074.0,1068.0,1048.0,960.0,852.0,738
tkatm_poi.png,1760,1640.0,1010.0,984.0,894.0,800.0,702
vtm_poi.png,2253,2092.0,1042.0,1030.0,940.0,838.0,736
atm1_poi.png,2086,1966.0,1064.0,1040.0,950.0,846.0,736
cam1_poi.png,2199,2038.0,1094.0,1070.0,970.0,866.0,750
cdm1_poi.png,2208,1990.0,1094.0,1070.0,964.0,872.0,752
bl_poi.png,1506,1388.0,964.0,938.0,864.0,798.0,730
posb_poi.png,2388,2056.0,1004.0,982.0,902.0,830.0,730
dl_poi.png,2172,2056.0,1004.0,982.0,902.0,830.0,730
axs1_poi.png,1369,1250.0,894.0,876.0,820.0,764.0,688
adsct?p_user_id=70288513779692541381148950342360474151&p_id=38594,355,43.0,72.0,72.0,72.0,72.0,72
ibs:dpid=269&dpuuid=b3d46262-f6f5-4000-ad1b-393f1161799f&ddsuuid=70288513779692541381148950342360474151,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=903&dpuuid=2d8678ff-5cdc-4506-9d81-7098dc3aa505,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=771&dpuuid=CAESEK-UrjM9mtcinWhtR1oGu0o&google_cver=1?gdpr=0&gdpr_consent=,951,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=30064&dpuuid=%7BUUID_6j5b2cv%7D,963,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=16292&dpuuid=x4sF8NIW5DkoQmnUHmbobQLfxyM,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=28645&dpuuid=Pt2yL7TdREuWdTE-dlD1ItIZNjxks36u&gdpr=0&gdpr_consent=,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=30646?dpuuid=y-1xh.hixE2pGtI0l2Vv6Kvx._0Wz76ePUC6s-~A,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=121998&dpuuid=6888d062a0f15a5b5beec6b371197d41,945,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-90884407-7&cid=1617125811.1650652922&jid=1611378253&_u=YEBAAAAAAAAAAC~&z=1242030770,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-90884407-7&cid=1617125811.1650652922&jid=1611378253&_u=YEBAAAAAAAAAAC~&z=1242030770,0,0.0,72.0,72.0,72.0,72.0,72
ibs:dpid=358&dpuuid=6453502236812595050,945,42.0,72.0,72.0,72.0,72.0,72
powered-by-google-on-white3_hdpi.png,4239,3624.0,2456.0,2438.0,2362.0,2246.0,2156
autocomplete-icons_hdpi.png,6893,6821.0,4476.0,4374.0,4088.0,3810.0,3442
pageTransferSize,14595727,,,,,,
totalByteWeight,17827604,,,,,,
